brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","IOUT(max)(A)","CurrentLimit(A)","Iq(Typ)(uA)","Channel_Number","Enable","Fault_Flag","Rds(on)(mΩ)","Output_Discharge","Grade","Package"
"mps","E-Fuse & Load Switches---USB Switches","MP62040","http://www.monolithicpower.com/Products/Product-Detail?ProductID=623","http://new.zlgmcu.com/mps_datasheet/MP62040.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1428","MP62040","Active","","1.7V- 5.5V, Ultra- Small, Single-Channel 2A Current-Limited Power Distribution Switch","1.7","5.5","2.0","","2.0","1.0","Active Low","-","85","","Catalog","UTQFN4"
"mps","E-Fuse & Load Switches---USB Switches","MP62040-1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=624","http://new.zlgmcu.com/mps_datasheet/MP62040-1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1430","MP62040-1","Active","","1.7V- 5.5V, Ultra- Small, Single-Channel 2A Current-Limited Power Distribution Switch with Output Discharge","1.7","5.5","2.0","","2.0","1.0","Active Low","-","85","True","Catalog","UTQFN4"
"mps","E-Fuse & Load Switches---USB Switches","MP62161","http://www.monolithicpower.com/Products/Product-Detail?ProductID=639","http://new.zlgmcu.com/mps_datasheet/MP62161.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1469","MP62161","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch with Output Discharge","2.7","5.5","2.0","2.8","90.0","1.0","Active High","Over Current,Active Low","85/75","True","Catalog","QFN8E,MSOP8E,SOIC"
"mps","E-Fuse & Load Switches---USB Switches","MP62550","http://www.monolithicpower.com/Products/Product-Detail?ProductID=652","http://new.zlgmcu.com/mps_datasheet/MP62550.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1498","MP62550","Active","","Precision 60mA-1.7A Programmable Current-Limited Power Distribution Switch","2.5","5.5","1.5","Prog.","125.0","1.0","Active Low","Over Current,Active Low,Over Temperature","88","","Catalog","TQFN2x2-6,TSOT23-6"
"mps","E-Fuse & Load Switches---USB Switches","MP62181","http://www.monolithicpower.com/Products/Product-Detail?ProductID=646","http://new.zlgmcu.com/mps_datasheet/MP62181.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1484","MP62181","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch","2.7","5.5","2.0","2.8","90.0","1.0","Active High","Over Current,Active Low","75","","Catalog","QFN8E,MSOP8E,SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP6212-3","http://www.monolithicpower.com/Products/Product-Detail?ProductID=634","http://new.zlgmcu.com/mps_datasheet/MP6212-3.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1457","MP6212-3","Active","","3.3V/5V, Single-Channel 1A Current-Limited Power Distribution Switches with different Flag function","2.7","5.5","1.0","1.5","90.0","1.0","Active Low","Over Current,Active Low","90","","Catalog","SOIC8E,MSOP8E"
"mps","E-Fuse & Load Switches---USB Switches","MP6211-3","http://www.monolithicpower.com/Products/Product-Detail?ProductID=632","http://new.zlgmcu.com/mps_datasheet/MP6211-3.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1453","MP6211-3","Active","","3.3V/5V, Single-Channel 1A Current-Limited Power Distribution Switches with different Flag function","2.7","5.5","1.0","1.5","90.0","1.0","Active High","Over Current,Active Low","90","","Catalog","SOIC8E,MSOP8E"
"mps","E-Fuse & Load Switches---USB Switches","MP62261-1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=651","http://new.zlgmcu.com/mps_datasheet/MP62261-1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1496","MP62261-1","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch with Output Discharge","2.7","5.5","2.0","3","90.0","1.0","Active High","Over Current,Active Low","45","True","Catalog","SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62261","http://www.monolithicpower.com/Products/Product-Detail?ProductID=650","http://new.zlgmcu.com/mps_datasheet/MP62261.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1494","MP62261","Active","","3.3V/5V, Single-Channel 2A Current-Limited Power Distribution Switch","2.7","5.5","2.0","3","90.0","1.0","Active High","Over Current,Active Low","50","","Catalog","SOIC8"
"mps","E-Fuse & Load Switches---USB Switches","MP62131","http://www.monolithicpower.com/Products/Product-Detail?ProductID=636","http://new.zlgmcu.com/mps_datasheet/MP62131.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1462","MP62131","Active","","3.3V/5V, Single-Channel 500mA Current-Limited Power Distribution Switch with Output Discharge","2.7","5.5","0.5","0.65","95.0","1.0","Active High","Over Current,Active Low","90","True","Catalog","MSOP8,SOIC8"
