brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","VOUT (Max) (V)","Open LED Protection","Type","IOUT(max)(A)","VFB(V)","Switching Freq (Max) (kHz)","Iq(mA)","Shutdown Current (uA)","Rds(on)(mΩ)","Synchronous","Grade","Package"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MPQ2489-AEC1","http://www.monolithicpower.com/Products/Product-Detail?ProductID=716","http://new.zlgmcu.com/mps_datasheet/MPQ2489-AEC1.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2956","MPQ2489-AEC1","New","","6V-60V 1A Buck LED Driver with Hysteretic Control ,DC and PWM Dimming Control with AEC-Q100 qualified","6.0","60.0","57.0","True","Low-Side Buck","1.0","0.2","600.0","1.0","65.0","500.0","","Automotive","QFN3x3-6, SOIC8E"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MPQ2489","http://www.monolithicpower.com/Products/Product-Detail?ProductID=715","http://new.zlgmcu.com/mps_datasheet/MPQ2489.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=2950","MPQ2489","New","","Industrial Grade, 6V-60V 1A Buck LED Driver with Hysteretic Control ,DC and PWM Dimming Control","6.0","60.0","57.0","True","Low-Side Buck","1.0","0.2","600.0","1.0","65.0","500.0","","Industrial","QFN3x3-6,SOIC8E"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP24833","http://www.monolithicpower.com/Products/Product-Detail?ProductID=787","http://new.zlgmcu.com/mps_datasheet/MP24833.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=3328","MP24833","Active","","3A,55V,White LED Driver","4.5","55.0","55.0","True","Buck, ,Buck-Boost","3.0","0.198","200.0","0.6","6.0","190.0","","Catalog","SOIC8E"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP24894","http://www.monolithicpower.com/Products/Product-Detail?ProductID=596","http://new.zlgmcu.com/mps_datasheet/MP24894.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1361","MP24894","Active","","6V-60V input Buck WLED Controller with Hysteretic Control ,DC and PWM Dimming Control","6.0","60.0","57.0","True","Buck Controller","1.0","0.2","1000.0","0.3","80.0","","","Catalog","TSOT6"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP2489","http://www.monolithicpower.com/Products/Product-Detail?ProductID=595","http://new.zlgmcu.com/mps_datasheet/MP2489.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1358","MP2489","Active","","6V-60V 1A Buck LED Driver with Hysteretic Control ,DC and PWM Dimming Control","6.0","60.0","57.0","True","Low-Side Buck","1.0","0.2","600.0","1.0","65.0","500.0","","Catalog","QFN3x3-6"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP4689","http://www.monolithicpower.com/Products/Product-Detail?ProductID=599","http://new.zlgmcu.com/mps_datasheet/MP4689.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1367","MP4689","Active","","100V 1A Buck WLED Driver with Hysteretic Control","4.5","100.0","72.0","True","Buck","1.0","0.2","2000.0","0.17","2.0","500.0","","Catalog","SOIC8E"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MPQ2483","http://www.monolithicpower.com/Products/Product-Detail?ProductID=600","http://new.zlgmcu.com/mps_datasheet/MPQ2483.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1369","MPQ2483","Active","","55V 2.5A Programmable Frequency LED Driver available in AEC-Q100 with DC and PWM Dimming Control","4.5","55.0","55.0","True","Buck-Boost/Low-Side Buck","2.5","0.198","1350.0","0.8","3.4","280.0","","Industrial","QFN3x3-10"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP4688","http://www.monolithicpower.com/Products/Product-Detail?ProductID=597","http://new.zlgmcu.com/mps_datasheet/MP4688.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1364","MP4688","Active","","80V,1A Buck WLED Driver with Hysteretic Control","4.5","80.0","72.0","True","Buck","1.0","0.2","2000.0","0.17","2.0","360.0","","Catalog","SOIC8E"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP24183","http://www.monolithicpower.com/Products/Product-Detail?ProductID=591","http://new.zlgmcu.com/mps_datasheet/MP24183.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1346","MP24183","Active","","1A,55V, Programmable Frequency LED Driver with DC and PWM Dimming Control","4.5","55.0","","True","Buck, ,Buck-Boost","1.0","0.198","1350.0","0.8","5.0","280.0","","Catalog","QFN3x3-10"
"mps","LED Lighting & Illumination---DC-DC Lighting---Vin_max>44V","MP2487","http://www.monolithicpower.com/Products/Product-Detail?ProductID=593","http://new.zlgmcu.com/mps_datasheet/MP2487.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1352","MP2487","Active","","55V,1A LED Driver","4.5","55.0","","True","Buck","1.0","0.2","200.0","130.0","12.0","220.0","","Catalog","SOIC8E"
