brand,Series,PartNo,DetailLink,dataSheet,原厂链接,"PartNumber","Status","Note For Status","Description","VIN (Min) (V)","VIN (Max) (V)","Gain Bandwith Product (GBW) (MHz)","Iq(uA)","PSRR (dB)","Slew Rate (V/us)","Offset Voltage (mV)","Grade","Package"
"mps","Precision Analog---Operational Amplifiers","MP8104","http://www.monolithicpower.com/Products/Product-Detail?ProductID=499","http://new.zlgmcu.com/mps_datasheet/MP8104.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1168","MP8104","Active","","Ultra-Low Power 1.8V, 400kHz Op Amp With Industry Standard Pin-Out","1.8","5.5","0.4","11.0","80.0","0.2","1.0","Catalog","TSOT23-5"
"mps","Precision Analog---Operational Amplifiers","MP5421","http://www.monolithicpower.com/Products/Product-Detail?ProductID=505","http://new.zlgmcu.com/mps_datasheet/MP5421.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1177","MP5421","Active","","20V, Quad-Channel, High-Speed, Rail-to-Rail Input-Output, Single Supply Op Amp","3.2","20.0","14.0","6400.0","85.0","45.0","2.0","Catalog","TSSOP-14"
"mps","Precision Analog---Operational Amplifiers","MP5221","http://www.monolithicpower.com/Products/Product-Detail?ProductID=504","http://new.zlgmcu.com/mps_datasheet/MP5221.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1175","MP5221","Active","","Dual-Channel, High-Speed, High-Voltage Rail-to-Rail Input-Output, Single Supply Op Amp","3.2","20.0","14.0","3200.0","85.0","45.0","2.0","Catalog","MSOP8"
"mps","Precision Analog---Operational Amplifiers","MP5121","http://www.monolithicpower.com/Products/Product-Detail?ProductID=503","http://new.zlgmcu.com/mps_datasheet/MP5121.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1173","MP5121","Active","","Single-Channel, High-Speed, High-Voltage Rail-to-Rail Input-Output, Single Supply Op Amp","3.2","20.0","14.0","1600.0","85.0","45.0","2.0","Catalog","TSOT23-5"
"mps","Precision Analog---Operational Amplifiers","MP5420","http://www.monolithicpower.com/Products/Product-Detail?ProductID=502","http://new.zlgmcu.com/mps_datasheet/MP5420.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1172","MP5420","Active","","18V, Quad-Channel, High-Speed, High-Voltage Rail-to-Rail Op Amp,Input-Output in a TSSOP-14 Package","3.2","18.0","14.0","6400.0","85.0","45.0","2.0","Catalog","TSSOP-14"
"mps","Precision Analog---Operational Amplifiers","MP5220","http://www.monolithicpower.com/Products/Product-Detail?ProductID=501","http://new.zlgmcu.com/mps_datasheet/MP5220.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1171","MP5220","Active","","Dual-Channel, High-Speed, High-Voltage Rail-to-Rail Op Amp,Input-Output in a MSOP8 Package","3.2","18.0","14.0","3200.0","85.0","45.0","2.0","Catalog","MSOP8"
"mps","Precision Analog---Operational Amplifiers","MP5120","http://www.monolithicpower.com/Products/Product-Detail?ProductID=500","http://new.zlgmcu.com/mps_datasheet/MP5120.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1170","MP5120","Active","","Single-Channel, High-Speed, High-Voltage Rail-to-Rail Input-Output Op Amp in a TSOT23-5 Package","3.2","18.0","14.0","1600.0","85.0","45.0","2.0","Catalog","TSOT23-5"
"mps","Precision Analog---Operational Amplifiers","MP8130","http://www.monolithicpower.com/Products/Product-Detail?ProductID=506","http://new.zlgmcu.com/mps_datasheet/MP8130.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1179","MP8130","Active","","36V High-Voltage Op Amp","2.7","36.0","0.1","10.0","80.0","0.1","1.0","Catalog","TSOT23-5"
"mps","Precision Analog---Operational Amplifiers","MP8103","http://www.monolithicpower.com/Products/Product-Detail?ProductID=498","http://new.zlgmcu.com/mps_datasheet/MP8103.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1166","MP8103","Active","","Ultra Low Power 1.8V 600KHz Op Amp","1.8","5.5","0.2","14.0","80.0","0.1","1.0","Catalog","MSOP8"
"mps","Precision Analog---Operational Amplifiers","MP8102","http://www.monolithicpower.com/Products/Product-Detail?ProductID=497","http://new.zlgmcu.com/mps_datasheet/MP8102.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1164","MP8102","Active","","Ultra Low Power 1.8V 600KHz Op Amp","1.8","5.5","0.2","7.5","80.0","0.1","1.0","Catalog","TSOT23-5"
"mps","Precision Analog---Operational Amplifiers","MP8101","http://www.monolithicpower.com/Products/Product-Detail?ProductID=496","http://new.zlgmcu.com/mps_datasheet/MP8101.pdf","http://www.monolithicpower.com/DesktopModules/DocumentManage/API/Document/GetDocument?id=1162","MP8101","Active","","Ultra Low Power 1.8V 400KHz Op Amp","1.8","5.5","0.4","11.0","80.0","0.2","1.0","Catalog","TSOT23-5"
