"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Feature","Vcc","Sector Type","Bus Width","Access Time (ns)","Packages","Temperature Range"
"mxic","NOR Flash---Parallel NOR Flash","MX68GL1G0F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX68GL1G0F","http://www.macronix.com/Lists/Datasheet/Attachments/2414/MX68GL1G0F, 3V, 1Gb, v1.3.pdf","1Gb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","110","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX68GL1G0G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX68GL1G0G","http://www.macronix.com/Lists/Datasheet/Attachments/2426/MX68GL1G0G, 3V, 1Gb, v1.0.pdf","1Gb","Production","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL512F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512F","http://www.macronix.com/Lists/Datasheet/Attachments/2423/MX29GL512F, 3V, 512Mb, v1.7.pdf","512Mb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-FBGA 56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GA512F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA512F","-","512Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","100","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GL512E H/L","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512E H/L","http://www.macronix.com/Lists/Datasheet/Attachments/2620/MX29GL512E H-L, 3V, 512Mb, v1.5.pdf","512Mb","EOL issued","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL512G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512G","http://www.macronix.com/Lists/Datasheet/Attachments/2425/MX29GL512G, 3V, 512Mb, v1.0.pdf","512Mb","Production","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL256F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL256F","http://www.macronix.com/Lists/Datasheet/Attachments/2415/MX29GL256F, 3V, 256Mb, v1.5.pdf","256Mb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","90","56-FBGA 56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GA256F H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA256F H/L","-","256Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA257F H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA257F H/L","-","256Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA256E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA256E H/L","-","256Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA 64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA257E C/F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA257E C/F","-","256Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA257E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA257E H/L","-","256Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GL256E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL256E","http://www.macronix.com/Lists/Datasheet/Attachments/2418/MX29GL256E, 3V, 256Mb, v1.8.pdf","256Mb","Production, not for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","90","56-TSOP 64-FBGA 64-LFBGA 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL128F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL128F","http://www.macronix.com/Lists/Datasheet/Attachments/2637/MX29GL128F, 3V, 128Mb, v1.5.pdf","128Mb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","70","56-FBGA 56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GA128F HL","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA128F HL","-","128Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA129F HL","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA129F HL","-","128Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA128E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA128E H/L","-","128Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA 64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA129E C/F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA129E C/F","-","128Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA129E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA129E H/L","-","128Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GL128E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL128E","http://www.macronix.com/Lists/Datasheet/Attachments/2419/MX29GL128E, 3V, 128Mb, v1.8.pdf","128Mb","Production, not for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","90","56-TSOP 64-FBGA 64-LFBGA 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29VS128F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29VS128F","http://www.macronix.com/Lists/Datasheet/Attachments/2424/MX29VS128F, 1.8V, 128Mb, v1.3.pdf","128Mb","Production","AD Mux","1.7V-1.95V","Boot Sector","x16","80","56-FBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LA128D T/B","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA128D T/B","-","128Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29LA129D T/B","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA129D T/B","-","128Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29LV128D T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV128D T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2383/MX29LV128D T-B, 3V, 128Mb, v1.0.pdf","128Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","48-TSOP 56-TSOP 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GL640E H/L","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL640E H/L","http://www.macronix.com/Lists/Datasheet/Attachments/2427/MX29GL640E H-L, 3V, 64Mb, v1.8.pdf","64Mb","Production, for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","70","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV640E T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV640E T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2396/MX29LV640E T-B, 3V, 64Mb, v1.7.pdf","64Mb","Production, for new design","-","2.7V-3.6V","Boot Sector","x8, x16","70","48-TSOP 48-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29GA640E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA640E H/L","-","64Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GA641E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA641E H/L","-","64Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29GL640E T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL640E T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2428/MX29GL640E T-B, 3V, 64Mb, v1.8.pdf","64Mb","Production","Page Read","2.7V-3.6V","Boot Sector","x8, x16","70","48-TSOP 48-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LA640E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA640E H/L","-","64Mb","Production","-","2.7V-3.6V","Uniform Sector","x8,  x16","70","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29NS640E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29NS640E","http://www.macronix.com/Lists/Datasheet/Attachments/2422/MX29NS640E, 1.8V, 64Mb, v1.1.pdf","64Mb","Production","AD Mux","1.7V-1.95V","Boot Sector","x16","80","56-FBGA","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LA641D H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29LA641D H/L","-","64Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash---Parallel NOR Flash","MX29LV065B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV065B","http://www.macronix.com/Lists/Datasheet/Attachments/2384/MX29LV065B, 3V, 64Mb, v1.7.pdf","64Mb","End of Life","-","2.7V-3.6V","Uniform Sector","x8","90","48-TSOP","-40℃ to +85℃"," "
"mxic","NOR Flash---Parallel NOR Flash","MX29LV640B T/B","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29LV640B T/B","http://www.macronix.com/Lists/Datasheet/Attachments/2380/MX29LV640B T-B, 3V, 64Mb, v1.8.pdf","64Mb","End of Life","-","2.7V-3.6V","Boot Sector","x8, x16","90","48-TSOP 63-CSP","-40℃ to +85℃"," "
