"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Feature","Vcc","Sector Type","Bus Width","Access Time (ns)","Packages","Temperature Range"
"mxic","NOR Flash-Parallel NOR Flash","MX68GL1G0F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX68GL1G0F","http://www.macronix.com/Lists/Datasheet/Attachments/2740/MX68GL1G0F, 3V, 1Gb, v1.3.pdf","1Gb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","110","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX68GL1G0G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX68GL1G0G","http://www.macronix.com/Lists/Datasheet/Attachments/2751/MX68GL1G0G, 3V, 1Gb, v1.0.pdf","1Gb","Production","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GL512F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512F","http://www.macronix.com/Lists/Datasheet/Attachments/2748/MX29GL512F, 3V, 512Mb, v1.7.pdf","512Mb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-FBGA 56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GL512G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512G","http://www.macronix.com/Lists/Datasheet/Attachments/2750/MX29GL512G, 3V, 512Mb, v1.0.pdf","512Mb","Production","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GA512F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA512F","-","512Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","100","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Parallel NOR Flash","MX29GL512E H/L","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL512E H/L","http://www.macronix.com/Lists/Datasheet/Attachments/2742/MX29GL512E H-L, 3V, 512Mb, v1.5.pdf","512Mb","EOL issued","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","100","56-TSOP 64-LFBGA 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GL256F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL256F","http://www.macronix.com/Lists/Datasheet/Attachments/2741/MX29GL256F, 3V, 256Mb, v1.5.pdf","256Mb","Production, for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","90","56-FBGA 56-TSOP 64-LFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GA256F H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA256F H/L","-","256Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Parallel NOR Flash","MX29GA257F H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA257F H/L","-","256Mb","Production","Page Read","2.7V-3.6V","Uniform Sector","x16","90","64-FBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Parallel NOR Flash","MX29GL256E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX29GL256E","http://www.macronix.com/Lists/Datasheet/Attachments/2743/MX29GL256E, 3V, 256Mb, v1.8.pdf","256Mb","Production, not for new design","Page Read VI/O","2.7V-3.6V","Uniform Sector","x8, x16","90","56-TSOP 64-FBGA 64-LFBGA 70-SSOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Parallel NOR Flash","MX29GA256E H/L","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA256E H/L","-","256Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA 64-LFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Parallel NOR Flash","MX29GA257E C/F","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX29GA257E C/F","-","256Mb","Production, not for new design","Page Read","2.7V-3.6V","Uniform Sector","x8, x16","90","64-FBGA","-40℃ to +85℃","-"
