"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Vcc","Feature","Frequency, MHz (Bus Width)","Packages","Temperature Range"
"mxic","NOR Flash-Serial NOR Flash","MX66L1G45G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX66L1G45G","http://www.macronix.com/Lists/Datasheet/Attachments/2861/MX66L1G45G, 3V, 1Gb, v1.0.pdf","1Gb","Production, for new design","2.7V-3.6V","DTR H/W Reset QPI Suspend/Resume Unique ID","166(x1, x2) 133(x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX66L1G55G","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX66L1G55G","-","1Gb","Production","2.7V-3.6V","DTR H/W Reset Permanent Lock QPI Suspend/Resume Unique ID","166(x1, x2) 133(x4)","300mil 16-SOP 6x8mm 24-TFBGA","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX25L51245G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L51245G","http://www.macronix.com/Lists/Datasheet/Attachments/2895/MX25L51245G, 3V, 512Mb, v1.2.pdf","512Mb","Production, for new design","2.7V-3.6V","DTR H/W Reset QPI Suspend/Resume Unique ID","166(x1, x2) 133(x4)","300mil 16-SOP 6x8mm 24-TFBGA 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX66U51235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX66U51235F","http://www.macronix.com/Lists/Datasheet/Attachments/2850/MX66U51235F, 1.8V, 512Mb, v1.1.pdf","512Mb","Production, for new design","1.65V-2V","H/W Reset QPI Suspend/Resume Unique ID","108(x1, x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA 8x6mm 8-WSON 3.4X4.3EP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25UM51245G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25UM51245G","http://www.macronix.com/Lists/Datasheet/Attachments/2905/MX25UM51245G, 1.8V, 512Mb, v0.04.pdf","512Mb","Sampling","1.7V-2V","8 x I/O DTR H/W Reset Suspend/Resume Unique ID","133(X1) 200(X8)","6x8mm 24-TFBGA(5x5)","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L51237G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L51237G","http://www.macronix.com/Lists/Datasheet/Attachments/2868/MX25L51237G, 3V, 512Mb, v0.00.pdf","512Mb","Under Development","2.7V-3.6V","DTR H/W Reset QPI Suspend/Resume Unique ID VI/O","104(x1, x2, x4)","300mil 16-SOP","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25U51245G","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U51245G","http://www.macronix.com/Lists/Datasheet/Attachments/2884/MX25U51245G, 1.8V, 512Mb, v0.01.pdf","512Mb","Under Development","1.7V-2V","DTR H/W Reset Burst Read","166(x1, x2) 133(x4)","300mil 16-SOP 6x8mm 24-TFBGA(5x5)","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L51255G","http://mxweb.mxic.com.tw/web/feedback.nsf/contact?OpenForm&partno=MX25L51255G","-","512Mb","Production","2.7V-3.6V","DTR H/W Reset Permanent Lock QPI Suspend/Resume Unique ID","166(x1, x2) 133(x4)","300mil 16-SOP 6x8mm 24-TFBGA(4x6) 6x8mm 24-TFBGA(5x5)","-40℃ to +85℃","-"
"mxic","NOR Flash-Serial NOR Flash","MX66L51235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX66L51235F","http://www.macronix.com/Lists/Datasheet/Attachments/2822/MX66L51235F, 3V, 512Mb, v1.0.pdf","512Mb","Production","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 6x8mm 24-TFBGA 8x6mm 8-WSON","-40℃ to +85℃"," "
"mxic","NOR Flash-Serial NOR Flash","MX25L25635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L25635F","http://www.macronix.com/Lists/Datasheet/Attachments/2859/MX25L25635F, 3V, 256Mb, v1.4.pdf","256Mb","Production, for new design","2.7V-3.6V","H/W Reset QPI Suspend/Resume Unique ID","133(x1, x2, x4)","300mil 16-SOP 8x6mm 8-WSON","-40℃ to +85℃"," "
