"brand","Series","PartNo","DetailLink","dataSheet","Density","Status","Bus Width"
"mxic","NOR Flash-WLCSP","MX25R3235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R3235F","http://www.macronix.com/Lists/Datasheet/Attachments/2902/MX25R3235F, Wide Range, 32Mb, v1.2.pdf","32Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R1635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R1635F","http://www.macronix.com/Lists/Datasheet/Attachments/2909/MX25R1635F, Wide Range, 16Mb, v1.2.pdf","16Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R8035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R8035F","http://www.macronix.com/Lists/Datasheet/Attachments/2904/MX25R8035F, Wide Range, 8Mb, v1.1.pdf","8Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R4035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R4035F","http://www.macronix.com/Lists/Datasheet/Attachments/2901/MX25R4035F, Wide Range, 4Mb, v1.1.pdf","4Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R2035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R2035F","http://www.macronix.com/Lists/Datasheet/Attachments/2898/MX25R2035F, Wide Range, 2Mb, v1.1.pdf","2Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R1035F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R1035F","http://www.macronix.com/Lists/Datasheet/Attachments/2899/MX25R1035F, Wide Range, 1Mb, v1.1.pdf","1Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25R512F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25R512F","http://www.macronix.com/Lists/Datasheet/Attachments/2900/MX25R512F, Wide Range, 512Kb, v1.1.pdf","512Kb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25L6473E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6473E","http://www.macronix.com/Lists/Datasheet/Attachments/2890/MX25L6473E, 3V, 64Mb, v1.4.pdf","64Mb","Production","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25L6435E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L6435E","http://www.macronix.com/Lists/Datasheet/Attachments/2856/MX25L6435E, 3V, 64Mb, v1.6.pdf","64Mb","Production","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25L1006E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25L1006E","http://www.macronix.com/Lists/Datasheet/Attachments/2849/MX25L1006E, 3V, 1Mb, v1.4.pdf","1Mb","Production","x1, x2"," "
"mxic","NOR Flash-WLCSP","MX25U25635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U25635F","http://www.macronix.com/Lists/Datasheet/Attachments/2877/MX25U25635F, 1.8V, 256Mb, v1.3.pdf","256Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U6435F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U6435F","http://www.macronix.com/Lists/Datasheet/Attachments/2852/MX25U6435F, 1.8V, 64Mb, v1.4.pdf","64Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U3235F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U3235F","http://www.macronix.com/Lists/Datasheet/Attachments/2908/MX25U3235F, 1.8V, 32Mb, v1.4.pdf","32Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U1635F","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U1635F","http://www.macronix.com/Lists/Datasheet/Attachments/2882/MX25U1635F, 1.8V, 16Mb, v1.5.pdf","16Mb","Production, for new design","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U8033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U8033E","http://www.macronix.com/Lists/Datasheet/Attachments/2857/MX25U8033E, 1.8V, 8Mb, v1.7.pdf","8Mb","Production","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U4033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U4033E","http://www.macronix.com/Lists/Datasheet/Attachments/2894/MX25U4033E, 1.8V, 4Mb, v1.8.pdf","4Mb","Production","x1, x2, x4"," "
"mxic","NOR Flash-WLCSP","MX25U2033E","http://www.macronix.com/en-us/Product/Pages/ProductDetail.aspx?PartNo=MX25U2033E","http://www.macronix.com/Lists/Datasheet/Attachments/2897/MX25U2033E, 1.8V, 2Mb, v1.5.pdf","2Mb","Production","x1, x2, x4"," "
