"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","Product description","Application","Po","Output configuration","Speaker impedance (BTL / SE)","Input format","VP [min - max]","Class","Power Down","Volume control","Remarks"
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","SA58631TK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/SA58631TK.html","http://www.nxp.com/documents/data_sheet/SA58631.pdf","SOT909-1","HVSON8","Production","Mono 3 W in 8 Ohm at 9 V BTL Class-AB audio amplifier","Speaker","3","BTL","8","Analog","2.2 - 18","AB","Yes","",""
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","SA58637BS","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/SA58637BS.html","http://www.nxp.com/documents/data_sheet/SA58637.pdf","SOT910-1","HVQFN20","Production","2x 2.2 W in 8 Ohm at 9 V BTL Class-AB audio amplifier","Speaker / headphone","2.2","BTL","8","Analog","2.2 - 18","AB","Yes","","SELECT pin can switch one of the output channels in standby."
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","SA58672UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/SA58672UK.html","http://www.nxp.com/documents/data_sheet/SA58672.pdf","OL-SA58672UK","WLCSP","Production","Mono 3.0 W mono in 4 Ohm at 5 V BTL Class-D audio amplifier","Speaker","3","BTL","4; 8","Analog","2 - 5.5","D","Yes","",""
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TDA8547TS","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TDA8547TS.html","http://www.nxp.com/documents/data_sheet/TDA8547TS.pdf","SOT266-1","SSOP20","Production","2x 0.7 W in 16 Ohm at 5 V BTL Class-AB audio amplifier with select pin for standby / channel","Speaker","0.7","SE / BTL","8; 16","Analog","2.2 - 18","AB","Yes","","SELECT pin can switch one of the output channels in standby."
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9879HN","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9879HN.html","http://www.nxp.com/documents/data_sheet/TFA9879.pdf","SOT616-3","HVQFN24","Production","Mono 2.75 W in 4 Ohm at 5 V BTL Class-D audio amplifier with digital input and micro DSP","Speaker","2.75","BTL","4; 8","I2S; PCM / IOM2","2.5 - 5.5","D","Yes","Via I2C","DRC; etc.; Micro DSP with 5 band parametric equalizer"
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9881UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9881UK.html","http://www.nxp.com/documents/data_sheet/TFA9881.pdf","OL-TFA9881UK","WLCSP","Development","Mono 3.4 W in 4 Ohm at 5 V BTL Class-D audio amplifier with PDM input","Speaker","3.4","BTL","4; 8","PDM","2.5 - 5.5","D","Yes","","Embedded control tokens for control of: clip control; gain etc.; slope control"
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9882UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9882UK.html","http://www.nxp.com/documents/data_sheet/TFA9882.pdf","OL-TFA9882UK","WLCSP","Production","Mono 3.4 W in 4 Ohm at 5 V BTL Class-D audio amplifier with I2S input","Speaker","3.4","BTL","4; 8","I2S","2.5 - 5.5","D","Yes","","Embedded control tokens for control of: clip control; gain etc.; slope control"
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9887UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9887UK.html","No full datasheet available","NAU000","NAU000","Production","Mono 3.7 W in 4 Ohm at 3.6 V BTL class-D audio system with adaptive sound maximizer and speaker protection","Speaker","3.7","BTL","4; 8","I2S","2.5 - 5.5","D","Yes","Via I2C",""
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9890AUK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9890AUK.html","No full datasheet available","","","Production","","","","","","","","","","",""
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9895UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9895UK.html","No full datasheet available","","","Production","","","","","","","","","","",""
"nxp","Amplifiers---Audio amplifiers---Amplifiers for portable devices","TFA9897UK","http://www.nxp.com/products/amplifiers/audio_amplifiers/amplifiers_for_portable_devices/TFA9897UK.html","No full datasheet available","","","Production","","","","","","","","","","",""
