"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8920CJ","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8920CJ.html","http://www.nxp.com/documents/data_sheet/TDA8920C.pdf","SOT411-1","DBS23P"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8920CTH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8920CTH.html","http://www.nxp.com/documents/data_sheet/TDA8920C.pdf","SOT566-3","HSOP24"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8922CJ","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8922CJ.html","http://www.nxp.com/documents/data_sheet/TDA8922C.pdf","SOT411-1","DBS23P"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8922CTH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8922CTH.html","http://www.nxp.com/documents/data_sheet/TDA8922C.pdf","SOT566-3","HSOP24"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8932BT","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8932BT.html","http://www.nxp.com/documents/data_sheet/TDA8932B.pdf","SOT287-1","SO32"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8932BTW","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8932BTW.html","http://www.nxp.com/documents/data_sheet/TDA8932B.pdf","SOT549-1","HTSSOP32"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8950J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8950J.html","http://www.nxp.com/documents/data_sheet/TDA8950.pdf","SOT411-1","DBS23P"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8950TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8950TH.html","http://www.nxp.com/documents/data_sheet/TDA8950.pdf","SOT566-3","HSOP24"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8953J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8953J.html","http://www.nxp.com/documents/data_sheet/TDA8953.pdf","SOT411-1","DBS23P"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8953TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8953TH.html","http://www.nxp.com/documents/data_sheet/TDA8953.pdf","SOT566-3","HSOP24"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8954J","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8954J.html","http://www.nxp.com/documents/data_sheet/TDA8954.pdf","SOT411-1","DBS23P"
"nxp","Amplifiers---Audio amplifiers---Class-D","TDA8954TH","http://www.nxp.com/products/amplifiers/audio_amplifiers/class_d/TDA8954TH.html","http://www.nxp.com/documents/data_sheet/TDA8954.pdf","SOT566-3","HSOP24"
