"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Complement","IC [max]","Polarity","Ptot [max]","toff","fT [min]","hFE [max]","hFE [min]","VCES [max]"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BCV26","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BCV26.html","http://www.nxp.com/documents/data_sheet/BCV26_BCV46.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","500","PNP","250","","220",">20000","20000","30"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BCV46","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BCV46.html","http://www.nxp.com/documents/data_sheet/BCV26_BCV46.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","BCV47","500","PNP","250","","220",">10000","10000","60"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BCV28","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BCV28.html","http://www.nxp.com/documents/data_sheet/BCV28_48.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","BCV29","500","PNP","1300","","220",">20000","20000","30"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BCV48","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BCV48.html","http://www.nxp.com/documents/data_sheet/BCV28_48.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","BCV49","500","PNP","1300","","220",">10000","10000","60"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BSP60","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BSP60.html","http://www.nxp.com/documents/data_sheet/BSP60_61_62.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","BSP50","500","PNP","1250","1500","200",">2000","2000","45"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BSP61","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BSP61.html","http://www.nxp.com/documents/data_sheet/BSP60_61_62.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","BSP51","500","PNP","1250","1500","200",">2000","2000","60"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BSP62","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BSP62.html","http://www.nxp.com/documents/data_sheet/BSP60_61_62.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","","500","PNP","1250","1500","200",">2000","2000","80"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BST60","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BST60.html","http://www.nxp.com/documents/data_sheet/BST60_61_62.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","BST50","500","PNP","1300","700","200",">2000","2000","45"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BST61","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BST61.html","http://www.nxp.com/documents/data_sheet/BST60_61_62.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","BST51","500","PNP","1300","700","200",">2000","2000","60"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","BST62","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/BST62.html","http://www.nxp.com/documents/data_sheet/BST60_61_62.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","BST52","500","PNP","1300","700","200",">2000","2000","80"
"nxp","Bipolar transistors---General purpose bipolar transistors---Darlington transistors---PNP","PMBTA64","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/darlington_transistors/pnp/PMBTA64.html","http://www.nxp.com/documents/data_sheet/PMBTA64.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","PMBTA14","500","PNP","250","","125",">10000","10000","30"
