"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","hFE [min]","fT min","Polarity","IC max","VCEO max","Ptot max","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","BC817DPN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/BC817DPN.html","http://www.nxp.com/documents/data_sheet/BC817DPN.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","","160","","","","","","500","NPN/PNP","600","45","80","400",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","BC846BPN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/BC846BPN.html","http://www.nxp.com/documents/data_sheet/BC846BPN.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","BC847BPN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/BC847BPN.html","http://www.nxp.com/documents/data_sheet/BC847BPN.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","200","","","","","","100","NPN/PNP","200","45","100","450",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","BC847BVN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/BC847BVN.html","http://www.nxp.com/documents/data_sheet/BC847BVN.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","","200","","","","","","100","NPN/PNP","200","45","100","450",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","BC847QAPN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/BC847QAPN.html","http://www.nxp.com/documents/data_sheet/BC847QAPN.pdf","SOT1216","DFN1010B-6","1.1 x 1.0 x 0.37","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PEMZ1","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PEMZ1.html","http://www.nxp.com/documents/data_sheet/PEMZ1.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","120","","100","NPN / PNP","100","40","200","","","","","","",">120"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PEMZ7","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PEMZ7.html","http://www.nxp.com/documents/data_sheet/PEMZ7.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","200","","100","NPN / PNP","500","12","300","","","","","","",">200"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PIMZ2","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PIMZ2.html","http://www.nxp.com/documents/data_sheet/PIMZ2_PUMZ2.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PUMZ2","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PUMZ2.html","http://www.nxp.com/documents/data_sheet/PIMZ2_PUMZ2.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PMBT3946YPN","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PMBT3946YPN.html","http://www.nxp.com/documents/data_sheet/PMBT3946YPN.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Complementary","PUMZ1","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/complementary/PUMZ1.html","http://www.nxp.com/documents/data_sheet/PUMZ1.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","120","","100","NPN / PNP","100","40","200","","","","","","",">120"
