"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","hFE [min]","fT min","Description","Polarity","IC max","VCEO max","Ptot max","Complement","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC807DS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC807DS.html","http://www.nxp.com/documents/data_sheet/BC807DS.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","","160","","","","","","","","BC817DS","-500","PNP","600","-45","80","400",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC856BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC856BS.html","http://www.nxp.com/documents/data_sheet/BC856BS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC856S","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC856S.html","http://www.nxp.com/documents/data_sheet/BC856S.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","125","","","","","","","","BC846S","100","2x PNP","250","65","100","475",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC857BS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC857BS.html","http://www.nxp.com/documents/data_sheet/BC857BS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","200","","","","","","","","BC847BS","100","2x PNP","200","45","100","450",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC857BV","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC857BV.html","http://www.nxp.com/documents/data_sheet/BC857BV.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","","200","","","","","","","","BC847BV","100","2x PNP","200","45","100","450",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BC857QAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BC857QAS.html","http://www.nxp.com/documents/data_sheet/BC857QAS.pdf","SOT1216","DFN1010B-6","1.1 x 1.0 x 0.37","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","BCV64B","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/BCV64B.html","http://www.nxp.com/documents/data_sheet/BCV64B.pdf","SOT143B","SOT143B","2.9 x 1.3 x 1","","","","Schmitt Trigger","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","PEMT1","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/PEMT1.html","http://www.nxp.com/documents/data_sheet/PEMT1.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","120","","100","","2x PNP","100","40","200","PEMX1","","","","","","","",">120"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","PIMT1","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/PIMT1.html","http://www.nxp.com/documents/data_sheet/PIMT1.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","120","","100","","2x PNP","100","40","600","","","","","","","","",">120"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","PMBT3906YS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/PMBT3906YS.html","http://www.nxp.com/documents/data_sheet/PMBT3906YS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Double transistors---Double PNP","PUMT1","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/double_transistors/double_pnp/PUMT1.html","http://www.nxp.com/documents/data_sheet/PUMT1.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","120","","100","","2x PNP","100","40","200","PUMX1","","","","","","","",">120"
