"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE min","Ptot [max]","fT min","Polarity","IC max","VCEO max","Ptot max","Complement","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","hFE max"
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4081Q","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4081Q.html","http://www.nxp.com/documents/data_sheet/2PC4081.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PA1576Q","100","NPN","200","40","100","270","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4081R","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4081R.html","http://www.nxp.com/documents/data_sheet/2PC4081.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PA1576R","100","NPN","200","40","100","390","180","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4081S","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4081S.html","http://www.nxp.com/documents/data_sheet/2PC4081.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PA1576S","100","NPN","200","40","100","560","270","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4617QM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4617QM.html","http://www.nxp.com/documents/data_sheet/2PC4617M_SERIES.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","2PA1774Q","100","NPN","150","50","100","270","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4617RM","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4617RM.html","http://www.nxp.com/documents/data_sheet/2PC4617M_SERIES.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","","2PA1774R","100","NPN","150","50","100","390","180","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4617QMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4617QMB.html","http://www.nxp.com/documents/data_sheet/2PC4617XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","2PA1774Q","100","NPN","150","50","100","270","120","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PC4617RMB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PC4617RMB.html","http://www.nxp.com/documents/data_sheet/2PC4617XMB_SER.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","","2PA1774R","100","NPN","150","50","100","390","180","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601ARW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601ARW.html","http://www.nxp.com/documents/data_sheet/2PD601A_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PB709ARW","100","NPN","200","50","120","340","210","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601ASW","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601ASW.html","http://www.nxp.com/documents/data_sheet/2PD601A_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","","","","","","","","","2PB709ASW","100","NPN","200","50","140","460","290","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601ARL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601ARL.html","http://www.nxp.com/documents/data_sheet/2PD601AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601ASL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601ASL.html","http://www.nxp.com/documents/data_sheet/2PD601AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601ART","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601ART.html","http://www.nxp.com/documents/data_sheet/2PD601ART.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601BRL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601BRL.html","http://www.nxp.com/documents/data_sheet/2PD601BRL_2PD601BSL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","2PB709BRL","200","NPN","250","50","100","340","210","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD601BSL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD601BSL.html","http://www.nxp.com/documents/data_sheet/2PD601BRL_2PD601BSL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","2PB709BSL","200","NPN","250","50","100","460","290","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---General purpose transistors---Single transistors NPN","2PD602AQL","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/general_purpose_transistors/single_transistors_npn/2PD602AQL.html","http://www.nxp.com/documents/data_sheet/2PD602AXL.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","","","","","","","","","","","","","","","","",""
