"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Complement","IC [max]","Polarity","Ptot [max]","VCEO [max]","fT [min]","hFE [max]","hFE [min]"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51-10PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51-16PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC52-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC52-10PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC52-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC52-16PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC52PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC52PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC53-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC53-10PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC53-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC53-16PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC53PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC53PAS.html","http://www.nxp.com/documents/data_sheet/BC51_52_53PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC54-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC54-10PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC54-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC54-16PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC54PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC54PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","BC51PAS","1000","NPN","1650","45","100","250","63"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC55-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC55-10PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC55-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC55-16PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC55PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC55PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","BC52PAS","1000","NPN","1650","60","100","250","63"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC56-10PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC56-10PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC56-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC56-16PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC56PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC56PAS.html","http://www.nxp.com/documents/data_sheet/BC54_55_56PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","BC53PAS","1000","NPN","1650","80","100","250","63"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC68-25PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC68-25PAS.html","http://www.nxp.com/documents/data_sheet/BC68PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC68PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC68PAS.html","http://www.nxp.com/documents/data_sheet/BC68PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC69-16PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC69-16PAS.html","http://www.nxp.com/documents/data_sheet/BC69PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC69-25PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC69-25PAS.html","http://www.nxp.com/documents/data_sheet/BC69PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC69PAS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC69PAS.html","http://www.nxp.com/documents/data_sheet/BC69PAS_SER.pdf","SOT1061D","DFN2020D-3","2 x 2 x 0.65","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51-10PA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51-10PA.html","http://www.nxp.com/documents/data_sheet/BCP51_BCX51_BC51PA.pdf","SOT1061","DFN2020-3","2 x 2 x 0.65","BC54PA-10","1000","PNP","1650","45","145","160","63"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51-16PA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51-16PA.html","http://www.nxp.com/documents/data_sheet/BCP51_BCX51_BC51PA.pdf","SOT1061","DFN2020-3","2 x 2 x 0.65","BC54PA-16","1000","PNP","1650","45","145","250","100"
"nxp","Bipolar transistors---General purpose bipolar transistors---Medium power transistors","BC51PA","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/medium_power_transistors/BC51PA.html","http://www.nxp.com/documents/data_sheet/BCP51_BCX51_BC51PA.pdf","SOT1061","DFN2020-3","2 x 2 x 0.65","BC54PA","1000","PNP","1650","45","145","250","40"
