"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","Ptot [max]","toff"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","BSR14","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/BSR14.html","http://www.nxp.com/documents/data_sheet/BSR13_BSR14.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","BSV52","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/BSV52.html","http://www.nxp.com/documents/data_sheet/BSV52.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","500","NPN","","100","12","250","30"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","MMBT2222A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/MMBT2222A.html","http://www.nxp.com/documents/data_sheet/MMBT2222A.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","300","NPN","","600","40","250","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","MMBT3904","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/MMBT3904.html","http://www.nxp.com/documents/data_sheet/MMBT3904.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","300","NPN","MMBT3906","200","40","250","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT2222","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT2222.html","http://www.nxp.com/documents/data_sheet/PMBT2222_PMBT2222A.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","250","NPN","PMBT2907","600","30","250","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT2222A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT2222A.html","http://www.nxp.com/documents/data_sheet/PMBT2222_PMBT2222A.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","300","NPN","PMBS2907A","600","40","250","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT2222AYS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT2222AYS.html","http://www.nxp.com/documents/data_sheet/PMBT2222AYS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT2369","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT2369.html","http://www.nxp.com/documents/data_sheet/PMBT2369.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","120","500","NPN","","200","15","250","30"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT3904","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT3904.html","http://www.nxp.com/documents/data_sheet/PMBT3904.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","300","NPN","PMBT3906","200","40","250","240"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT3904M","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT3904M.html","http://www.nxp.com/documents/data_sheet/PMBT3904M.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT3904MB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT3904MB.html","http://www.nxp.com/documents/data_sheet/PMBT3904MB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT4401","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT4401.html","http://www.nxp.com/documents/data_sheet/PMBT4401.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","250","NPN","PMBT4403","600","40","250","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMBT4401YS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMBT4401YS.html","http://www.nxp.com/documents/data_sheet/PMBT4401YS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMSS3904","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMSS3904.html","http://www.nxp.com/documents/data_sheet/PMSS3904.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","180","NPN","PMSS3906","100","40","200","1200"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMST2222","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMST2222.html","http://www.nxp.com/documents/data_sheet/PMST2222_2222A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","250","NPN","","600","30","200","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMST2222A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMST2222A.html","http://www.nxp.com/documents/data_sheet/PMST2222_2222A.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","300","NPN","PMST2907A","600","40","200","250"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMST2369","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMST2369.html","http://www.nxp.com/documents/data_sheet/PMST2369.pdf","SOT323","SC-70","2 x 1.25 x 0.95","40","120","500","NPN","","200","15","200","30"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMST3904","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMST3904.html","http://www.nxp.com/documents/data_sheet/PMST3904.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","300","NPN","PMST3906","200","40","200","240"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PMST4401","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PMST4401.html","http://www.nxp.com/documents/data_sheet/PMST4401.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","250","NPN","PMST4403","600","40","200","285"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single NPN switching transistors","PXT2222A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_npn_switching_transistors/PXT2222A.html","http://www.nxp.com/documents/data_sheet/PXT2222A.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","100","300","300","NPN","PXT2907A","600","40","1250","250"
