"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","hFE [min]","hFE [max]","fT [min]","Polarity","Complement","IC [max]","VCEO [max]","Ptot [max]","toff"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","BSR16","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/BSR16.html","http://www.nxp.com/documents/data_sheet/BSR16.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","MMBT3906","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/MMBT3906.html","http://www.nxp.com/documents/data_sheet/MMBT3906.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","250","PNP","MMBT3904","100","40","250","300"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT2907","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT2907.html","http://www.nxp.com/documents/data_sheet/PMBT2907.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","200","PNP","PMBT2222","600","40","250","365"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT2907A","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT2907A.html","http://www.nxp.com/documents/data_sheet/PMBT2907A.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","200","PNP","PMBT2222A","600","60","250","365"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT2907AYS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT2907AYS.html","http://www.nxp.com/documents/data_sheet/PMBT2907AYS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT3906","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT3906.html","http://www.nxp.com/documents/data_sheet/PMBT3906.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","250","PNP","PMBT3904","100","40","250","300"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT3906M","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT3906M.html","http://www.nxp.com/documents/data_sheet/PMBT3906M.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT3906MB","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT3906MB.html","http://www.nxp.com/documents/data_sheet/PMBT3906MB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT4403","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT4403.html","http://www.nxp.com/documents/data_sheet/PMBT4403.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","300","200","PNP","PMBT4401","600","40","250","350"
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMBT4403YS","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMBT4403YS.html","http://www.nxp.com/documents/data_sheet/PMBT4403YS.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","","","","","","","","",""
"nxp","Bipolar transistors---General purpose bipolar transistors---Switching transistors---Single PNP switching transistors","PMSS3906","http://www.nxp.com/products/bipolar_transistors/general_purpose_bipolar_transistors/switching_transistors/single_pnp_switching_transistors/PMSS3906.html","http://www.nxp.com/documents/data_sheet/PMSS3906.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","300","150","PNP","PMSS3904","100","40","200","700"
