"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Product status","IC [max]","VCESM [max]","VCEO [max]","Ptot [max]","hFE [typ]","@ IC","tf [max]"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ100","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ100.html","http://www.nxp.com/documents/data_sheet/BUJ100.pdf","SOT54","TO-92","4.6 x 3.9 x 5.1","Production","1","700","","","14","0.75","70"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ100LR","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ100LR.html","http://www.nxp.com/documents/data_sheet/BUJ100LR.pdf","SOT54","TO-92","4.6 x 3.9 x 5.1","Production","1","700","400","2.1","7.5","0.8",""
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ103A","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ103A.html","http://www.nxp.com/documents/data_sheet/BUJ103A.pdf","SOT78","TO-220AB","15.6 x 10.0 x 4.4","Production","4","700","","","","","60"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ103AD","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ103AD.html","http://www.nxp.com/documents/data_sheet/BUJ103AD.pdf","SOT428","DPAK","6.0 x 6.6 x 2.3","Production","4","700","","","","","60"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ103AX","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ103AX.html","http://www.nxp.com/documents/data_sheet/BUJ103AX_HG.pdf","SOT186A","TO-220F","15.5 x 10.0 x 4.3","Production","4","700","400","26","","","80"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ105A","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ105A.html","http://www.nxp.com/documents/data_sheet/BUJ105A.pdf","SOT78","TO-220AB","15.6 x 10.0 x 4.4","Production","8","700","","","","","50"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ105AB","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ105AB.html","http://www.nxp.com/documents/data_sheet/BUJ105AB.pdf","SOT404","D2PAK","11 x 10 x 4.3","Production","8","700","","","","","50"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ105AD","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ105AD.html","http://www.nxp.com/documents/data_sheet/BUJ105AD.pdf","SOT428","DPAK","6.0 x 6.6 x 2.3","Production","8","700","","","","","50"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ106A","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ106A.html","http://www.nxp.com/documents/data_sheet/BUJ106A.pdf","SOT78","TO-220AB","15.6 x 10.0 x 4.4","Production","10","700","","","","","50"
"nxp","Bipolar transistors---High voltage bipolar transistors for lighting， SMPS and industrial applications","BUJ302A","http://www.nxp.com/products/bipolar_transistors/high_voltage_bipolar_transistors_for_lighting_smps_and_industrial_applications/BUJ302A.html","http://www.nxp.com/documents/data_sheet/BUJ302A.pdf","SOT78","TO-220AB","15.6 x 10.0 x 4.4","Production","4","1050","400","80","42","0.8",""
