"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","Product status","Polarity","Ptot [max]","VCEO [max]","IC [max]","VCEsat [max]","RCEsat@IC [max]; IC/IB =10 [typ]","hFE [min]","fT [typ]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV2160Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV2160Z.html","http://www.nxp.com/documents/data_sheet/PBHV2160Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","650","600","0.1","125","","70",""
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV3160Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV3160Z.html","http://www.nxp.com/documents/data_sheet/PBHV3160Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","PNP","650","-600","-0.1","-250","","70","38"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8115T","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8115T.html","http://www.nxp.com/documents/data_sheet/PBHV8115T.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","Production","NPN","300","150","1","350","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8115X","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8115X.html","http://www.nxp.com/documents/data_sheet/PBHV8115X.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","Production","NPN","520","150","1","50","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8115Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8115Z.html","http://www.nxp.com/documents/data_sheet/PBHV8115Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","700","150","1","350","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8118T","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8118T.html","http://www.nxp.com/documents/data_sheet/PBHV8118T.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","Production","NPN","300","180","1","50","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8140Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8140Z.html","http://www.nxp.com/documents/data_sheet/PBHV8140Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","730","400","1","250","150; 150","100","25"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8215Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8215Z.html","http://www.nxp.com/documents/data_sheet/PBHV8215Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","730","150","2","280","","100","33"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8540T","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8540T.html","http://www.nxp.com/documents/data_sheet/PBHV8540T.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","Production","NPN","300","400","0.5","250","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8540X","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8540X.html","http://www.nxp.com/documents/data_sheet/PBHV8540X.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","Production","NPN","520","400","0.5","250","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8540Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8540Z.html","http://www.nxp.com/documents/data_sheet/PBHV8540Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","700","400","0.5","250","","100","30"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV8560Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV8560Z.html","http://www.nxp.com/documents/data_sheet/PBHV8560Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","NPN","650","600","0.5","100","","70",""
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV9040T","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV9040T.html","http://www.nxp.com/documents/data_sheet/PBHV9040T.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","Production","PNP","300","-400","-0.25","-200","","100","55"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV9040X","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV9040X.html","http://www.nxp.com/documents/data_sheet/PBHV9040X.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","Production","PNP","520","-400","-0.25","-200","","100","55"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV9040Z","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV9040Z.html","http://www.nxp.com/documents/data_sheet/PBHV9040Z.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","Production","PNP","700","-400","-0.25","-200","","100","55"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---High voltage low VCEsat (BISS) transistors","PBHV9050T","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/high_voltage_low_vcesat_biss_transistors/PBHV9050T.html","http://www.nxp.com/documents/data_sheet/PBHV9050T.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","Production","PNP","300","-500","-0.15","-200","","100","50"
