"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","transistor polarity","Ptot [max]","VCEO [max]","IC [max]","ICM [max]","hFE [min]","hFE [typ]","fT [min]","fT [typ]","RCEsat [typ]","RCEsat [max]","VCEsat [max]"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","2PB1424","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/2PB1424.html","http://www.nxp.com/documents/data_sheet/2PB1424.pdf","SOT89","SOT89","4.5 x 2.5 x 1.5","PNP","2000","-20","-3","-5","180","","","125","","","-500"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60406PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60406PY.html","http://www.nxp.com/documents/data_sheet/PHPT60406PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-40","-6","-12","210","300","","110","58","78","-540"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60410PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60410PY.html","http://www.nxp.com/documents/data_sheet/PHPT60410PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-40","-10","-20","240","350","","97","37","55","-800"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60415PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60415PY.html","http://www.nxp.com/documents/data_sheet/PHPT60415PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-40","-15","-30","200","340","","80","25","57","-850"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60603PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60603PY.html","http://www.nxp.com/documents/data_sheet/PHPT60603PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-60","-3","-8","150","250","","110","80; 100","120; 225","-360"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60606PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60606PY.html","http://www.nxp.com/documents/data_sheet/PHPT60606PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-60","-6","-12","120","200","","110","66","88","-525"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT60610PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT60610PY.html","http://www.nxp.com/documents/data_sheet/PHPT60610PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-60","-10","-20","120","215","","85","29","47","-470"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT61002PYC","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT61002PYC.html","http://www.nxp.com/documents/data_sheet/PHPT61002PYC.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-100","-2","-6","100","150","","125","125","200","-400"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT61003PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT61003PY.html","http://www.nxp.com/documents/data_sheet/PHPT61003PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-100","-3","-8","150","220","","125","110","180","-360"
"nxp","Bipolar transistors---Low VCEsat (BISS) transistors---Low voltage low VCEsat (BISS) transistors---Low VCEsat (BISS) transistors single PNP","PHPT61006PY","http://www.nxp.com/products/bipolar_transistors/low_vcesat_biss_transistors/low_voltage_low_vcesat_biss_transistors/low_vcesat_biss_transistors_single_pnp/PHPT61006PY.html","http://www.nxp.com/documents/data_sheet/PHPT61006PY.pdf","SOT669","LFPAK56; Power-SO8","3.95 x 4.9 x 1.1","PNP","25000","-100","-6","-12","170","305","","116","85","270","-1600"
