"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IC [max]","R1 (typ)","R2 (typ)","channel type","Ptot","VCEO"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PEMD2","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PEMD2.html","http://www.nxp.com/documents/data_sheet/PEMD2_PIMD2_PUMD2.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","22","22","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PIMD2","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PIMD2.html","http://www.nxp.com/documents/data_sheet/PEMD2_PIMD2_PUMD2.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","100","22","22","NPN/PNP","600","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PUMD2","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PUMD2.html","http://www.nxp.com/documents/data_sheet/PEMD2_PIMD2_PUMD2.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","22","22","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PEMD3","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PEMD3.html","http://www.nxp.com/documents/data_sheet/PEMD3_PIMD3_PUMD3.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","10","10","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PIMD3","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PIMD3.html","http://www.nxp.com/documents/data_sheet/PEMD3_PIMD3_PUMD3.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","100","10","10","NPN/PNP","600","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PUMD3","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PUMD3.html","http://www.nxp.com/documents/data_sheet/PEMD3_PIMD3_PUMD3.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","10","10","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PEMD4","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PEMD4.html","http://www.nxp.com/documents/data_sheet/PEMD4_PUMD4.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","10","","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PUMD4","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PUMD4.html","http://www.nxp.com/documents/data_sheet/PEMD4_PUMD4.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","10","","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PEMD6","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PEMD6.html","http://www.nxp.com/documents/data_sheet/PEMD6_PUMD6.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","4.7","","NPN/PNP","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V complementary","PUMD6","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_complementary/PUMD6.html","http://www.nxp.com/documents/data_sheet/PEMD6_PUMD6.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","4.7","","NPN/PNP","300","50"
