"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IC [max]","R1 (typ)","R2 (typ)","channel type","Ptot","VCEO"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH1","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH1.html","http://www.nxp.com/documents/data_sheet/PEMH1_PUMH1.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","22","22","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH1","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH1.html","http://www.nxp.com/documents/data_sheet/PEMH1_PUMH1.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","22","22","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH2","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH2.html","http://www.nxp.com/documents/data_sheet/PEMH2_PUMH2.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","47","47","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH2","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH2.html","http://www.nxp.com/documents/data_sheet/PEMH2_PUMH2.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","47","47","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH4","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH4.html","http://www.nxp.com/documents/data_sheet/PEMH4_PUMH4.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","10","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH4","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH4.html","http://www.nxp.com/documents/data_sheet/PEMH4_PUMH4.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","10","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH7","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH7.html","http://www.nxp.com/documents/data_sheet/PEMH7_PUMH7.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","4.7","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PUMH7","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PUMH7.html","http://www.nxp.com/documents/data_sheet/PEMH7_PUMH7.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","4.7","","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PEMH9","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PEMH9.html","http://www.nxp.com/documents/data_sheet/PEMH9_PIMH9_PUMH9.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","10","47","NPN/NPN","300","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V double NPN","PIMH9","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_double_npn/PIMH9.html","http://www.nxp.com/documents/data_sheet/PEMH9_PIMH9_PUMH9.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","100","10","47","NPN/NPN","600","50"
