"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IC [max]","R1 (typ)","R2 (typ)","channel type","Ptot","VCEO"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114EM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114EM.html","http://www.nxp.com/documents/data_sheet/PDTC114E_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","10","10","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114ET","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114ET.html","http://www.nxp.com/documents/data_sheet/PDTC114E_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","10","10","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114EU","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114EU.html","http://www.nxp.com/documents/data_sheet/PDTC114E_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","10","10","NPN","200","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114EMB","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114EMB.html","http://www.nxp.com/documents/data_sheet/PDTC114EMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","100","10","10","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114TM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114TM.html","http://www.nxp.com/documents/data_sheet/PDTC114T_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","10","","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114TT","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114TT.html","http://www.nxp.com/documents/data_sheet/PDTC114T_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","10","","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114TU","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114TU.html","http://www.nxp.com/documents/data_sheet/PDTC114T_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","10","","NPN","200","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114TMB","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114TMB.html","http://www.nxp.com/documents/data_sheet/PDTC114TMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","100","10","","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114YM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114YM.html","http://www.nxp.com/documents/data_sheet/PDTC114Y_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","10","47","NPN","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single NPN","PDTC114YT","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_npn/PDTC114YT.html","http://www.nxp.com/documents/data_sheet/PDTC114Y_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","10","47","NPN","250","50"
