"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IC [max]","R1 (typ)","R2 (typ)","channel type","Ptot","VCEO"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113EM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113EM.html","http://www.nxp.com/documents/data_sheet/PDTA113E_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","1","1","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113ET","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113ET.html","http://www.nxp.com/documents/data_sheet/PDTA113E_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","1","1","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113EU","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113EU.html","http://www.nxp.com/documents/data_sheet/PDTA113E_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","1","1","PNP","200","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113EMB","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113EMB.html","http://www.nxp.com/documents/data_sheet/PDTA113EMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","100","1","1","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113ZM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113ZM.html","http://www.nxp.com/documents/data_sheet/PDTA113Z_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","1","10","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113ZT","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113ZT.html","http://www.nxp.com/documents/data_sheet/PDTA113Z_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","1","10","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113ZU","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113ZU.html","http://www.nxp.com/documents/data_sheet/PDTA113Z_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","1","10","PNP","200","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA113ZMB","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA113ZMB.html","http://www.nxp.com/documents/data_sheet/PDTA113ZMB.pdf","SOT883B","DFN1006B-3","1 x 0.6 x 0.37","100","1","10","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA114EM","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA114EM.html","http://www.nxp.com/documents/data_sheet/PDTA114E_SER.pdf","SOT883","DFN1006-3","1.0 x 0.6 x 0.5","100","10","10","PNP","250","50"
"nxp","Bipolar transistors---Resistor-equipped transistors (RETs)---RET 100 mA， 50 V---RET 100 mA， 50 V single PNP","PDTA114ET","http://www.nxp.com/products/bipolar_transistors/resistor_equipped_transistors_rets/ret_100_ma_50_v/ret_100_ma_50_v_single_pnp/PDTA114ET.html","http://www.nxp.com/documents/data_sheet/PDTA114E_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","10","10","PNP","250","50"
