"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VR [max]","IF [max]","IFSM [max]","Configuration","VF [max]","Cd [max]","IR [max]","IR [max]"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS70SB10","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS70SB10.html","http://www.nxp.com/documents/data_sheet/1PS70SB10.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS70SB14","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS70SB14.html","http://www.nxp.com/documents/data_sheet/1PS70SB14.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual series","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS70SB15","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS70SB15.html","http://www.nxp.com/documents/data_sheet/1PS70SB15.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual c.c.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS70SB16","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS70SB16.html","http://www.nxp.com/documents/data_sheet/1PS70SB16.pdf","SOT323","SC-70","2 x 1.25 x 0.95","30","200","0.6","dual c.a.","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS76SB10","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS76SB10.html","http://www.nxp.com/documents/data_sheet/1PS76SB10.PDF","SOD323","SOD323","1.7 x 1.25 x 0.95","30","200","0.6","single","400@IF=10mA","10@VR=1V","","2@VR=25V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","1PS76SB21","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/1PS76SB21.html","http://www.nxp.com/documents/data_sheet/1PS76SB21_BAT721_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","40","200","1","single","300@IF=10mA","50@VR=0V","","15@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT721","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT721.html","http://www.nxp.com/documents/data_sheet/1PS76SB21_BAT721_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","200","1","single","300@IF=10mA","50@VR=0V","","15@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT721A","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT721A.html","http://www.nxp.com/documents/data_sheet/1PS76SB21_BAT721_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","200","1","dual c.a.","300@IF=10mA","50@VR=0V","","15@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT721C","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT721C.html","http://www.nxp.com/documents/data_sheet/1PS76SB21_BAT721_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","200","1","dual c.c.","300@IF=10mA","50@VR=0V","","15@VR=30V"
"nxp","Diodes---General purpose Schottky diodes ≤ 250 mA","BAT721S","http://www.nxp.com/products/diodes/general_purpose_schottky_diodes_250_ma/BAT721S.html","http://www.nxp.com/documents/data_sheet/1PS76SB21_BAT721_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","200","1","dual series","300@IF=10mA","50@VR=0V","","15@VR=30V"
