"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","IF","VR","Configuration","VF [max]","IFSM [max]","Cd [max]","IR [max]","Remark"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","1PS70SB20","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/1PS70SB20.html","http://www.nxp.com/documents/data_sheet/1PS70SB20.pdf","SOT323","SC-70","2 x 1.25 x 0.95","0.5","40","single","550@IF=0,5A","2","90@VR=0V","0,1@VR=35V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","1PS74SB23","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/1PS74SB23.html","http://www.nxp.com/documents/data_sheet/1PS74SB23.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","1","25","single","450@IF=1A","25","100@VR=4V","1@VR=25V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT46WH","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT46WH.html","http://www.nxp.com/documents/data_sheet/BAT46WH.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","0.25","100","single","850@IF=0,25A","2.5","21@VR=1V","0,009@VR=100V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT46WJ","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT46WJ.html","http://www.nxp.com/documents/data_sheet/BAT46WJ.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","0.25","100","single","850@IF=0,25A","2.5","21@VR=1V","0,009@VR=100V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT120A","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT120A.html","http://www.nxp.com/documents/data_sheet/BAT120_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","25","dual c.a.","450@IF=1A","10","100@VR=4V","1@VR=25V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT120C","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT120C.html","http://www.nxp.com/documents/data_sheet/BAT120_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","25","dual c.c.","450@IF=1A","10","100@VR=4V","1@VR=25V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT120S","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT120S.html","http://www.nxp.com/documents/data_sheet/BAT120_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","25","dual series","450@IF=1A","10","100@VR=4V","1@VR=25V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT160A","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT160A.html","http://www.nxp.com/documents/data_sheet/BAT160_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","60","dual c.a.","650@IF=1A","10","60@VR=4V","0,35@VR=60V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT160C","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT160C.html","http://www.nxp.com/documents/data_sheet/BAT160_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","60","dual c.c.","650@IF=1A","10","60@VR=4V","0,35@VR=60V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT160S","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT160S.html","http://www.nxp.com/documents/data_sheet/BAT160_SERIES.pdf","SOT223","SC-73","6.5 x 3.5 x 1.65","1","60","dual series","650@IF=1A","10","60@VR=4V","0,35@VR=60V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT720","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT720.html","http://www.nxp.com/documents/data_sheet/BAT720.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","0.5","40","single","550@IF=0,5A","2","90@VR=0V","0,1@VR=35V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT760","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT760.html","http://www.nxp.com/documents/data_sheet/BAT760.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","20","single","550@IF=1A","5","25@VR=5V","0,05@VR=15V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","BAT960","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/BAT960.html","http://www.nxp.com/documents/data_sheet/BAT960.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","1","20","single","550@IF=1A","8","25@VR=5V","0,05@VR=15V",""
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG2005EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG2005EPK.html","http://www.nxp.com/documents/data_sheet/PMEG2005EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","0.5","20","single","410@IF=0,5A","3","35@VR=1V","0,3@VR=20V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG2010EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG2010EPK.html","http://www.nxp.com/documents/data_sheet/PMEG2010EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","1","20","single","415@IF=1A","5","65@VR=1V","0,6@VR=20V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG2015EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG2015EPK.html","http://www.nxp.com/documents/data_sheet/PMEG2015EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","1","20","single","420@IF=1,5A","5","105@VR=1V","0,9@VR=20V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG2020EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG2020EPK.html","http://www.nxp.com/documents/data_sheet/PMEG2020EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","2","20","single","450@IF=2A","5","105@VR=1V","0,9@VR=20V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG4005EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG4005EPK.html","http://www.nxp.com/documents/data_sheet/PMEG4005EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","0.5","40","single","590@IF=0,5A","3","30@VR=1V","0,01@VR=40V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG4010EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG4010EPK.html","http://www.nxp.com/documents/data_sheet/PMEG4010EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","1","40","single","600@IF=1A","5","50@VR=1V","0,02@VR=40V","solderable side pads"
"nxp","Diodes---Medium power Schottky diodes ≥ 200 mA","PMEG4015EPK","http://www.nxp.com/products/diodes/medium_power_schottky_diodes_200_ma/PMEG4015EPK.html","http://www.nxp.com/documents/data_sheet/PMEG4015EPK.pdf","SOD1608","DFN1608D-2","0.8 x 1.6 x 0.37","1.5","40","single","610@IF=1,5A","5","75@VR=1V","0,03@VR=40V","solderable side pads"
