"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","number of diodes","IF(AV) [max]","IO(AV) [max]","Tj [max]","VRRM [max]","VF [typ] @ Tj = 150 °C","@ IF","trr [typ] @ VR = 400 V, Tj = 25 °C"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5-600.html","http://www.nxp.com/documents/data_sheet/BYC5-600.pdf","SOD59","TO-220AC","Production","1","5","","","600","1.4","5","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5-600P.html","http://www.nxp.com/documents/data_sheet/BYC5-600P.pdf","SOD59","TO-220AC","Production","1","5","","175","600","1.4","5","13"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5B-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5B-600.html","http://www.nxp.com/documents/data_sheet/BYC5B-600.pdf","SOT404","D2PAK","Production","1","5","","","600","1.4","5","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5D-500","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5D-500.html","http://www.nxp.com/documents/data_sheet/BYC5D-500.pdf","SOD59","TO-220AC","Production","1","5","","150","500","1.15","5","16"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5DX-500","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5DX-500.html","http://www.nxp.com/documents/data_sheet/BYC5DX-500.pdf","SOD113","TO-220F","Production","1","5","","150","500","1.15","5","16"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5X-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5X-600.html","http://www.nxp.com/documents/data_sheet/BYC5X-600.pdf","SOD113","TO-220F","Production","1","5","","","600","1.4","5","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC5X-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC5X-600P.html","http://www.nxp.com/documents/data_sheet/BYC5X-600P.pdf","SOD113A","TO-220F","Production","1","5","","175","600","1.35","5","13"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8-600.html","http://www.nxp.com/documents/data_sheet/BYC8-600.pdf","SOD59","TO-220AC","Production","1","8","","150","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8-600P.html","http://www.nxp.com/documents/data_sheet/BYC8-600P.pdf","SOD59","TO-220AC","Production","1","8","","175","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8B-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8B-600.html","http://www.nxp.com/documents/data_sheet/BYC8B-600.pdf","SOT404","D2PAK","Production","1","8","","","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8B-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8B-600P.html","http://www.nxp.com/documents/data_sheet/BYC8B-600P.pdf","SOT404","D2PAK","Production","1","8","","175","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8D-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8D-600.html","http://www.nxp.com/documents/data_sheet/BYC8D-600.pdf","SOD59","TO-220AC","Production","1","8","","150","600","1.5","8","20"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8DX-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8DX-600.html","http://www.nxp.com/documents/data_sheet/BYC8DX-600.pdf","SOD113","TO-220F","Production","1","8","","150","600","1.5","8","20"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8X-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8X-600.html","http://www.nxp.com/documents/data_sheet/BYC8X-600.pdf","SOD113","TO-220F","Production","1","8","","150","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC8X-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC8X-600P.html","http://www.nxp.com/documents/data_sheet/BYC8X-600P.pdf","SOD113","TO-220F","Production","1","8","","175","600","1.4","8","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10-600.html","http://www.nxp.com/documents/data_sheet/BYC10-600.pdf","SOD59","TO-220AC","Production","1","10","","150","600","1.4","10","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10-600CT","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10-600CT.html","http://www.nxp.com/documents/data_sheet/BYC10-600CT.pdf","SOT78","TO-220AB","Production","2","","10","150","600","1.4","5","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10-600P.html","http://www.nxp.com/documents/data_sheet/BYC10-600P.pdf","SOD59","TO-220AC","Production","1","10","","175","600","1.3","10","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10B-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10B-600.html","http://www.nxp.com/documents/data_sheet/BYC10B-600.pdf","SOT404","D2PAK","Production","1","10","","","600","1.4","10","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10D-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10D-600.html","http://www.nxp.com/documents/data_sheet/BYC10D-600.pdf","SOD59","TO-220AC","Production","1","10","","150","600","1.4","10","18"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10DX-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10DX-600.html","http://www.nxp.com/documents/data_sheet/BYC10DX-600.pdf","SOD113","TO-220F","Production","1","10","","150","600","1.4","10","18"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10X-600","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10X-600.html","http://www.nxp.com/documents/data_sheet/BYC10X-600.pdf","SOD113","TO-220F","Production","1","10","","","600","1.4","10","19"
"nxp","Diodes---Power diodes (hyperfast recovery)","BYC10X-600P","http://www.nxp.com/products/diodes/power_diodes_hyperfast_recovery/BYC10X-600P.html","http://www.nxp.com/documents/data_sheet/BYC10X-600P.pdf","SOD113A","TO-220F","Production","1","10","","175","600","1.3","10","19"
