"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Product status","number of diodes","IF(AV) [max]","IO(AV) [max]","Tj [max]","VRRM [max]","VF [typ] @ Tj = 150 °C","@ IF","trr [typ] @ IF = 1 A, VR = 30 V"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ28E-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ28E-200.html","http://www.nxp.com/documents/data_sheet/BYQ28_SER_E_ED.pdf","SOT78","TO-220AB","Production","2","","10","150","200","0.8","5","15"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ28E-200E","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ28E-200E.html","http://www.nxp.com/documents/data_sheet/BYQ28E-200E.pdf","SOT78","TO-220AB","Production","2","","10","150","200","0.8","5","15"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ28ED-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ28ED-200.html","http://www.nxp.com/documents/data_sheet/BYQ28_SER_E_ED.pdf","SOT428","DPAK","Production","2","","10","150","200","0.8","5","15"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ28X-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ28X-200.html","http://www.nxp.com/documents/data_sheet/BYQ28X-200.pdf","SOT186A","TO-220F","Production","2","","10","150","200","0.8","5","15"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ28X-200E","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ28X-200E.html","No full datasheet available","SOT186A","TO-220F","Qualification","2","","10","150","200","0.8","5","15"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ30E-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ30E-200.html","http://www.nxp.com/documents/data_sheet/BYQ30E-200.pdf","SOT78","TO-220AB","Production","2","","16","150","200","0.84","8","20"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ42E-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ42E-200.html","http://www.nxp.com/documents/data_sheet/BYQ42E-200.pdf","SOT78","TO-220AB","Production","2","15","30","150","200","0.78","15","18"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ72EK-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ72EK-200.html","http://www.nxp.com/documents/data_sheet/BYQ72EK-200.pdf","SOT1259","TO3P","Production","2","15","30","150","200","0.78","15","18"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYQ72EW-200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYQ72EW-200.html","http://www.nxp.com/documents/data_sheet/BYQ72EW-200.pdf","SOT429","TO-247","Production","2","15","30","150","200","0.78","15","18"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYR16W-1200","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYR16W-1200.html","http://www.nxp.com/documents/data_sheet/BYR16W-1200.pdf","SOD142","TO-247","Production","1","16","","150","1200","","","40; 50"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYR29-600","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYR29-600.html","http://www.nxp.com/documents/data_sheet/BYR29_SERIES.pdf","SOD59","TO-220AC","Production","1","8","","","600","1.07","8","60"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYR29-800","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYR29-800.html","http://www.nxp.com/documents/data_sheet/BYR29_SERIES.pdf","SOD59","TO-220AC","Production","1","8","","","800","1.07","8","60"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYR29X-600","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYR29X-600.html","http://www.nxp.com/documents/data_sheet/BYR29X-600.pdf","SOD113","TO-220F","Production","1","8","","150","600","1.07","8","60"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYR29X-800","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYR29X-800.html","http://www.nxp.com/documents/data_sheet/BYR29X-800.pdf","SOD113","TO-220F","Production","1","8","","150","800","1.07","8","60"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYT28-300","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYT28-300.html","http://www.nxp.com/documents/data_sheet/BYT28_SER.pdf","SOT78","TO-220AB","Production","2","","10","150","300","","","50"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYT28-500","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYT28-500.html","http://www.nxp.com/documents/data_sheet/BYT28_SER.pdf","SOT78","TO-220AB","Production","2","","10","150","500","","","50"
"nxp","Diodes---Power diodes (ultrafast recovery)","BYT79-500","http://www.nxp.com/products/diodes/power_diodes_ultrafast_recovery/BYT79-500.html","http://www.nxp.com/documents/data_sheet/BYT79_SERIES.pdf","SOD59","TO-220AC","Production","1","14","","","500","0.9","15","50"
