"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VR max","IF max","Configuration","trr max","VFmax","IR max","IFSM max","IFRM","Cd max."
"nxp","Diodes---Switching diodes","1N4531","http://www.nxp.com/products/diodes/switching_diodes/1N4531.html","http://www.nxp.com/documents/data_sheet/1N4531.pdf","SOD68","DO-34","3.04 x 1.6","75","200","single","4","1000@IF=10mA","25@VR=20V","4","450","4"
"nxp","Diodes---Switching diodes","1PS300","http://www.nxp.com/products/diodes/switching_diodes/1PS300.html","http://www.nxp.com/documents/data_sheet/1PS300.pdf","SOT323","SC-70","2 x 1.25 x 0.95","80","200","dual c.a.","4","1000@IF=50mA","500@VR=80V","4","500","2"
"nxp","Diodes---Switching diodes","1PS301","http://www.nxp.com/products/diodes/switching_diodes/1PS301.html","http://www.nxp.com/documents/data_sheet/1PS301.pdf","SOT323","SC-70","2 x 1.25 x 0.95","80","250","dual c.c.","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","1PS302","http://www.nxp.com/products/diodes/switching_diodes/1PS302.html","http://www.nxp.com/documents/data_sheet/1PS302.pdf","SOT323","SC-70","2 x 1.25 x 0.95","80","200","dual series","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAL74","http://www.nxp.com/products/diodes/switching_diodes/BAL74.html","http://www.nxp.com/documents/data_sheet/BAL74.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","50","215","single","4","1000@IF=50mA","100@VR=50V","4","500","2"
"nxp","Diodes---Switching diodes","BAL99","http://www.nxp.com/products/diodes/switching_diodes/BAL99.html","http://www.nxp.com/documents/data_sheet/BAL99.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","70","215","single (alt.)","4","1000@IF=50mA","1000@VR=70V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS16","http://www.nxp.com/products/diodes/switching_diodes/BAS16.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","215","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS16H","http://www.nxp.com/products/diodes/switching_diodes/BAS16H.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","100","215","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS16J","http://www.nxp.com/products/diodes/switching_diodes/BAS16J.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","100","250","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS16L","http://www.nxp.com/products/diodes/switching_diodes/BAS16L.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","100","215","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS16VV","http://www.nxp.com/products/diodes/switching_diodes/BAS16VV.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOT666","SOT666","1.6 x 1.2 x 0.55","100","200","triple isolated","4","1000@IF=50mA","500@VR=80V","4","450","1.5"
"nxp","Diodes---Switching diodes","BAS16VY","http://www.nxp.com/products/diodes/switching_diodes/BAS16VY.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOT363","TSSOP6","2 x 1.25 x 0.95","100","200","triple isolated","4","1000@IF=50mA","500@VR=80V","4","450","1.5"
"nxp","Diodes---Switching diodes","BAS16W","http://www.nxp.com/products/diodes/switching_diodes/BAS16W.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOT323","SC-70","2 x 1.25 x 0.95","100","175","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS316","http://www.nxp.com/products/diodes/switching_diodes/BAS316.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","100","250","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS516","http://www.nxp.com/products/diodes/switching_diodes/BAS516.html","http://www.nxp.com/documents/data_sheet/BAS16_SER.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","100","250","single","4","1000@IF=50mA","500@VR=80V","4","500","1"
"nxp","Diodes---Switching diodes","BAS16LD","http://www.nxp.com/products/diodes/switching_diodes/BAS16LD.html","http://www.nxp.com/documents/data_sheet/BAS16LD.pdf","SOD882D","DFN1006D-2","0.6 x 1 x 0.4","100","215","single","4","1000@IF=50mA","500@VR=80V","4","500","1.5"
"nxp","Diodes---Switching diodes","BAS19","http://www.nxp.com/products/diodes/switching_diodes/BAS19.html","http://www.nxp.com/documents/data_sheet/BAS19_20_21.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","100","200","single","50","1000@IF=100mA","100@VR=100V","9","625","5"
"nxp","Diodes---Switching diodes","BAS20","http://www.nxp.com/products/diodes/switching_diodes/BAS20.html","http://www.nxp.com/documents/data_sheet/BAS19_20_21.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","150","200","single","50","1000@IF=100mA","100@VR=150V","9","625","5"
"nxp","Diodes---Switching diodes","BAS21","http://www.nxp.com/products/diodes/switching_diodes/BAS21.html","http://www.nxp.com/documents/data_sheet/BAS19_20_21.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","200","200","single","50","1000@IF=100mA","100@VR=200V","9","625","5"
"nxp","Diodes---Switching diodes","BAS21AVD","http://www.nxp.com/products/diodes/switching_diodes/BAS21AVD.html","http://www.nxp.com/documents/data_sheet/BAS21AVD.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","200","200","triple isolated","50","1000@IF=100mA","100@VR=200V","16","1000","5"
"nxp","Diodes---Switching diodes","BAS21H","http://www.nxp.com/products/diodes/switching_diodes/BAS21H.html","http://www.nxp.com/documents/data_sheet/BAS21H.pdf","SOD123F","SOD123F","2.6 x 1.6 x 1.1","200","200","single","50","1000@IF=100mA","100@VR=200V","9","625","5"
"nxp","Diodes---Switching diodes","BAS21J","http://www.nxp.com/products/diodes/switching_diodes/BAS21J.html","http://www.nxp.com/documents/data_sheet/BAS21J.pdf","SOD323F","SOD323F","1.7 x 1.25 x 0.7","300","250","single","50","1100@IF=100mA","150@VR=250V","3","1000","2"
"nxp","Diodes---Switching diodes","BAS21PG","http://www.nxp.com/products/diodes/switching_diodes/BAS21PG.html","http://www.nxp.com/documents/data_sheet/BAS21PG.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95","250","225","dual isolated","50","1250@IF=200mA","100@VR=200V","9","625","2"
