"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","VZ nom","Tolerance +/- %","VZ min.","VZ max.","IF max","Ptot","PZSM","Configuration"
"nxp","Diodes---Zener diodes","1N4728A","http://www.nxp.com/products/diodes/zener_diodes/1N4728A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","3.3","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4729A","http://www.nxp.com/products/diodes/zener_diodes/1N4729A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","3.6","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4730A","http://www.nxp.com/products/diodes/zener_diodes/1N4730A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","3.9","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4731A","http://www.nxp.com/products/diodes/zener_diodes/1N4731A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","4.3","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4732A","http://www.nxp.com/products/diodes/zener_diodes/1N4732A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","4.7","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4733A","http://www.nxp.com/products/diodes/zener_diodes/1N4733A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","5","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4734A","http://www.nxp.com/products/diodes/zener_diodes/1N4734A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","5.6","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4735A","http://www.nxp.com/products/diodes/zener_diodes/1N4735A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","6","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4736A","http://www.nxp.com/products/diodes/zener_diodes/1N4736A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","6","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4737A","http://www.nxp.com/products/diodes/zener_diodes/1N4737A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","7","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4738A","http://www.nxp.com/products/diodes/zener_diodes/1N4738A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","8","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4739A","http://www.nxp.com/products/diodes/zener_diodes/1N4739A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","9","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4740A","http://www.nxp.com/products/diodes/zener_diodes/1N4740A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","10","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4741A","http://www.nxp.com/products/diodes/zener_diodes/1N4741A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","11","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4742A","http://www.nxp.com/products/diodes/zener_diodes/1N4742A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","12","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4743A","http://www.nxp.com/products/diodes/zener_diodes/1N4743A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","13","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4744A","http://www.nxp.com/products/diodes/zener_diodes/1N4744A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","15","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4745A","http://www.nxp.com/products/diodes/zener_diodes/1N4745A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","16","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4746A","http://www.nxp.com/products/diodes/zener_diodes/1N4746A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","18","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4747A","http://www.nxp.com/products/diodes/zener_diodes/1N4747A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","20","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4748A","http://www.nxp.com/products/diodes/zener_diodes/1N4748A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","22","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","1N4749A","http://www.nxp.com/products/diodes/zener_diodes/1N4749A.html","http://www.nxp.com/documents/data_sheet/1N4728A_SER.pdf","SOD66","DO-41","","24","","","","500","1000","","single"
"nxp","Diodes---Zener diodes","BAS17","http://www.nxp.com/products/diodes/zener_diodes/BAS17.html","http://www.nxp.com/documents/data_sheet/BAS17.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","5","","","","200","250","","single"
"nxp","Diodes---Zener diodes","BZB84-B2V4","http://www.nxp.com/products/diodes/zener_diodes/BZB84-B2V4.html","http://www.nxp.com/documents/data_sheet/BZB84_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","2","appr. 2%","2.35","2.45","200","250","40","dual c.a."
