"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0L1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0L1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0L1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","12","15.4","5.5","30","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0L1USF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0L1USF.html","http://www.nxp.com/documents/data_sheet/PESD5V0L1USF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Unidirectional","12","15.4","5.5","30","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BCSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BCSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BCSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","5.3","6","5.5","20","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","3.5","4.5","5.5","15","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0V1USF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0V1USF.html","http://www.nxp.com/documents/data_sheet/PESD5V0V1USF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Unidirectional","4","5","5.5","12","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","IP4302CX2","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/IP4302CX2.html","http://www.nxp.com/documents/data_sheet/IP4302CX2_A.pdf","OL-IP4302CX2","WLCSP","0.52 x 0.72 x 0.42","","","","","","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3L1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3L1UB.html","http://www.nxp.com/documents/data_sheet/PESD3V3L1UA_UB_UL.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","34","40","3.3","30","0.3"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3L1UL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3L1UL.html","http://www.nxp.com/documents/data_sheet/PESD3V3L1UA_UB_UL.pdf","SOD882","DFN1006-2","1.0 x 0.6 x 0.5","1","Unidirectional","34","40","3.3","30","0.3"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3L5UK","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3L5UK.html","http://www.nxp.com/documents/data_sheet/PESD3V3L5UK_PESD5V0L5UK.pdf","SOT891","XSON6","1 x 1 x 0.5","5","Unidirectional","20","24","3.3","15","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD5V0L5UK","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD5V0L5UK.html","http://www.nxp.com/documents/data_sheet/PESD3V3L5UK_PESD5V0L5UK.pdf","SOT891","XSON6","1 x 1 x 0.5","5","Unidirectional","18.5","22","5","20","0.5"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3U1UA","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3U1UA.html","http://www.nxp.com/documents/data_sheet/PESD3V3U1UA_UB_UL.pdf","SOD323","SOD323","1.7 x 1.25 x 0.95","1","Unidirectional","2.6","3.1","3.3","9","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Low-capacitance ESD protection devices","PESD3V3U1UB","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/low_capacitance_esd_protection_devices/PESD3V3U1UB.html","http://www.nxp.com/documents/data_sheet/PESD3V3U1UA_UB_UL.pdf","SOD523","SOD523","1.2 x 0.8 x 0.6","1","Unidirectional","2.6","3.1","3.3","9","0.1"
