"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA408B","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA408B.html","http://www.nxp.com/documents/data_sheet/BZA408B.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Bidirectional","","75","5","15","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA420A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA420A.html","http://www.nxp.com/documents/data_sheet/BZA420A.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Unidirectional","","48","15","8","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA456A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA456A.html","http://www.nxp.com/documents/data_sheet/BZA456A.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Unidirectional","","240","3","8","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA462A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA462A.html","http://www.nxp.com/documents/data_sheet/BZA462A.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Unidirectional","","200","4","15","0.7"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA856A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA856A.html","http://www.nxp.com/documents/data_sheet/BZA800A_SERIES.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95","4","Unidirectional","","240","3","8","2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA862A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA862A.html","http://www.nxp.com/documents/data_sheet/BZA800A_SERIES.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95","4","Unidirectional","","200","4","8","0.7"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA856AVL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA856AVL.html","http://www.nxp.com/documents/data_sheet/BZA800AVL_SERIES.pdf","SOT353","TSSOP5","2 x 1.25 x 0.95","4","Unidirectional","22","28","3.3","15","0.2"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA956A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA956A.html","http://www.nxp.com/documents/data_sheet/BZA900A_SERIES.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","4","Unidirectional","","125","3","8","1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA962A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA962A.html","http://www.nxp.com/documents/data_sheet/BZA900A_SERIES.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","4","Unidirectional","","105","4","8","0.5"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA968A","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA968A.html","http://www.nxp.com/documents/data_sheet/BZA900A_SERIES.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","4","Unidirectional","","90","4.3","8","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","BZA962AVL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/BZA962AVL.html","http://www.nxp.com/documents/data_sheet/BZA900AVL_SERIES.pdf","SOT665","SOT665","1.6 x 1.2 x 0.55","4","Unidirectional","18","22","5","15",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD5V0S1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD5V0S1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0S1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","35","45","5.5","30","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Standard ESD protection devices","PESD5V0S1USF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/standard_esd_protection_devices/PESD5V0S1USF.html","http://www.nxp.com/documents/data_sheet/PESD5V0S1USF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","Unidirectional","35","","","30",""
