"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","No of protected lines","Configuration","Cd [typ] (pF)","Cd [max] (pF)","VRWM (V)","VESD IEC61000-4-2 (kV)","IRM [max] (µA)"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD3V3C1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD3V3C1BSF.html","http://www.nxp.com/documents/data_sheet/PESD3V3C1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","","","","","",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD3V3X1BCSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD3V3X1BCSF.html","http://www.nxp.com/documents/data_sheet/PESD3V3X1BCSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","","1.1","3.3","20","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0C1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0C1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0C1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","Bidirectional","0.25","","","20",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0C1USF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0C1USF.html","http://www.nxp.com/documents/data_sheet/PESD5V0C1USF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","Unidirectional","0.45","","","20",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","0.25","0.3","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0F1USF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0F1USF.html","http://www.nxp.com/documents/data_sheet/PESD5V0F1USF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Unidirectional","0.6","0.75","5.5","10","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0H1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0H1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0H1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","Bidirectional","0.2","","","15",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0R1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0R1BSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0R1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","","Bidirectional","0.15","","","10",""
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD5V0X1BCSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD5V0X1BCSF.html","http://www.nxp.com/documents/data_sheet/PESD5V0X1BCSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","","1.1","5","20","0.1"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","PESD18VF1BSF","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/PESD18VF1BSF.html","http://www.nxp.com/documents/data_sheet/PESD18VF1BSF.pdf","SOD962-2","DSN0603-2","0.6 x 0.3 x 0.3","1","Bidirectional","0.28","0.45","18","10","0.03"
"nxp","ESD protection， TVS， filtering and signal conditioning---General ESD protection devices---Ultra low-capacitance ESD protection devices","IP4220CZ6","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/general_esd_protection_devices/ultra_low_capacitance_esd_protection_devices/IP4220CZ6.html","http://www.nxp.com/documents/data_sheet/IP4220CZ6.pdf","SOT457","TSOP6","2.9 x 1.5 x 1","4","Rail-to-Rail","1","1.5","5.5","8","0.1"
