"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","PPPM @10/1000 µs [max] (W)","Configuration","No of protected lines","VRWM (V)","VBR [min] (V)","VBR [typ] (V)","VBR [max] (V)","IRM [max] (µA)","Vcl @ IPPM 10/1000 µs [max] (V)","IPPM @10/1000 µs [max] (A)","VESD IEC61000-4-2 (kV)","Tj [max]"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ5V6AL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ5V6AL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","24","Unidirectional","2","3","5.32","5.6","5.88","5","8","3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ6V2AL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ6V2AL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","24","Unidirectional","2","3","5.89","6.2","6.51","0.2","8.7","2.76","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ6V8AL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ6V8AL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","24","Unidirectional","2","4.5","6.48","6.8","7.14","0.3","9.6","2.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ9V1AL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ9V1AL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","24","Unidirectional","2","6","8.65","9.1","9.56","0.1","14","1.7","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ10VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ10VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","24","Unidirectional","2","6.5","9.5","10","10.5","0.02","14.2","1.7","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ12VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ12VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","Unidirectional","2","8.5","11.4","12","12.6","0,005","17","2.35","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ15VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ15VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","Unidirectional","2","12","14.25","15","15.75","0.005","21","1.9","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ18VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ18VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","Unidirectional","2","14.5","17.1","18","18.9","0.005","25","1.6","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ20VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ20VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","Unidirectional","2","17","19","20","21","0.005","28","1.4","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 24 W/40 W","MMBZ27VAL","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_24_w_40_w/MMBZ27VAL.html","http://www.nxp.com/documents/data_sheet/MMBZXAL_SER.pdf","SOT23","TO-236AB","2.9 x 1.3 x 1","40","Unidirectional","2","22","25.65","27","28.35","0.005","40","1","30","150"
