"brand","Series","PartNo","DetailLink","dataSheet","Package version","Package name","Size","PPPM @10/1000 µs [max] (W)","Configuration","No of protected lines","VRWM (V)","VBR [min] (V)","VBR [typ] (V)","VBR [max] (V)","IRM [max] (µA)","Vcl @ IPPM 10/1000 µs [max] (V)","IPPM @10/1000 µs [max] (A)","VESD IEC61000-4-2 (kV)","Tj [max]"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS3V3P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS3V3P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","3.3","5.2","5.6","6","600","8","75","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS5V0P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS5V0P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","5","6.4","6.7","7","400","9.2","65.2","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS6V0P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS6V0P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","6","6.67","7.02","7.37","400","10.3","58.3","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS6V5P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS6V5P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","6.5","7.22","7.6","7.98","250","11.2","53.6","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS7V0P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS7V0P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","7","7.78","8.2","8.6","100","12","50","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS7V5P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS7V5P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","7.5","8.33","8.77","9.21","50","12.9","46.5","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS8V0P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS8V0P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","8","8.89","9.36","9.83","25","13.6","44.1","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS8V5P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS8V5P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","8.5","9.44","9.92","10.4","10","14.4","41.7","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS9V0P1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS9V0P1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","9","10","10.55","11.1","5","15.4","39","30","150"
"nxp","ESD protection， TVS， filtering and signal conditioning---Transient voltage suppressor (TVS) diodes---TVS diodes， 600 W","PTVS10VP1UP","http://www.nxp.com/products/esd_protection_tvs_filtering_and_signal_conditioning/transient_voltage_suppressor_tvs_diodes/tvs_diodes_600_w/PTVS10VP1UP.html","http://www.nxp.com/documents/data_sheet/PTVSXP1UP_SER.pdf","SOD128","SOD128","3.8 x 2.5 x 1","600","Unidirectional","1","10","11.1","11.7","12.3","2.5","17","35.3","30","150"
