"brand","Series","PartNo","DetailLink","dataSheet","Package version","Delivery Type","ISO/IEC  Support","Baudrate","UID Type","EEPROM Size","Memory Organization","Write Endudance","Data Retention","Security Features","Privacy Features","Random Number Generator","Special Features"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5000XDA4","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5000XDA4.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","7-byte UID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5000XDA8","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5000XDA8.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","SOT500-4","MOA8","ISO/IEC 14443-3","106","7-byte UID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5001XDUD","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5001XDUD.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","","FFC bumped 120µm","ISO/IEC 14443-3","106","7-byte UID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5001XDUF","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5001XDUF.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","","FFC bumped 75µm","ISO/IEC 14443-3","106","7-byte UID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5030XDA4","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5030XDA4.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","4-byte NUID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","","Y",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5030XDA8","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5030XDA8.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","SOT500-4","MOA8","ISO/IEC 14443-3","106","4-byte NUID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","","Y",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5031XDUD","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5031XDUD.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","","FFC bumped 120µm","ISO/IEC 14443-3","106","4-byte NUID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","","Y",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S5031XDUF","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S5031XDUF.html","http://www.nxp.com/documents/data_sheet/MF1S50YYX_V1.pdf","","FFC bumped 75µm","ISO/IEC 14443-3","106","4-byte NUID","1024","Sector Organization","100000","10","MIFARE CRYPTO1","","Y",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S7000XDA4","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S7000XDA4.html","http://www.nxp.com/documents/data_sheet/MF1S70YYX_V1.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","7-byte UID","4096","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Classic","MF1S7000XDA8","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_classic/MF1S7000XDA8.html","http://www.nxp.com/documents/data_sheet/MF1S70YYX_V1.pdf","SOT500-4","MOA8","ISO/IEC 14443-3","106","7-byte UID","4096","Sector Organization","100000","10","MIFARE CRYPTO1","Random ID","Y","UID personalization options"
