"brand","Series","PartNo","DetailLink","dataSheet","Package version","Delivery Type","ISO/IEC  Support","Baudrate","UID Type","EEPROM Size","Memory Organization","Write Endudance","Data Retention","Security Features","Random Number Generator","Special Features"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU1001W","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU1001W.html","http://www.nxp.com/documents/data_sheet/MF0ICU1.pdf","NAU000","FFC bumped 75µm; FFC bumped 120µm","ISO/IEC 14443-3","106","7-byte UID","64","Linear Memory","10000","5","","","32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU1101W","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU1101W.html","http://www.nxp.com/documents/data_sheet/MF0ICU1.pdf","NAU000","FFC bumped 75µm; FFC bumped 120µm","ISO/IEC 14443-3","106","7-byte UID","64","Linear Memory","10000","5","","","32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0MOA4U10","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0MOA4U10.html","http://www.nxp.com/documents/data_sheet/MF0ICU1.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","7-byte UID","64","Linear Memory","10000","5","","","32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU2001DUD","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU2001DUD.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","NAU000","FFC bumped 120µm","ISO/IEC 14443-3","106","7-byte UID","192","Linear Memory","10000","5","2 key TDES","Y","16-bit Counter; 32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU2001DUF","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU2001DUF.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","","","","","","","","","","","",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU2101DUD","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU2101DUD.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","NAU000","FFC bumped 120µm","ISO/IEC 14443-3","106","7-byte UID","192","Linear Memory","10000","5","2 key TDES","Y","16-bit Counter; 32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0ICU2101DUF","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0ICU2101DUF.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","","","","","","","","","","","",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0MOU2001DA4","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0MOU2001DA4.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","7-byte UID","192","Linear Memory","10000","5","2 key TDES","Y","16-bit Counter; 32-bit OTP"
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0MOU2001DA8","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0MOU2001DA8.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","SOT500-4","","","","","","","","","","",""
"nxp","Identification and security---Smart card ICs---MIFARE smart card ICs---MIFARE Ultralight","MF0MOU2101DA4","http://www.nxp.com/products/identification_and_security/smart_card_ics/mifare_smart_card_ics/mifare_ultralight/MF0MOU2101DA4.html","http://www.nxp.com/documents/data_sheet/MF0ICU2.pdf","SOT500-2","MOA4","ISO/IEC 14443-3","106","7-byte UID","192","Linear Memory","10000","5","2 key TDES","Y","16-bit Counter; 32-bit OTP"
