"brand","Series","PartNo","DetailLink","dataSheet","Category","Product category","Supported standards","Package name","Package version","Low power modes","Supply voltage [min]","Supply voltage [max]","Data rate [min]","Data rate [max]","CAN channels","LIN channels","FlexRay Channels","Voltage on bus pins [min]","Voltage on bus pins [max]","VESD IEC61000-4-2 (kV)","VESD HBM on bus pins (+/- kV)","VIO option available","Tvj [max]","Rth(j-a)","SPLIT pin","Under-voltage detection","TX Dominant Time out","Over-temperature detection","INH / Wake Pin","Min High Input Levels (V)","No of pins","Application","Recommended Version"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1044GT","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1044GT.html","http://www.nxp.com/documents/data_sheet/TJA1044.pdf","CAN","CAN FD; High-Speed CAN","ISO-11898-2; ISO-11898-5","SO8","SOT96-1","Standby Mode","4.75","5.25","40","5000","1","0","0","-42.0","42.0","8","8","No","-40~150","97","No","Yes","Yes","Yes","No","2","8","Automotive; Industrial","TJA1044GT"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1044T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1044T.html","http://www.nxp.com/documents/data_sheet/TJA1044.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO8","SOT96-1","Standby Mode","4.75","5.25","40","1000","1","0","0","-42.0","42.0","8","8","No","-40~150","97","No","Yes","Yes","Yes","No","2","8","Automotive; Industrial","TJA1044T"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1057GT","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1057GT.html","http://www.nxp.com/documents/data_sheet/TJA1057.pdf","CAN","CAN FD; High-Speed CAN","ISO-11898-2","","","","4.75","5.25","40","5000","1","0","0","-42.0","42.0","8","8","No","-40~150","97","No","Yes","Yes","Yes","No","2","","Automotive; Industrial","TJA1057GT"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1057T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1057T.html","http://www.nxp.com/documents/data_sheet/TJA1057.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","","4.75","5.25","40","1000","1","0","0","-42.0","42.0","8","8","No","-40~150","97","No","Yes","Yes","Yes","No","2","8","Automotive; Industrial","TJA1057T"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","PCA82C250T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/PCA82C250T.html","http://www.nxp.com/documents/data_sheet/PCA82C250.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","Standby Mode","4.75","5.25","10","1000","1","0","0","-8.0","18.0","","2","No","-40~150","160","No","No","No","Yes","No","","8","Automotive; Industrial",""
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","PCA82C251T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/PCA82C251T.html","http://www.nxp.com/documents/data_sheet/PCA82C251.pdf","CAN","High-Speed CAN","ISO-11898-2","SO8","SOT96-1","Standby Mode","4.5","5.5","10","1000","1","0","0","-36.0","36.0","","2.5","No","-40~150","160","No","No","No","Yes","No","","8","Automotive; Industrial",""
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1040T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1040T.html","http://www.nxp.com/documents/data_sheet/TJA1040.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO8","SOT96-1","Standby Mode","4.75","5.25","40","1000","1","0","0","-27.0","40.0","","6","No","-40~150","145","Yes","No","Yes","Yes","No","2","8","Automotive; Industrial","TJA1040T/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1041AT","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1041AT.html","http://www.nxp.com/documents/data_sheet/TJA1041A.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO14","SOT108-1","Sleep Mode; Standby Mode","4.75","5.25","40","1000","1","0","0","-27.0","40.0","","6","Yes","-40~150","120","Yes","Yes","Yes","Yes","Yes","0.7 x Vio","14","Automotive; Industrial","TJA1041AT/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1041T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1041T.html","http://www.nxp.com/documents/data_sheet/TJA1041.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO14","SOT108-1","Sleep Mode; Standby Mode","4.75","5.25","40","1000","1","0","0","-27.0","40.0","","6","Yes","-40~150","120","Yes","Yes","Yes","Yes","Yes","0.7 x Vio","14","Automotive; Industrial","TJA1041T/CM"
"nxp","Interface and connectivity---CAN/LIN/FlexRay Transceivers---CAN transceivers","TJA1042T","http://www.nxp.com/products/interface_and_connectivity/can_lin_flexray_transceivers/can_transceivers/TJA1042T.html","http://www.nxp.com/documents/data_sheet/TJA1042.pdf","CAN","High-Speed CAN","ISO-11898-2; ISO-11898-5","SO8","SOT96-1","Standby Mode","4.5","5.5","40","2000","1","0","0","-58.0","58.0","8","8","Yes","-40~150","145","Yes","Yes","Yes","Yes","No","0.7 x Vcc","8","Automotive; Industrial","TJA1042T/1 or TJA1042T/3/1"
