"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Function","Operating Temperature","Voltage Translation Range","TTL Drive","GTL Drive","Number of bits"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2000DGG","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2000DGG.html","http://www.nxp.com/documents/data_sheet/GTL2000.pdf","SOT362-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","22"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2002D","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2002D.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT96-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","2"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2002DC","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2002DC.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT765-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","2"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2002DP","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2002DP.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT505-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","2"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2002GM","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2002GM.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT902-2","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","2"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2005PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2005PW.html","http://www.nxp.com/documents/data_sheet/GTL2005.pdf","SOT402-1","Processor Interface","Bi-Directional Non-Latched","-40~85","1.14 to 1.65 ~ 3.0 to 5.5","12","40","4"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2006PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2006PW.html","http://www.nxp.com/documents/data_sheet/GTL2006.pdf","SOT361-1","Dual Xeon Processor Interface to 3.3V Chipset","13-bit GTL-/GTL/GTL+ to LVTTL translator","-40~85","0.5 to 3.6 ~ 3.0 to 5.5","16","15","13"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2008PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2008PW.html","http://www.nxp.com/documents/data_sheet/GTL2008.pdf","SOT361-1","Dual Xeon Processor Interface to 3.3V Chipset with power good enable","12-bit GTL-/GTL/GTL+ to LVTTL translator","-40~85","0.5 to 3.6 ~ 3.0 to 5.5","16","15","12"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2010BS","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2010BS.html","http://www.nxp.com/documents/data_sheet/GTL2010.pdf","SOT616-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","10"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2010PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2010PW.html","http://www.nxp.com/documents/data_sheet/GTL2010.pdf","SOT355-1","Voltage Translation","Open Drain Voltage Translation","-40~85","1.0 to 5.0 ~ 1.0 to 5.0","","","10"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2012DP","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2012DP.html","http://www.nxp.com/documents/data_sheet/GTL2012.pdf","SOT505-1","Processor Interface","Bi-Directional Non-Latched","-40~85","1.14 to 1.65 ~ 3.0 to 5.5","16","40","2"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2014PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2014PW.html","http://www.nxp.com/documents/data_sheet/GTL2014.pdf","SOT402-1","Processor Interface","Bi-Directional Non-Latched","-40~85","1.14 to 1.65 ~ 3.0 to 5.5","16","40","4"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2018PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2018PW.html","http://www.nxp.com/documents/data_sheet/GTL2018.pdf","SOT355-1","Processor Interface","Bi-Directional Non-Latched","-40~85","1.14 to 1.65 ~ 3.0 to 5.5","16","40","8"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2034PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2034PW.html","http://www.nxp.com/documents/data_sheet/GTL2034.pdf","SOT402-1","Low voltage to low voltage buffer","Non-Latched GTL Buffer","-40~85","1.14 to 1.65 ~ 1.14 to 1.65","16","40","4"
"nxp","Interface and connectivity---GTL to TTL translators","GTL2107PW","http://www.nxp.com/products/interface_and_connectivity/gtl_to_ttl_translators/GTL2107PW.html","http://www.nxp.com/documents/data_sheet/GTL2107.pdf","SOT361-1","Dual Xeon Processor Interface to 3.3V Chipset with power good enable","12-bit GTL-/GTL/GTL+ to LVTTL translator","-40~85","0.5 to 3.6 ~ 3.0 to 5.5","16","15","12"
