"brand","Series","PartNo","DetailLink","dataSheet","Package version","Interrupt","Power-on reset","Operating Temperature","I2C-bus interface","No of Addresses","I2C-bus","Operating voltage","Details"
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9564BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9564BS.html","http://www.nxp.com/documents/data_sheet/PCA9564.pdf","SOT662-1","HVQFN20","yes","-40~85","","128","400","2.3~3.6 tolerant to 5.5",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9564D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9564D.html","http://www.nxp.com/documents/data_sheet/PCA9564.pdf","SOT163-1","SO20","yes","-40~85","","128","400","2.3~3.6 tolerant to 5.5",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9564PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9564PW.html","http://www.nxp.com/documents/data_sheet/PCA9564.pdf","SOT360-1","TSSOP20","yes","-40~85","","128","400","2.3~3.6 tolerant to 5.5",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9629APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9629APW.html","http://www.nxp.com/documents/data_sheet/PCA9629A.pdf","SOT403-1","TSSOP16","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9629PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9629PW.html","http://www.nxp.com/documents/data_sheet/PCA9629.pdf","SOT403-1","TSSOP16","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9661B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9661B.html","http://www.nxp.com/documents/data_sheet/PCA9661.pdf","SOT313-2","LQFP48","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9663B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9663B.html","http://www.nxp.com/documents/data_sheet/PCA9663.pdf","SOT313-2","LQFP48","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9665APW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9665APW.html","http://www.nxp.com/documents/data_sheet/PCA9665_PCA9665A.pdf","SOT360-1","TSSOP20","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9665BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9665BS.html","http://www.nxp.com/documents/data_sheet/PCA9665_PCA9665A.pdf","SOT662-1","HVQFN20","Yes","-40~85","Fast Mode Plus 30 mA SCL/SDA outputs for 4000 pF bus","128","1000","2.3~3.6 tolerant to 5.5","Internal trimmed 28.5 MHz oscillator"
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9665D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9665D.html","http://www.nxp.com/documents/data_sheet/PCA9665_PCA9665A.pdf","SOT163-1","SO20","Yes","-40~85","Fast Mode Plus 30 mA SCL/SDA outputs for 4000 pF bus","128","1000","2.3~3.6 tolerant to 5.5","Internal trimmed 28.5 MHz oscillator"
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCA9665PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCA9665PW.html","http://www.nxp.com/documents/data_sheet/PCA9665_PCA9665A.pdf","SOT360-1","TSSOP20","Yes","-40~85","Fast Mode Plus 30 mA SCL/SDA outputs for 4000 pF bus","128","1000","2.3~3.6 tolerant to 5.5","Internal trimmed 28.5 MHz oscillator"
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCF8584T","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCF8584T.html","http://www.nxp.com/documents/data_sheet/PCF8584.pdf","SOT163-1","SO20","yes","-40~85","","128","100","4.5~5.5",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCU9661B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCU9661B.html","http://www.nxp.com/documents/data_sheet/PCU9661.pdf","SOT313-2","LQFP48","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C bus controller and bridge ICs","PCU9669B","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_controller_and_bridge_ics/PCU9669B.html","http://www.nxp.com/documents/data_sheet/PCU9669.pdf","SOT313-2","LQFP48","","","","","","",""
