"brand","Series","PartNo","DetailLink","dataSheet","Package version","Reset input pin","Operating Temperature","I2C-bus","Operating voltage","Operating voltage 2","Inputs","Outputs","No of Addresses"
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","P82B96DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/P82B96DP.html","http://www.nxp.com/documents/data_sheet/P82B96.pdf","SOT505-1","","-40~85","400","2.0~15.0","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","P82B96TD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/P82B96TD.html","http://www.nxp.com/documents/data_sheet/P82B96.pdf","SOT96-1","","-40~85","400","2.0~15.0","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","P82B715TD","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/P82B715TD.html","http://www.nxp.com/documents/data_sheet/P82B715.pdf","SOT96-1","","-40~85","100","4.5~12.0","","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9507D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9507D.html","http://www.nxp.com/documents/data_sheet/PCA9507.pdf","SOT96-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9507DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9507DP.html","http://www.nxp.com/documents/data_sheet/PCA9507.pdf","SOT505-1","","-40~85","400","2.7~5.5","2.7~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9508D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9508D.html","http://www.nxp.com/documents/data_sheet/PCA9508.pdf","SOT96-1","","-40~85","400","2.7~5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9508DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9508DP.html","http://www.nxp.com/documents/data_sheet/PCA9508.pdf","SOT505-1","","-40~85","400","2.7~5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509D.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT96-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509DP.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT505-1","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
"nxp","Interface and connectivity---I²C---I²C bus repeaters/hubs/extenders","PCA9509GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_bus_repeaters_hubs_extenders/PCA9509GM.html","http://www.nxp.com/documents/data_sheet/PCA9509.pdf","SOT902-2","","-40~85","400","2.7~3.6 tolerant to 5.5","0.9~5.5","1","1",""
