"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Function","Operating Temperature","Number of bits","Voltage Translation Range","Operating voltage","Operating voltage 2","Inputs","Outputs","TTL Drive","GTL Drive","I2C-bus"
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2000DGG","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2000DGG.html","http://www.nxp.com/documents/data_sheet/GTL2000.pdf","SOT362-1","Voltage Translation","Open Drain Voltage Translation","-40~85","22","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2002D","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2002D.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT96-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2002DC","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2002DC.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT765-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2002DP","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2002DP.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT505-1","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2002GM","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2002GM.html","http://www.nxp.com/documents/data_sheet/GTL2002.pdf","SOT902-2","Voltage Translation","Open Drain Voltage Translation","-40~85","2","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2003BQ","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2003BQ.html","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","SOT764-1","Voltage Translation","Open Drain Voltage Translation","-40~85","8","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2003PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2003PW.html","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","SOT360-1","Voltage Translation","Open Drain Voltage Translation","-40~85","8","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2005PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2005PW.html","http://www.nxp.com/documents/data_sheet/GTL2005.pdf","SOT402-1","Processor Interface","Bi-Directional Non-Latched","-40~85","4","1.14 to 1.65 ~ 3.0 to 5.5","","","","","12","40",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2010BS","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2010BS.html","http://www.nxp.com/documents/data_sheet/GTL2010.pdf","SOT616-1","Voltage Translation","Open Drain Voltage Translation","-40~85","10","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
"nxp","Interface and connectivity---I²C---I²C voltage level translators","GTL2010PW","http://www.nxp.com/products/interface_and_connectivity/i2c/i2c_voltage_level_translators/GTL2010PW.html","http://www.nxp.com/documents/data_sheet/GTL2010.pdf","SOT355-1","Voltage Translation","Open Drain Voltage Translation","-40~85","10","1.0 to 5.0 ~ 1.0 to 5.0","","","","","","",""
