"brand","Series","PartNo","DetailLink","dataSheet","Package name","Package version","Max number of segments/elements","Segments/elements of MUX 1:1","Segments/elements of MUX 1:2","Segments/elements of MUX 1:3","Segments/elements of MUX 1:4","Segments/elements of MUX 1:6","Segments/elements of MUX 1:8","AEC-Q100 compliant","SPI-bus","C-bus","I<sup>2</sup>C-bus","I<sup>2</sup>C speed","VDD1 [min]","VDD1 [max]","IDD [typ]","VLCD [min]","VLCD [max]","Tamb [min]","Tamb [max]","ffr","Selectable","Cascade for larger conf"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","OM4068H","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/OM4068H.html","http://www.nxp.com/documents/data_sheet/OM4068.pdf","QFP44","SOT307-2","96","32","64","96","","","","N","Y","","","","2.5","5.5","12","3.5","6.5","-40","105","84","","Y"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8530DUG","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8530DUG.html","http://www.nxp.com/documents/data_sheet/PCA8530.pdf","NAU000","NAU000","408","102","204","","408","","","Y","Y","","Y","Fast","2.5","5.5","80","4","12","-40","105","300","SEL","Y"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8534AH","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8534AH.html","http://www.nxp.com/documents/data_sheet/PCA8534A.pdf","LQFP80","SOT315-1","240","60","120","180","240","","","Y","","","Y","Fast","1.8","5.5","8","2.5","6.5","-40","85","64","","Y"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8536AT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8536AT.html","http://www.nxp.com/documents/data_sheet/PCA8536.pdf","TSSOP56","SOT364-1","320","","","","176","252","320","Y","","N","Y","Fast","1.8","5.5","30","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8536BT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8536BT.html","http://www.nxp.com/documents/data_sheet/PCA8536.pdf","TSSOP56","SOT364-1","320","","","","176","252","320","Y","Y","","","","1.8","5.5","30","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8537AH","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8537AH.html","http://www.nxp.com/documents/data_sheet/PCA8537.pdf","TQFP64","SOT357-1","352","44","88","","176","276","352","Y","","","Y","Fast","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8537BH","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8537BH.html","http://www.nxp.com/documents/data_sheet/PCA8537.pdf","TQFP64","SOT357-1","352","44","88","","176","276","352","Y","Y","","","","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8538UG","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8538UG.html","http://www.nxp.com/documents/data_sheet/PCA8538.pdf","NAU000","NAU000","816","102","204","","408","612","816","Y","Y","","Y","Fast","2.5","5.5","","4","12","-40","105","300","SEL","Y"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8543AHL","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8543AHL.html","http://www.nxp.com/documents/data_sheet/PCA8543.pdf","LQFP80","SOT315-1","240","60","120","","240","","","Y","","","Y","Fast","2.5","5.5","","2.5","9","-40","105","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8546ATT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8546ATT.html","http://www.nxp.com/documents/data_sheet/PCA8546.pdf","TSSOP56","SOT364-1","176","","","","176","","","Y","","","Y","Fast","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8546BTT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8546BTT.html","http://www.nxp.com/documents/data_sheet/PCA8546.pdf","TSSOP56","SOT364-1","176","","","","176","","","Y","Y","","","","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8547AHT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8547AHT.html","http://www.nxp.com/documents/data_sheet/PCA8547.pdf","TQFP64","SOT357-1","176","44","88","","176","","","Y","","","Y","Fast","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8547BHT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8547BHT.html","http://www.nxp.com/documents/data_sheet/PCA8547.pdf","TQFP64","SOT357-1","176","44","88","","176","","","Y","Y","","","","1.8","5.5","","2.5","9","-40","95","300","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8551ATT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8551ATT.html","http://www.nxp.com/documents/data_sheet/PCA8551.pdf","TSSOP48","SOT362-1","144","36","72","108","144","","","Y","","","Y","Fast","1.8","5.5","0.6","1.8","5.5","-40","105","256","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8551BTT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8551BTT.html","http://www.nxp.com/documents/data_sheet/PCA8551.pdf","TSSOP48","SOT362-1","144","36","72","108","144","","","Y","Y","","","","1.8","5.5","0.6","1.8","5.5","-40","105","256","SEL","N"
"nxp","Interface and connectivity---LCD drivers---LCD segment drivers","PCA8553DTT","http://www.nxp.com/products/interface_and_connectivity/lcd_drivers/lcd_segment_drivers/PCA8553DTT.html","http://www.nxp.com/documents/data_sheet/PCA8553.pdf","TSSOP56","SOT364-1","160","40","80","120","160","","","Y","Y","","Y","Fast","1.8","5.5","0.6","1.8","5.5","-40","105","256","SEL","N"
