"brand","Series","PartNo","DetailLink","dataSheet","Package version","Analog interfaces","ISO 7816 UART","Host Interface","VCC card power supply"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8007BHL","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8007BHL.html","http://www.nxp.com/documents/data_sheet/TDA8007BHL.pdf","SOT313-2","2","yes","8 bit parallel","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8020HL","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8020HL.html","http://www.nxp.com/documents/data_sheet/TDA8020HL.pdf","SOT358-1","2","no","I2C","3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8023TT","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8023TT.html","http://www.nxp.com/documents/data_sheet/TDA8023.pdf","SOT361-1","1","no","I2C","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8024AT","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8024AT.html","http://www.nxp.com/documents/data_sheet/TDA8024.pdf","SOT136-1","1","no","I/O lines","3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8024T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8024T.html","http://www.nxp.com/documents/data_sheet/TDA8024.pdf","SOT136-1","1","no","I/O lines","3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8024TT","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8024TT.html","http://www.nxp.com/documents/data_sheet/TDA8024.pdf","SOT361-1","1","no","I/O lines","3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8025HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8025HN.html","http://www.nxp.com/documents/data_sheet/TDA8025.pdf","SOT617-1","1","no","I/O lines","1.2 & 1.8 & 3"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8026ET","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8026ET.html","http://www.nxp.com/documents/data_sheet/TDA8026.pdf","SOT1073-1","5","no","I2C","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8029HL","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8029HL.html","http://www.nxp.com/documents/data_sheet/TDA8029.pdf","SOT358-1","1","yes","serial or I2C","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8034AT","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8034AT.html","http://www.nxp.com/documents/data_sheet/TDA8034T_TDA8034AT.pdf","SOT109-1","1","no","I/O lines","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8034HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8034HN.html","http://www.nxp.com/documents/data_sheet/TDA8034HN.pdf","SOT616-1","1","no","I/O lines","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8034T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8034T.html","http://www.nxp.com/documents/data_sheet/TDA8034T_TDA8034AT.pdf","SOT109-1","1","no","I/O lines","1.8 & 3 & 5"
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8035HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8035HN.html","http://www.nxp.com/documents/data_sheet/TDA8035.pdf","SOT617-7","","","",""
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8037T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8037T.html","http://www.nxp.com/documents/data_sheet/TDA8037.pdf","SOT136-1","","","",""
"nxp","Interface and connectivity---NFC and reader ICs---Contact smart card reader ICs","TDA8037TT","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/contact_smart_card_reader_ics/TDA8037TT.html","http://www.nxp.com/documents/data_sheet/TDA8037.pdf","SOT403-1","","","",""
