"brand","Series","PartNo","DetailLink","dataSheet","Host interfaces","Host interface supply voltage [typ]","RF functionality","RF protocols","RF driver supply voltage [typ]","RF driver current current [max]","Supported standards","Read distance [type]","Tamb","No of pins","Package version","Package name","Product status"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","CLRC63201T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/CLRC63201T.html","http://www.nxp.com/documents/data_sheet/CLRC632.pdf","Parallel; SPI","3.3 - 5.0","NFC Frontend solution","ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 15693; MIFARE classic","3.3 - 5.0","150.0","EMVCo compliance; ISO/IEC 14443A; ISO/IEC 14443B, ISO/IEC 15693","150","-25~85","32","SOT287-1","SO32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","CLRC66302HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/CLRC66302HN.html","http://www.nxp.com/documents/data_sheet/CLRC663.pdf","I2C; SPI; UART","3.3 - 5.0","NFC Frontend solution","EPC Class-1 HF; EPC OTP; FeliCa; ICODE EPC UID; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 15693; ISO/IEC 18000-3 mode 3; ISO/IEC 18092 Passive Initiator; MIFARE classic","3.3 - 5.0","200.0","EMVCo compliance; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 15693; ISO/IEC 18000-3 mode 3; ISO/IEC 18092 Passive Initiator","160","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC52201HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC52201HN1.html","http://www.nxp.com/documents/data_sheet/MFRC522.pdf","I2C; SPI; UART","2.5 - 3.6","NFC Frontend solution","ISO/IEC 14443A; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A","70","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC52202HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC52202HN1.html","http://www.nxp.com/documents/data_sheet/MFRC522.pdf","I2C; SPI; UART","2.5 - 3.6","NFC Frontend solution","ISO/IEC 14443A; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A","70","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC52301HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC52301HN1.html","http://www.nxp.com/documents/data_sheet/MFRC523.pdf","I2C; SPI; UART","2.5 - 3.6","NFC Frontend solution","ISO/IEC 14443A; ISO/IEC 14443B; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B","70","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC52302HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC52302HN1.html","http://www.nxp.com/documents/data_sheet/MFRC523.pdf","I2C; SPI; UART","1.6 - 3.6","NFC Frontend solution","ISO/IEC 14443A; ISO/IEC 14443B; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B","70","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC50001T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC50001T.html","http://www.nxp.com/documents/data_sheet/MFRC500.pdf","Parallel","5","NFC Frontend solution","ISO/IEC 14443A; MIFARE classic","5","150.0","ISO/IEC 14443A","100","-25~85","32","SOT287-1","SO32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC53001T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC53001T.html","http://www.nxp.com/documents/data_sheet/MFRC530.pdf","Parallel; SPI","3.3 - 5.0","NFC Frontend solution","ISO/IEC 14443A; MIFARE classic","3.3 - 5.0","150.0","ISO/IEC 14443A","100","-25~85","32","SOT287-1","SO32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC53101T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC53101T.html","http://www.nxp.com/documents/data_sheet/MFRC531.pdf","Parallel; SPI","3.3 - 5.0","NFC Frontend solution","ISO/IEC 14443A; ISO/IEC 14443B; MIFARE classic","3.3 - 5.0","150.0","EMVCo compliance; ISO/IEC 14443A; ISO/IEC 14443B","100","-25~85","32","SOT287-1","SO32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC63002HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC63002HN.html","http://www.nxp.com/documents/data_sheet/MFRC630.pdf","I2C; SPI; UART","3.3 - 5.0","NFC Frontend solution","ISO/IEC 14443A; MIFARE classic","3.3 - 5.0","200.0","ISO/IEC 14443A","120","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","MFRC63102HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/MFRC63102HN.html","http://www.nxp.com/documents/data_sheet/MFRC631.pdf","I2C; SPI; UART","3.3 - 5.0","NFC Frontend solution","ISO/IEC 14443A; ISO/IEC 14443B; MIFARE classic","3.3 - 5.0","200.0","EMVCo compliance; ISO/IEC 14443A; ISO/IEC 14443B","120","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","PN512AA0HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/PN512AA0HN1.html","http://www.nxp.com/documents/data_sheet/PN512.pdf","I2C; SPI; UART","1.6 - 3.6","NFC Frontend solution","FeliCa; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; NFC Forum compliance","70","-40~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","PN5120A0ET","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/PN5120A0ET.html","http://www.nxp.com/documents/data_sheet/PN512.pdf","I2C; SPI; UART","1.6 - 3.6","NFC Frontend solution","FeliCa; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; NFC Forum compliance","70","-25~85","64","SOT1336-1","TFBGA64","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","PN5120A0HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/PN5120A0HN.html","http://www.nxp.com/documents/data_sheet/PN512.pdf","I2C; SPI; UART","1.6 - 3.6","NFC Frontend solution","FeliCa; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; NFC Forum compliance","70","-25~85","40","SOT618-1","HVQFN40","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","PN5120A0HN1","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/PN5120A0HN1.html","http://www.nxp.com/documents/data_sheet/PN512.pdf","I2C; SPI; UART","1.6 - 3.6","NFC Frontend solution","FeliCa; ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; MIFARE classic","2.5 - 3.6","100.0","ISO/IEC 14443A; ISO/IEC 14443B; ISO/IEC 18092; NFC Forum compliance","70","-25~85","32","SOT617-1","HVQFN32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","SLRC40001T","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/SLRC40001T.html","http://www.nxp.com/documents/data_sheet/SLRC400.pdf","Parallel; SPI","5","NFC Frontend solution","ISO/IEC 15693","5","150.0","ISO/IEC 15693","150","-25~85","32","SOT287-1","SO32","Production"
"nxp","Interface and connectivity---NFC and reader ICs---NFC frontend solutions","SLRC61002HN","http://www.nxp.com/products/interface_and_connectivity/nfc_and_reader_ics/nfc_frontend_solutions/SLRC61002HN.html","http://www.nxp.com/documents/data_sheet/SLRC610.pdf","I2C; SPI; UART","3.3 - 5.0","NFC Frontend solution","ISO/IEC 15693","3.3 - 5.0","200.0","ISO/IEC 15693","160","-25~85","32","SOT617-1","HVQFN32","Production"
