"brand","Series","PartNo","DetailLink","dataSheet","Description","Package version","Package name","Product status"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL02042ABQ","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL02042ABQ.html","http://www.nxp.com/documents/data_sheet/CBTL02042A_CBTL02042B.pdf","","SOT764-1","DHVQFN20","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL02042BBQ","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL02042BBQ.html","http://www.nxp.com/documents/data_sheet/CBTL02042A_CBTL02042B.pdf","","SOT764-1","DHVQFN20","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL02043ABQ","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL02043ABQ.html","http://www.nxp.com/documents/data_sheet/CBTL02043A_CBTL02043B.pdf","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","SOT764-1","DHVQFN20","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL02043BBQ","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL02043BBQ.html","http://www.nxp.com/documents/data_sheet/CBTL02043A_CBTL02043B.pdf","3.3 V, 2 differential channel, 2 : 1 multiplexer/demultiplexer switch","SOT764-1","DHVQFN20","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL04082ABS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL04082ABS.html","http://www.nxp.com/documents/data_sheet/CBTL04082A_CBTL04082B.pdf","","SOT1144-1","HVQFN42","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL04082BBS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL04082BBS.html","http://www.nxp.com/documents/data_sheet/CBTL04082A_CBTL04082B.pdf","","SOT1144-1","HVQFN42","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL04083ABS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL04083ABS.html","http://www.nxp.com/documents/data_sheet/CBTL04083A_CBTL04083B.pdf","","SOT1144-1","HVQFN42","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTL04083BBS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTL04083BBS.html","http://www.nxp.com/documents/data_sheet/CBTL04083A_CBTL04083B.pdf","","SOT1144-1","HVQFN42","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTU04082BS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTU04082BS.html","http://www.nxp.com/documents/data_sheet/CBTU04082.pdf","","SOT1144-1","HVQFN42","Production"
"nxp","Interface and connectivity---PCI Express---PCIe channel switches","CBTU04083BS","http://www.nxp.com/products/interface_and_connectivity/pci_express/pcie_channel_switches/CBTU04083BS.html","http://www.nxp.com/documents/data_sheet/CBTU04083.pdf","","SOT1144-1","HVQFN42","Production"
