"brand","Series","PartNo","DetailLink","dataSheet","Package version","Application","Operating Temperature","Number of pins","Receiver/Transmitter type","Function"
"nxp","Interface and connectivity---UARTs---Four channel","SC16C554BIB64","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C554BIB64.html","http://www.nxp.com/documents/data_sheet/SC16C554B_554DB.pdf","SOT314-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C554BIB80","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C554BIB80.html","http://www.nxp.com/documents/data_sheet/SC16C554B_554DB.pdf","SOT315-1","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C554DBIA68","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C554DBIA68.html","http://www.nxp.com/documents/data_sheet/SC16C554B_554DB.pdf","SOT188-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C554DBIB64","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C554DBIB64.html","http://www.nxp.com/documents/data_sheet/SC16C554B_554DB.pdf","SOT314-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C654BIA68","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C654BIA68.html","http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","SOT188-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C654BIB64","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C654BIB64.html","http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","SOT314-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C654BIBM","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C654BIBM.html","http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","SOT414-1","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C654DBIB64","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C654DBIB64.html","http://www.nxp.com/documents/data_sheet/SC16C654B_654DB.pdf","SOT314-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C754BIA68","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C754BIA68.html","http://www.nxp.com/documents/data_sheet/SC16C754B.pdf","SOT188-2","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C754BIB80","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C754BIB80.html","http://www.nxp.com/documents/data_sheet/SC16C754B.pdf","SOT315-1","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC16C754BIBM","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC16C754BIBM.html","http://www.nxp.com/documents/data_sheet/SC16C754B.pdf","SOT414-1","","","","",""
"nxp","Interface and connectivity---UARTs---Four channel","SC28C94A1A","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC28C94A1A.html","http://www.nxp.com/documents/data_sheet/SC28C94.pdf","SOT238-2","Data Communication","-40~85","52","Quad UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Four channel","SC28L194A1A","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC28L194A1A.html","http://www.nxp.com/documents/data_sheet/SC28L194.pdf","SOT188-2","Data Communication","-40~85","68","Quad UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Four channel","SC28L194A1BE","http://www.nxp.com/products/interface_and_connectivity/uarts/four_channel/SC28L194A1BE.html","http://www.nxp.com/documents/data_sheet/SC28L194.pdf","SOT315-1","Data Communication","-40~85","80","Quad UARTs","Receivers/Transmitters"
