"brand","Series","PartNo","DetailLink","dataSheet","Package version","Fmax","Application","Channel","Features","Bus interface","Other features","Operating Temperature","Data transfer rate","Number of pins","Receiver/Transmitter type","Function"
"nxp","Interface and connectivity---UARTs---Single channel","SC16C550BIA44","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C550BIA44.html","http://www.nxp.com/documents/data_sheet/SC16C550B.pdf","SOT187-2","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C550BIB48","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C550BIB48.html","http://www.nxp.com/documents/data_sheet/SC16C550B.pdf","SOT313-2","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C550BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C550BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C550B.pdf","SOT617-1","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C650BIB48","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C650BIB48.html","http://www.nxp.com/documents/data_sheet/SC16C650B.pdf","SOT313-2","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C650BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C650BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C650B.pdf","SOT617-1","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C652BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C652BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C652B.pdf","SOT617-1","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C750BIB64","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C750BIB64.html","http://www.nxp.com/documents/data_sheet/SC16C750B.pdf","SOT314-2","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C750BIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C750BIBS.html","http://www.nxp.com/documents/data_sheet/SC16C750B.pdf","SOT617-1","48","","1","16 or 64 Bytes FIFO / DMA mode / HW Flow Control","","4-level receive trigger level","=-40 +85","3","","","UART"
"nxp","Interface and connectivity---UARTs---Single channel","SC16C850IBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C850IBS.html","http://www.nxp.com/documents/data_sheet/SC16C850.pdf","SOT617-1","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SC16C850SVIBS","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC16C850SVIBS.html","http://www.nxp.com/documents/data_sheet/SC16C850SV.pdf","SOT617-1","80","","1","Low power 128 Bytes FIFO, HW / SW Flow Control, IrDA, RS485","XScale VLIO","High resolution clock prescaler, enhanced sleep, modem control, software reset, 16X/8X/4X Sampling rates","=-40 +85","20","","","UART"
"nxp","Interface and connectivity---UARTs---Single channel","SC28L91A1B","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SC28L91A1B.html","http://www.nxp.com/documents/data_sheet/SC28L91.pdf","SOT307-2","","","","","","","","","","",""
"nxp","Interface and connectivity---UARTs---Single channel","SCC2691AC1A28","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SCC2691AC1A28.html","http://www.nxp.com/documents/data_sheet/SCC2691.pdf","SOT261-2","","Data Communication","","","","","0~70","","28","UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Single channel","SCC2691AC1D24","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SCC2691AC1D24.html","http://www.nxp.com/documents/data_sheet/SCC2691.pdf","SOT137-1","","Data Communication","","","","","0~70","","24","UARTs","Receivers/Transmitters"
"nxp","Interface and connectivity---UARTs---Single channel","SCC2691AE1A28","http://www.nxp.com/products/interface_and_connectivity/uarts/single_channel/SCC2691AE1A28.html","http://www.nxp.com/documents/data_sheet/SCC2691.pdf","SOT261-2","","Data Communication","","","","","-40~85","","24","UARTs","Receivers/Transmitters"
