"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","Configuration","VCC","Logic switching levels","RON","RON(FLAT)","f(-3dB)","THD","Xtalk","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Analog switches","74AHC1G66GV","http://www.nxp.com/products/logic/analog_switches/74AHC1G66GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G66.pdf","Production","AHC(T)","single-pole, single-throw analog switch","SPST-NO","2.0 - 5.5","CMOS","40","14","280","0.015","","very low","-40~125","238","43.6","144","5","TSOP5","SOT753"
"nxp","Logic---Analog switches","74AHC1G66GW","http://www.nxp.com/products/logic/analog_switches/74AHC1G66GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G66.pdf","Production","AHC(T)","single-pole, single-throw analog switch","SPST-NO","2.0 - 5.5","CMOS","40","14","280","0.015","","very low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Analog switches","74AHCT1G66GV","http://www.nxp.com/products/logic/analog_switches/74AHCT1G66GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G66.pdf","Production","AHC(T)","single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","40","14","280","0.015","","very low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Analog switches","74AHCT1G66GW","http://www.nxp.com/products/logic/analog_switches/74AHCT1G66GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G66.pdf","Production","AHC(T)","single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","40","14","280","0.015","","very low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Analog switches","74HC1G66GV","http://www.nxp.com/products/logic/analog_switches/74HC1G66GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G66.pdf","Production","HC(T)","single-pole, single-throw analog switch","SPST-NO","2.0 - 9.0","CMOS","105","23","200","0.02","","very low","-40~125","216","30.4","128","5","TSOP5","SOT753"
"nxp","Logic---Analog switches","74HC1G66GW","http://www.nxp.com/products/logic/analog_switches/74HC1G66GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G66.pdf","Production","HC(T)","single-pole, single-throw analog switch","SPST-NO","2.0 - 9.0","CMOS","105","23","200","0.02","","very low","-40~125","257","35.8","134","5","TSSOP5","SOT353-1"
"nxp","Logic---Analog switches","74HCT1G66GV","http://www.nxp.com/products/logic/analog_switches/74HCT1G66GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G66.pdf","Production","HC(T)","single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","","very low","-40~125","216","30.4","128","5","TSOP5","SOT753"
"nxp","Logic---Analog switches","74HCT1G66GW","http://www.nxp.com/products/logic/analog_switches/74HCT1G66GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G66.pdf","Production","HC(T)","single-pole, single-throw analog switch; TTL enabled","SPST-NO","4.5 - 5.5","TTL","118","23","180","0.04","","very low","-40~125","257","35.8","134","5","TSSOP5","SOT353-1"
"nxp","Logic---Analog switches","74HC2G66DC","http://www.nxp.com/products/logic/analog_switches/74HC2G66DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G66.pdf","Production","HC(T)","dual single-pole, single-throw analog switch","SPST-NO","2.0 - 9.0","CMOS","105","23","200","0.02","-60","very low","-40~125","194","28.3","104","8","VSSOP8","SOT765-1"
"nxp","Logic---Analog switches","74HC2G66DP","http://www.nxp.com/products/logic/analog_switches/74HC2G66DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G66.pdf","Production","HC(T)","dual single-pole, single-throw analog switch","SPST-NO","2.0 - 9.0","CMOS","105","23","200","0.02","-60","very low","-40~125","200","16.3","101","8","TSSOP8","SOT505-2"
