"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Buffers/inverters/drivers","74ABT04D","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT04D.html","http://www.nxp.com/documents/data_sheet/74ABT04.pdf","Production","ABT","hex inverter","4.5 - 5.5","TTL","- 15 / 20","2.2","100","6","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT04DB","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT04DB.html","http://www.nxp.com/documents/data_sheet/74ABT04.pdf","Production","ABT","hex inverter","4.5 - 5.5","TTL","- 15 / 20","2.2","100","6","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT04PW","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT04PW.html","http://www.nxp.com/documents/data_sheet/74ABT04.pdf","Production","ABT","hex inverter","4.5 - 5.5","TTL","- 15 / 20","2.2","100","6","medium","-40~85","140","7.36346238938053","65.7646349557522","14","TSSOP14","SOT402-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT125BQ","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT125BQ.html","http://www.nxp.com/documents/data_sheet/74ABT125.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3.1","100","4","medium","-40~85","105","19.8","72","14","DHVQFN14","SOT762-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT125D","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT125D.html","http://www.nxp.com/documents/data_sheet/74ABT125.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3.1","100","4","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT125DB","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT125DB.html","http://www.nxp.com/documents/data_sheet/74ABT125.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3.1","100","4","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT125PW","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT125PW.html","http://www.nxp.com/documents/data_sheet/74ABT125.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3.1","100","4","medium","-40~85","140","7.38407079646018","65.8336283185841","14","TSSOP14","SOT402-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT126D","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT126D.html","http://www.nxp.com/documents/data_sheet/74ABT126.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3","100","4","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT126DB","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT126DB.html","http://www.nxp.com/documents/data_sheet/74ABT126.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3","100","4","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT126PW","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT126PW.html","http://www.nxp.com/documents/data_sheet/74ABT126.pdf","Production","ABT","quad buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","3","100","4","medium","-40~85","140","7.38407079646018","65.8336283185841","14","TSSOP14","SOT402-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT244D","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT244D.html","http://www.nxp.com/documents/data_sheet/74ABT244.pdf","Production","ABT","octal buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2.9","100","8","medium","-40~85","85","27.1","61","20","SO20","SOT163-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT244DB","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT244DB.html","http://www.nxp.com/documents/data_sheet/74ABT244.pdf","Production","ABT","octal buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2.9","100","8","medium","-40~85","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT244PW","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT244PW.html","http://www.nxp.com/documents/data_sheet/74ABT244.pdf","Production","ABT","octal buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2.9","100","8","medium","-40~85","100","4.57077969506071","44.5760111385009","20","TSSOP20","SOT360-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT16240ADGG","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT16240ADGG.html","http://www.nxp.com/documents/data_sheet/74ABT16240A.pdf","Production","ABT","16-bit inverter/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2","150","16","medium","-40~85","82","2.0","37","48","TSSOP48","SOT362-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT16240ADL","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT16240ADL.html","http://www.nxp.com/documents/data_sheet/74ABT16240A.pdf","Production","ABT","16-bit inverter/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2","150","16","medium","-40~85","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT16244ADGG","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT16244ADGG.html","http://www.nxp.com/documents/data_sheet/74ABT16244A.pdf","Production","ABT","16-bit buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2.1","150","16","medium","-40~85","82","2.0","37","48","TSSOP48","SOT362-1"
"nxp","Logic---Buffers/inverters/drivers","74ABT16244ADL","http://www.nxp.com/products/logic/buffers_inverters_drivers/74ABT16244ADL.html","http://www.nxp.com/documents/data_sheet/74ABT16244A.pdf","Production","ABT","16-bit buffer/line driver (3-state)","4.5 - 5.5","TTL","-32 / +64","2.1","150","16","medium","-40~85","88","25.0","","48","SSOP48","SOT370-1"
