"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","VPASS","Logic switching levels","RON","f(-3dB)","No of bits","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Bus switches","74CBTLV1G125GF","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GF.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","303","7.3","153","6","XSON6","SOT891"
"nxp","Logic---Bus switches","74CBTLV1G125GM","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GM.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","303","7.3","153","6","XSON6","SOT886"
"nxp","Logic---Bus switches","74CBTLV1G125GN","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GN.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","312","18.7","194","6","XSON6","SOT1115"
"nxp","Logic---Bus switches","74CBTLV1G125GS","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GS.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","303","23.7","201","6","XSON6","SOT1202"
"nxp","Logic---Bus switches","74CBTLV1G125GV","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GV.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","259","56.6","160","5","TSOP5","SOT753"
"nxp","Logic---Bus switches","74CBTLV1G125GW","http://www.nxp.com/products/logic/bus_switches/74CBTLV1G125GW.html","http://www.nxp.com/documents/data_sheet/74CBTLV1G125.pdf","Production","CBTLV(D)","single bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","1","0.2","very Low","-40~125","300","71.7","171","5","TSSOP5","SOT353-1"
"nxp","Logic---Bus switches","74CBTLV3125BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3125BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3125.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","107","21.3","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Bus switches","74CBTLV3125DS","http://www.nxp.com/products/logic/bus_switches/74CBTLV3125DS.html","http://www.nxp.com/documents/data_sheet/74CBTLV3125.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","148","42.0","","16","SSOP16","SOT519-1"
"nxp","Logic---Bus switches","74CBTLV3125PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3125PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3125.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","141","7.95194690265487","67.7347787610619","14","TSSOP14","SOT402-1"
"nxp","Logic---Bus switches","74CBTLV3126BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3126BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3126.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","107","21.3","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Bus switches","74CBTLV3126DS","http://www.nxp.com/products/logic/bus_switches/74CBTLV3126DS.html","http://www.nxp.com/documents/data_sheet/74CBTLV3126.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","148","42.0","","16","SSOP16","SOT519-1"
"nxp","Logic---Bus switches","74CBTLV3126PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3126PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3126.pdf","Production","CBTLV(D)","quad bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","141","7.95194690265487","67.7347787610619","14","TSSOP14","SOT402-1"
"nxp","Logic---Bus switches","74CBTLV3244BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3244BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3244.pdf","Production","CBTLV(D)","octal bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","76","7.3","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","74CBTLV3244PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3244PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3244.pdf","Production","CBTLV(D)","octal bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","99","4.30239203871086","43.4371770291244","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","74CBTLV3245BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3245BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3245.pdf","Production","CBTLV(D)","octal bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","76","7.3","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","74CBTLV3245PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3245PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3245.pdf","Production","CBTLV(D)","octal bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","99","4.30239203871086","43.4371770291244","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","74CBTLV3253BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3253BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3253.pdf","Production","CBTLV(D)","dual 4:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","2","0.2","very Low","-40~125","93","13.7","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Bus switches","74CBTLV3253D","http://www.nxp.com/products/logic/bus_switches/74CBTLV3253D.html","http://www.nxp.com/documents/data_sheet/74CBTLV3253.pdf","Production","CBTLV(D)","dual 4:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","2","0.2","very Low","-40~125","92","9.6","52","16","SO16","SOT109-1"
"nxp","Logic---Bus switches","74CBTLV3253DS","http://www.nxp.com/products/logic/bus_switches/74CBTLV3253DS.html","http://www.nxp.com/documents/data_sheet/74CBTLV3253.pdf","Production","CBTLV(D)","dual 4:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","2","0.2","very Low","-40~125","148","42.0","","16","SSOP16","SOT519-1"
"nxp","Logic---Bus switches","74CBTLV3253PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3253PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3253.pdf","Production","CBTLV(D)","dual 4:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","2","0.2","very Low","-40~125","125","1.0","54.5604491017964","16","TSSOP16","SOT403-1"
"nxp","Logic---Bus switches","74CBTLV3257BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3257BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3257.pdf","Production","CBTLV(D)","quad 2:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","93","13.7","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Bus switches","74CBTLV3257D","http://www.nxp.com/products/logic/bus_switches/74CBTLV3257D.html","http://www.nxp.com/documents/data_sheet/74CBTLV3257.pdf","Production","CBTLV(D)","quad 2:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","92","9.6","52","16","SO16","SOT109-1"
"nxp","Logic---Bus switches","74CBTLV3257DS","http://www.nxp.com/products/logic/bus_switches/74CBTLV3257DS.html","http://www.nxp.com/documents/data_sheet/74CBTLV3257.pdf","Production","CBTLV(D)","quad 2:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","148","42.0","","16","SSOP16","SOT519-1"
"nxp","Logic---Bus switches","74CBTLV3257PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3257PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3257.pdf","Production","CBTLV(D)","quad 2:1 mux/demux","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","4","0.2","very Low","-40~125","125","4.54556586826347","54.5604491017964","16","TSSOP16","SOT403-1"
"nxp","Logic---Bus switches","74CBTLV3384BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3384BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3384.pdf","Production","CBTLV(D)","10-bit bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","72","7.6","45","24","DHVQFN24","SOT815-1"
"nxp","Logic---Bus switches","74CBTLV3384PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3384PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3384.pdf","Production","CBTLV(D)","10-bit bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","82","2.5","37","24","TSSOP24","SOT355-1"
"nxp","Logic---Bus switches","74CBTLV3861BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLV3861BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLV3861.pdf","Production","CBTLV(D)","10-bit bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","72","7.6","45","24","DHVQFN24","SOT815-1"
"nxp","Logic---Bus switches","74CBTLV3861PW","http://www.nxp.com/products/logic/bus_switches/74CBTLV3861PW.html","http://www.nxp.com/documents/data_sheet/74CBTLV3861.pdf","Production","CBTLV(D)","10-bit bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","82","2.5","37","24","TSSOP24","SOT355-1"
"nxp","Logic---Bus switches","74CBTLV16211DGG","http://www.nxp.com/products/logic/bus_switches/74CBTLV16211DGG.html","http://www.nxp.com/documents/data_sheet/74CBTLV16211.pdf","Production","CBTLV(D)","24-bit bus switch","2.3 - 3.6","3.3","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Bus switches","74CBTLVD3244BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3244BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3244.pdf","Production","CBTLV(D)","octal bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","76","7.3","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","74CBTLVD3244PW","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3244PW.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3244.pdf","Production","CBTLV(D)","octal bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","99","4.30239203871086","43.4371770291244","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","74CBTLVD3245BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3245BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3245.pdf","Production","CBTLV(D)","octal bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","76","7.3","47","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","74CBTLVD3245PW","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3245PW.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3245.pdf","Production","CBTLV(D)","octal bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","8","0.2","very Low","-40~125","99","4.30239203871086","43.4371770291244","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","74CBTLVD3384BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3384BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3384.pdf","Production","CBTLV(D)","10-bit bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","72","7.6","45","24","DHVQFN24","SOT815-1"
"nxp","Logic---Bus switches","74CBTLVD3384PW","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3384PW.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3384.pdf","Production","CBTLV(D)","10-bit bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","82","2.5","37","24","TSSOP24","SOT355-1"
"nxp","Logic---Bus switches","74CBTLVD3861BQ","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3861BQ.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3861.pdf","Production","CBTLV(D)","10-bit bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","72","7.6","45","24","DHVQFN24","SOT815-1"
"nxp","Logic---Bus switches","74CBTLVD3861PW","http://www.nxp.com/products/logic/bus_switches/74CBTLVD3861PW.html","http://www.nxp.com/documents/data_sheet/74CBTLVD3861.pdf","Production","CBTLV(D)","10-bit bus switch level translator","3.0 - 3.6","1.8","CMOS / LVTTL","7","400","10","0.2","very Low","-40~125","128","32.0","","24","TSSOP24","SOT355-1"
"nxp","Logic---Bus switches","CBT3125D","http://www.nxp.com/products/logic/bus_switches/CBT3125D.html","http://www.nxp.com/documents/data_sheet/CBT3125.pdf","Production","CBT(D)","quad bus switch","4.5 - 5.5","3.9","TTL","7","300","4","0.25","very Low","-40~85","104","17.6","63","14","SO14","SOT108-1"
"nxp","Logic---Bus switches","CBT3125DB","http://www.nxp.com/products/logic/bus_switches/CBT3125DB.html","http://www.nxp.com/documents/data_sheet/CBT3125.pdf","Production","CBT(D)","quad bus switch","4.5 - 5.5","3.9","TTL","7","300","4","0.25","very Low","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Bus switches","CBT3125DS","http://www.nxp.com/products/logic/bus_switches/CBT3125DS.html","http://www.nxp.com/documents/data_sheet/CBT3125.pdf","Production","CBT(D)","quad bus switch","4.5 - 5.5","3.9","TTL","7","300","4","0.25","very Low","-40~85","148","42.0","","16","SSOP16","SOT519-1"
"nxp","Logic---Bus switches","CBT3125PW","http://www.nxp.com/products/logic/bus_switches/CBT3125PW.html","http://www.nxp.com/documents/data_sheet/CBT3125.pdf","Production","CBT(D)","quad bus switch","4.5 - 5.5","3.9","TTL","7","300","4","0.25","very Low","-40~85","138","6.8003185840708","63.8793274336283","14","TSSOP14","SOT402-1"
"nxp","Logic---Bus switches","CBT3244ABQ","http://www.nxp.com/products/logic/bus_switches/CBT3244ABQ.html","http://www.nxp.com/documents/data_sheet/CBT3244A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","78","9.1","50","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","CBT3244AD","http://www.nxp.com/products/logic/bus_switches/CBT3244AD.html","http://www.nxp.com/documents/data_sheet/CBT3244A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","85","27.2","61","20","SO20","SOT163-1"
"nxp","Logic---Bus switches","CBT3244ADB","http://www.nxp.com/products/logic/bus_switches/CBT3244ADB.html","http://www.nxp.com/documents/data_sheet/CBT3244A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Bus switches","CBT3244APW","http://www.nxp.com/products/logic/bus_switches/CBT3244APW.html","http://www.nxp.com/documents/data_sheet/CBT3244A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","101","4.6","45","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","CBT3245ABQ","http://www.nxp.com/products/logic/bus_switches/CBT3245ABQ.html","http://www.nxp.com/documents/data_sheet/CBT3245A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","78","9.1","50","20","DHVQFN20","SOT764-1"
"nxp","Logic---Bus switches","CBT3245AD","http://www.nxp.com/products/logic/bus_switches/CBT3245AD.html","http://www.nxp.com/documents/data_sheet/CBT3245A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","85","27.2","61","20","SO20","SOT163-1"
"nxp","Logic---Bus switches","CBT3245ADB","http://www.nxp.com/products/logic/bus_switches/CBT3245ADB.html","http://www.nxp.com/documents/data_sheet/CBT3245A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","136","40.0","","20","SSOP20","SOT339-1"
"nxp","Logic---Bus switches","CBT3245APW","http://www.nxp.com/products/logic/bus_switches/CBT3245APW.html","http://www.nxp.com/documents/data_sheet/CBT3245A.pdf","Production","CBT(D)","octal bus switch","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","101","4.6","45","20","TSSOP20","SOT360-1"
"nxp","Logic---Bus switches","CBT3251D","http://www.nxp.com/products/logic/bus_switches/CBT3251D.html","http://www.nxp.com/documents/data_sheet/CBT3251.pdf","Production","CBT(D)","8:1 mux/demux","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","90","8.69847604790419","49.4693278443114","16","SO16","SOT109-1"
"nxp","Logic---Bus switches","CBT3251DB","http://www.nxp.com/products/logic/bus_switches/CBT3251DB.html","http://www.nxp.com/documents/data_sheet/CBT3251.pdf","Production","CBT(D)","8:1 mux/demux","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Bus switches","CBT3251DS","http://www.nxp.com/products/logic/bus_switches/CBT3251DS.html","http://www.nxp.com/documents/data_sheet/CBT3251.pdf","Production","CBT(D)","8:1 mux/demux","4.5 - 5.5","3.9","TTL","7","300","8","0.25","very Low","-40~85","148","42.0","","16","SSOP16","SOT519-1"
