"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Vhys","Input offset voltage","Output drive capability","tpd","CMRR","PSRR","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Comparators","NCX2200GF3","http://www.nxp.com/products/logic/comparators/NCX2200GF3.html","http://www.nxp.com/documents/data_sheet/NCX2200.pdf","Production","NC","single low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","251","128.0","","6","XSON6","SOT891"
"nxp","Logic---Comparators","NCX2200GM","http://www.nxp.com/products/logic/comparators/NCX2200GM.html","http://www.nxp.com/documents/data_sheet/NCX2200.pdf","Production","NC","single low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","251","128.0","","6","XSON6","SOT886"
"nxp","Logic---Comparators","NCX2200GS","http://www.nxp.com/products/logic/comparators/NCX2200GS.html","http://www.nxp.com/documents/data_sheet/NCX2200.pdf","Production","NC","single low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","251","128.0","","6","XSON6","SOT1202"
"nxp","Logic---Comparators","NCX2200GW","http://www.nxp.com/products/logic/comparators/NCX2200GW.html","http://www.nxp.com/documents/data_sheet/NCX2200.pdf","Production","NC","single low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","250","69.0","","5","TSSOP5","SOT353"
"nxp","Logic---Comparators","NCX2202GM","http://www.nxp.com/products/logic/comparators/NCX2202GM.html","http://www.nxp.com/documents/data_sheet/NCX2202.pdf","Production","NC","open drain; single low voltage comparator","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","251","128.0","","6","XSON6","SOT886"
"nxp","Logic---Comparators","NCX2202GW","http://www.nxp.com/products/logic/comparators/NCX2202GW.html","http://www.nxp.com/documents/data_sheet/NCX2202.pdf","Production","NC","open drain; single low voltage comparator","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","250","69.0","","5","TSSOP5","SOT353"
"nxp","Logic---Comparators","NCX2220DP","http://www.nxp.com/products/logic/comparators/NCX2220DP.html","http://www.nxp.com/documents/data_sheet/NCX2220.pdf","Production","NC","dual low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","120","30.0","","8","TSSOP8","SOT505-2"
"nxp","Logic---Comparators","NCX2220GF","http://www.nxp.com/products/logic/comparators/NCX2220GF.html","http://www.nxp.com/documents/data_sheet/NCX2220.pdf","Production","NC","dual low voltage comparator","1.3 - 5.5","20.020.0","3.03.0","+/- 5","800","70.070.0","8080","low","-40~85","276","2.6","137","8","XSON8","SOT1089"
"nxp","Logic---Comparators","NCX2220GM","http://www.nxp.com/products/logic/comparators/NCX2220GM.html","http://www.nxp.com/documents/data_sheet/NCX2220.pdf","Production","NC","dual low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","192","117.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Comparators","NCX2220GT","http://www.nxp.com/products/logic/comparators/NCX2220GT.html","http://www.nxp.com/documents/data_sheet/NCX2220.pdf","Production","NC","dual low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","192","117.0","","8","XSON8","SOT833-1"
"nxp","Logic---Comparators","NCX2220GU","http://www.nxp.com/products/logic/comparators/NCX2220GU.html","http://www.nxp.com/documents/data_sheet/NCX2220.pdf","Production","NC","dual low voltage comparator","1.3 - 5.5","20.0","3.0","+/- 5","800","70.0","80","low","-40~85","","","","8","DFN1714-8","SOT972-2"
"nxp","Logic---Comparators","NCX2222DP","http://www.nxp.com/products/logic/comparators/NCX2222DP.html","http://www.nxp.com/documents/data_sheet/NCX2222.pdf","Production","NC","dual low voltage comparator; open drain","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","120","30.0","","8","TSSOP8","SOT505-2"
"nxp","Logic---Comparators","NCX2222GM","http://www.nxp.com/products/logic/comparators/NCX2222GM.html","http://www.nxp.com/documents/data_sheet/NCX2222.pdf","Production","NC","dual low voltage comparator; open drain","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","192","117.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Comparators","NCX2222GT","http://www.nxp.com/products/logic/comparators/NCX2222GT.html","http://www.nxp.com/documents/data_sheet/NCX2222.pdf","Production","NC","dual low voltage comparator; open drain","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","192","117.0","","8","XSON8","SOT833-1"
"nxp","Logic---Comparators","NCX2222GU","http://www.nxp.com/products/logic/comparators/NCX2222GU.html","http://www.nxp.com/documents/data_sheet/NCX2222.pdf","Production","NC","dual low voltage comparator; open drain","1.3 - 5.5","20.0","3.0","5","800","70.0","80","low","-40~85","","","","8","DFN1714-8","SOT972-2"
"nxp","Logic---Comparators","NCX8193GU","http://www.nxp.com/products/logic/comparators/NCX8193GU.html","http://www.nxp.com/documents/data_sheet/NCX8193.pdf","Production","NC","Comparators","","","","","","","","","","","","","10","XQFN10","SOT1160-2"
"nxp","Logic---Comparators","NCX8200UK","http://www.nxp.com/products/logic/comparators/NCX8200UK.html","http://www.nxp.com/documents/data_sheet/NCX8200.pdf","Production","","","","","","","","","","","","","","","","",""
