"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Output drive capability","Logic switching levels","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC590BQ","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC590BQ.html","http://www.nxp.com/documents/data_sheet/74HC590.pdf","Production","HC(T)","8-bit binary counter with output register (3-state)","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","88","10.3","56","16","DHVQFN16","SOT763-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC590D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC590D.html","http://www.nxp.com/documents/data_sheet/74HC590.pdf","Production","HC(T)","8-bit binary counter with output register (3-state)","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","87","7.4","46","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC590PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC590PW.html","http://www.nxp.com/documents/data_sheet/74HC590.pdf","Production","HC(T)","8-bit binary counter with output register (3-state)","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","120","3.41701796407186","49.0623952095808","16","TSSOP16","SOT403-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC4024D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC4024D.html","http://www.nxp.com/documents/data_sheet/74HC4024.pdf","Production","HC(T)","7-stage binary ripple counter","2.0 - 6.0","+/- 5.2","CMOS","14","low","-40~125","66","1.0","23","14","SO14","SOT108-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC4024DB","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC4024DB.html","http://www.nxp.com/documents/data_sheet/74HC4024.pdf","Production","HC(T)","7-stage binary ripple counter","2.0 - 6.0","+/- 5.2","CMOS","14","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC4024PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC4024PW.html","http://www.nxp.com/documents/data_sheet/74HC4024.pdf","Production","HC(T)","7-stage binary ripple counter","2.0 - 6.0","+/- 5.2","CMOS","14","low","-40~125","111","1.0","34.4949008849557","14","TSSOP14","SOT402-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC40103D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC40103D.html","http://www.nxp.com/documents/data_sheet/74HC40103.pdf","Production","HC(T)","8-bit synchronous binary down counter","2.0 - 6.0","+/- 5.2","CMOS","15","low","-40~125","56","1.0","12","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC40103DB","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC40103DB.html","http://www.nxp.com/documents/data_sheet/74HC40103.pdf","Production","HC(T)","8-bit synchronous binary down counter","2.0 - 6.0","+/- 5.2","CMOS","15","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC40103PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC40103PW.html","http://www.nxp.com/documents/data_sheet/74HC40103.pdf","Production","HC(T)","8-bit synchronous binary down counter","2.0 - 6.0","+/- 5.2","CMOS","15","low","-40~125","91","1.0","15.8190850299401","16","TSSOP16","SOT403-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC161D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC161D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT161_CNV.pdf","Production","HC(T)","asynchronous reset; presettable synchronous 4-bit binary counter","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","83","5.2","41","16","SO16","SOT109-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC161DB","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC161DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT161_CNV.pdf","Production","HC(T)","asynchronous reset; presettable synchronous 4-bit binary counter","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC161PW","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC161PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT161_CNV.pdf","Production","HC(T)","asynchronous reset; presettable synchronous 4-bit binary counter","2.0 - 6.0","+/- 5.2","CMOS","19","low","-40~125","116","2.5462974251497","44.8204233532934","16","TSSOP16","SOT403-1"
"nxp","Logic---Counters/frequency dividers---Binary counters/timers","74HC163D","http://www.nxp.com/products/logic/counters_frequency_dividers/binary_counters_timers/74HC163D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT163.pdf","Production","HC(T)","presettable synchronous 4-bit binary counter; synchronous reset","2.0 - 6.0","+/- 5.2","CMOS","17","low","-40~125","83","5.2","41","16","SO16","SOT109-1"
