"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Decoders/demultiplexers","74AHC138BQ","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHC138BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 5.5","CMOS","+/- 8","4.4","low","-40~125","93","13.8","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Decoders/demultiplexers","74AHC138D","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHC138D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 5.5","CMOS","+/- 8","4.4","low","-40~125","93","9.7","52","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74AHC138PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHC138PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 5.5","CMOS","+/- 8","4.4","low","-40~125","125","4.57966167664671","54.7265568862275","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74AHCT138BQ","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHCT138BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.4","low","-40~125","93","13.8","62","16","DHVQFN16","SOT763-1"
"nxp","Logic---Decoders/demultiplexers","74AHCT138D","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHCT138D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.4","low","-40~125","93","9.7","52","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74AHCT138PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHCT138PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT138.pdf","Production","AHC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 8","4.4","low","-40~125","125","4.57966167664671","54.7265568862275","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74AHC139D","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHC139D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT139.pdf","Production","AHC(T)","dual 2-to-4 line decoder/demultiplexer","2.0 - 5.5","CMOS","+/- 8","3.9","low","-40~125","90","8.6","49","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74AHC139PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHC139PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT139.pdf","Production","AHC(T)","dual 2-to-4 line decoder/demultiplexer","2.0 - 5.5","CMOS","+/- 8","3.9","low","-40~125","122","4.02934131736527","52.0455089820359","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74AHCT139D","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHCT139D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT139.pdf","Production","AHC(T)","dual 2-to-4 line decoder/demultiplexer; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","low","-40~125","90","8.6","49","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74AHCT139PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AHCT139PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT139.pdf","Production","AHC(T)","dual 2-to-4 line decoder/demultiplexer; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","low","-40~125","122","4.02934131736527","52.0455089820359","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74AUP1G18GF","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G18GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G18.pdf","Production","AUP","1-to-2 demultiplexer (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","3.2","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Decoders/demultiplexers","74AUP1G18GM","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G18GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G18.pdf","Production","AUP","1-to-2 demultiplexer (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","3.2","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Decoders/demultiplexers","74AUP1G18GN","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G18GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G18.pdf","Production","AUP","1-to-2 demultiplexer (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","3.2","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Decoders/demultiplexers","74AUP1G18GS","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G18GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G18.pdf","Production","AUP","1-to-2 demultiplexer (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","3.2","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Decoders/demultiplexers","74AUP1G18GW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G18GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G18.pdf","Production","AUP","1-to-2 demultiplexer (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","3.2","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Decoders/demultiplexers","74AUP1G19GF","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G19GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G19.pdf","Production","AUP","1-to-2 decoder/demultiplexer","1.1 - 3.6","CMOS","1.9/-1.9","3","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Decoders/demultiplexers","74AUP1G19GM","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G19GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G19.pdf","Production","AUP","1-to-2 decoder/demultiplexer","1.1 - 3.6","CMOS","1.9/-1.9","3","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Decoders/demultiplexers","74AUP1G19GN","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G19GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G19.pdf","Production","AUP","1-to-2 decoder/demultiplexer","1.1 - 3.6","CMOS","1.9/-1.9","3","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Decoders/demultiplexers","74AUP1G19GS","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G19GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G19.pdf","Production","AUP","1-to-2 decoder/demultiplexer","1.1 - 3.6","CMOS","1.9/-1.9","3","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Decoders/demultiplexers","74AUP1G19GW","http://www.nxp.com/products/logic/decoders_demultiplexers/74AUP1G19GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G19.pdf","Production","AUP","1-to-2 decoder/demultiplexer","1.1 - 3.6","CMOS","1.9/-1.9","3","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Decoders/demultiplexers","74HC137D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC137D.html","http://www.nxp.com/documents/data_sheet/74HC137.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer with address latches; inverting","2.0 - 6.0","CMOS","+/- 5.2","18","low","-40~125","72","1.0","30","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HC137DB","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC137DB.html","http://www.nxp.com/documents/data_sheet/74HC137.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer with address latches; inverting","2.0 - 6.0","CMOS","+/- 5.2","18","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Decoders/demultiplexers","74HC237D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC237D.html","http://www.nxp.com/documents/data_sheet/74HC237.pdf","Production","HC(T)","3-to-8 decoder/demultiplexer with address latches","2.0 - 6.0","CMOS","+/- 5.2","18","low","-40~125","71","1.0","29","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HC237DB","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC237DB.html","http://www.nxp.com/documents/data_sheet/74HC237.pdf","Production","HC(T)","3-to-8 decoder/demultiplexer with address latches","2.0 - 6.0","CMOS","+/- 5.2","18","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Decoders/demultiplexers","74HC42D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC42D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT42_CNV.pdf","Production","HC(T)","BCD to decimal decoder (1-of-10)","2.0 - 6.0","CMOS","+/- 5.2","17","low","-40~125","73","1.1","31","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HC138BQ","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC138BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 6.0","CMOS","+/- 5.2","12","low","-40~125","93","14.3","63","16","DHVQFN16","SOT763-1"
"nxp","Logic---Decoders/demultiplexers","74HC138D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC138D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 6.0","CMOS","+/- 5.2","12","low","-40~125","93","10.0","53","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HC138DB","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC138DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 6.0","CMOS","+/- 5.2","12","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Decoders/demultiplexers","74HC138PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC138PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting","2.0 - 6.0","CMOS","+/- 5.2","12","low","-40~125","125","4.73869760479042","55.5013473053892","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74HCT138BQ","http://www.nxp.com/products/logic/decoders_demultiplexers/74HCT138BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","low","-40~125","93","14.3","63","16","DHVQFN16","SOT763-1"
"nxp","Logic---Decoders/demultiplexers","74HCT138D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HCT138D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","low","-40~125","93","10.0","53","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HCT138DB","http://www.nxp.com/products/logic/decoders_demultiplexers/74HCT138DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Decoders/demultiplexers","74HCT138PW","http://www.nxp.com/products/logic/decoders_demultiplexers/74HCT138PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT138.pdf","Production","HC(T)","3-to-8 line decoder/demultiplexer; inverting; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","low","-40~125","125","4.73869760479042","55.5013473053892","16","TSSOP16","SOT403-1"
"nxp","Logic---Decoders/demultiplexers","74HC139D","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC139D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT139.pdf","Production","HC(T)","dual 2-to-4 line decoder/demultiplexer","2.0 - 6.0","CMOS","+/- 5.2","14","low","-40~125","92","9.3","51","16","SO16","SOT109-1"
"nxp","Logic---Decoders/demultiplexers","74HC139DB","http://www.nxp.com/products/logic/decoders_demultiplexers/74HC139DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT139.pdf","Production","HC(T)","dual 2-to-4 line decoder/demultiplexer","2.0 - 6.0","CMOS","+/- 5.2","14","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
