"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC73D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC73D.html","http://www.nxp.com/documents/data_sheet/74HC73.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","77","low","-40~125","74","1.0","31","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC73DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC73DB.html","http://www.nxp.com/documents/data_sheet/74HC73.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","77","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC73PW","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC73PW.html","http://www.nxp.com/documents/data_sheet/74HC73.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","77","low","-40~125","118","1.0","41.2822123893805","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC107D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC107D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT107.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","78","low","-40~125","87","6.5","45","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC107DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC107DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT107.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","78","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC107PW","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC107PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT107.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","16","78","low","-40~125","127","3.06469522123894","51.3731100884956","14","TSSOP14","SOT402-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT107D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT107D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT107.pdf","Production","HC(T)","dual J-K flip-flop with reset; negative-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","16","73","low","-40~125","87","6.5","45","14","SO14","SOT108-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC109D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC109D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf","Production","HC(T)","dual J-/K flip-flop with set and reset; positive-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","15","75","low","-40~125","86","6.6","44","16","SO16","SOT109-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC109DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC109DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf","Production","HC(T)","dual J-/K flip-flop with set and reset; positive-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","15","75","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT109D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT109D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf","Production","HC(T)","dual J-/K flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","17","61","low","-40~125","86","6.6","44","16","SO16","SOT109-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT109DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT109DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf","Production","HC(T)","dual J-/K flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","17","61","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT109PW","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT109PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT109_CNV.pdf","Production","HC(T)","dual J-/K flip-flop with set and reset; positive-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","17","61","low","-40~125","119","3.21593676646707","48.0827688622754","16","TSSOP16","SOT403-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC112D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC112D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","15","66","low","-40~125","76","2.4","34","16","SO16","SOT109-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC112DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC112DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","17","66","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HC112PW","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HC112PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger","2.0 - 6.0","CMOS","+/- 5.2","17","66","low","-40~125","109","1.0","36.7135329341317","16","TSSOP16","SOT403-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT112D","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT112D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","70","low","-40~125","75","1.7","33","16","SO16","SOT109-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT112DB","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT112DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","70","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","74HCT112PW","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/74HCT112PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT112_CNV.pdf","Production","HC(T)","dual J-K flip-flop with set and reset; negative-edge trigger; TTL enabled","4.5 - 5.5","TTL","+/- 4","19","70","low","-40~125","109","1.0","36.7135329341317","16","TSSOP16","SOT403-1"
"nxp","Logic---Flip-flops---J-K type flip-flops","HEF4027BT","http://www.nxp.com/products/logic/flip_flops/j_k_type_flip_flops/HEF4027BT.html","http://www.nxp.com/documents/data_sheet/HEF4027B.pdf","Production","HEF4000B","dual J-K flip-flop","4.5 - 15.5","CMOS","+/- 2.4","30","30","low","-40~85","82","5.3548502994012","41.4717365269461","16","SO16","SOT109-1"
