"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---AND gates","74ABT08D","http://www.nxp.com/products/logic/gates/and_gates/74ABT08D.html","http://www.nxp.com/documents/data_sheet/74ABT08.pdf","Production","ABT","AND gates","quad 2-input AND gate","4.5 - 5.5","TTL","-15/20","2.4","","4","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Gates---AND gates","74ABT08DB","http://www.nxp.com/products/logic/gates/and_gates/74ABT08DB.html","http://www.nxp.com/documents/data_sheet/74ABT08.pdf","Production","ABT","AND gates","quad 2-input AND gate","4.5 - 5.5","TTL","-15/20","2.4","","4","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---AND gates","74ABT08PW","http://www.nxp.com/products/logic/gates/and_gates/74ABT08PW.html","http://www.nxp.com/documents/data_sheet/74ABT08.pdf","Production","ABT","AND gates","quad 2-input AND gate","4.5 - 5.5","TTL","-15/20","2.4","","4","medium","-40~85","140","7.36346238938053","65.7646349557522","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---AND gates","74AHC1G09GV","http://www.nxp.com/products/logic/gates/and_gates/74AHC1G09GV.html","http://www.nxp.com/documents/data_sheet/74AHC1G09.pdf","Production","AHC(T)","AND gates","open-drain; single 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.2","","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---AND gates","74AHC1G09GW","http://www.nxp.com/products/logic/gates/and_gates/74AHC1G09GW.html","http://www.nxp.com/documents/data_sheet/74AHC1G09.pdf","Production","AHC(T)","AND gates","open-drain; single 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.2","","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74AHC1G08GV","http://www.nxp.com/products/logic/gates/and_gates/74AHC1G08GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G08.pdf","Production","AHC(T)","AND gates","single 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.2","","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---AND gates","74AHC1G08GW","http://www.nxp.com/products/logic/gates/and_gates/74AHC1G08GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G08.pdf","Production","AHC(T)","AND gates","single 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.2","","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74AHCT1G08GV","http://www.nxp.com/products/logic/gates/and_gates/74AHCT1G08GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G08.pdf","Production","AHC(T)","AND gates","single 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---AND gates","74AHCT1G08GW","http://www.nxp.com/products/logic/gates/and_gates/74AHCT1G08GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G08.pdf","Production","AHC(T)","AND gates","single 2-input AND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---AND gates","74AHC2G08DC","http://www.nxp.com/products/logic/gates/and_gates/74AHC2G08DC.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G08.pdf","Production","AHC(T)","AND gates","dual 2-input AND gate","2.0 - 5.5","CMOS","+/- 8","3.2","","2","low","-40~125","205","35.8","116","8","VSSOP8","SOT765-1"
