"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GF","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GN","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GS","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GW","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Gates---Configurable gates","74AUP1G57GX","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G57GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G57.pdf","Development","","","","","","","","","","","","","","","6","X2SON6","SOT1255"
"nxp","Logic---Gates---Configurable gates","74AUP1G58GF","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G58GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G58.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Gates---Configurable gates","74AUP1G58GM","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G58GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G58.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Gates---Configurable gates","74AUP1G58GN","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G58GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G58.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Gates---Configurable gates","74AUP1G58GS","http://www.nxp.com/products/logic/gates/configurable_gates/74AUP1G58GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G58.pdf","Production","AUP","Configurable gates","configurable gate; Schmitt trigger","1.1 - 3.6","CMOS","1.9/-1.9","8.7","70","1","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
