"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHC1G86GV","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHC1G86GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","2-input EXCLUSIVE-OR gate","2.0 - 5.5","CMOS","+/- 8","3.4","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHC1G86GW","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHC1G86GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","2-input EXCLUSIVE-OR gate","2.0 - 5.5","CMOS","+/- 8","3.4","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHCT1G86GV","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHCT1G86GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","2-input EXCLUSIVE-OR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHCT1G86GW","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHCT1G86GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","2-input EXCLUSIVE-OR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHC86BQ","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHC86BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate","2.0 - 5.5","CMOS","+/- 8","3.4","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHC86D","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHC86D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate","2.0 - 5.5","CMOS","+/- 8","3.4","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHC86PW","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHC86PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate","2.0 - 5.5","CMOS","+/- 8","3.4","60","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHCT86BQ","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHCT86BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHCT86D","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHCT86D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---EXCLUSIVE-OR gates","74AHCT86PW","http://www.nxp.com/products/logic/gates/exclusive_or_gates/74AHCT86PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT86.pdf","Production","AHC(T)","EXCLUSIVE-OR gates","quad 2-input EXCLUSIVE-OR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","60","4","low","-40~125","138","1.0","64.2503584070796","14","TSSOP14","SOT402-1"
