"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---NAND gates","74ABT00D","http://www.nxp.com/products/logic/gates/nand_gates/74ABT00D.html","http://www.nxp.com/documents/data_sheet/74ABT00.pdf","Production","ABT","NAND gates","quad 2-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.5","100","4","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74ABT00DB","http://www.nxp.com/products/logic/gates/nand_gates/74ABT00DB.html","http://www.nxp.com/documents/data_sheet/74ABT00.pdf","Production","ABT","NAND gates","quad 2-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.5","100","4","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---NAND gates","74ABT00PW","http://www.nxp.com/products/logic/gates/nand_gates/74ABT00PW.html","http://www.nxp.com/documents/data_sheet/74ABT00.pdf","Production","ABT","NAND gates","quad 2-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.5","100","4","medium","-40~85","140","7.36346238938053","65.7646349557522","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74ABT20D","http://www.nxp.com/products/logic/gates/nand_gates/74ABT20D.html","http://www.nxp.com/documents/data_sheet/74ABT20.pdf","Production","ABT","NAND gates","dual 4-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.7","100","2","medium","-40~85","106","18.9","64","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74ABT20DB","http://www.nxp.com/products/logic/gates/nand_gates/74ABT20DB.html","http://www.nxp.com/documents/data_sheet/74ABT20.pdf","Production","ABT","NAND gates","dual 4-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.7","100","2","medium","-40~85","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---NAND gates","74ABT20PW","http://www.nxp.com/products/logic/gates/nand_gates/74ABT20PW.html","http://www.nxp.com/documents/data_sheet/74ABT20.pdf","Production","ABT","NAND gates","dual 4-input NAND gate","4.5 - 5.5","TTL","-15/+20","2.7","100","2","medium","-40~85","140","7.36346238938053","65.7646349557522","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74AHC1G00GV","http://www.nxp.com/products/logic/gates/nand_gates/74AHC1G00GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G00.pdf","Production","AHC(T)","NAND gates","single 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.5","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---NAND gates","74AHC1G00GW","http://www.nxp.com/products/logic/gates/nand_gates/74AHC1G00GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G00.pdf","Production","AHC(T)","NAND gates","single 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.5","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74AHCT1G00GV","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT1G00GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G00.pdf","Production","AHC(T)","NAND gates","single 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---NAND gates","74AHCT1G00GW","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT1G00GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G00.pdf","Production","AHC(T)","NAND gates","single 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NAND gates","74AHC2G00DC","http://www.nxp.com/products/logic/gates/nand_gates/74AHC2G00DC.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.5","60","2","low","-40~125","205","35.8","116","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NAND gates","74AHC2G00DP","http://www.nxp.com/products/logic/gates/nand_gates/74AHC2G00DP.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.5","60","2","low","-40~125","218","20.9","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---NAND gates","74AHC2G00GD","http://www.nxp.com/products/logic/gates/nand_gates/74AHC2G00GD.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.5","60","2","low","-40~125","623","85.0","281","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NAND gates","74AHCT2G00DC","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT2G00DC.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","60","2","low","-40~125","205","35.8","116","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NAND gates","74AHCT2G00DP","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT2G00DP.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","60","2","low","-40~125","218","20.9","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---NAND gates","74AHCT2G00GD","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT2G00GD.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT2G00.pdf","Production","AHC(T)","NAND gates","dual 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.6","60","2","low","-40~125","623","85.0","281","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NAND gates","74AHC00BQ","http://www.nxp.com/products/logic/gates/nand_gates/74AHC00BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.2","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74AHC00D","http://www.nxp.com/products/logic/gates/nand_gates/74AHC00D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.2","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74AHC00PW","http://www.nxp.com/products/logic/gates/nand_gates/74AHC00PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.2","60","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74AHCT00BQ","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT00BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74AHCT00D","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT00D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74AHCT00PW","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT00PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT00.pdf","Production","AHC(T)","NAND gates","quad 2-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74AHC30BQ","http://www.nxp.com/products/logic/gates/nand_gates/74AHC30BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.6","60","1","low","-40~125","108","22.7","76","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74AHC30D","http://www.nxp.com/products/logic/gates/nand_gates/74AHC30D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.6","60","1","low","-40~125","111","21.9","69","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74AHC30GU12","http://www.nxp.com/products/logic/gates/nand_gates/74AHC30GU12.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","","","","","","","","","","","","","","","12","XQFN12","SOT1174-1"
"nxp","Logic---Gates---NAND gates","74AHC30PW","http://www.nxp.com/products/logic/gates/nand_gates/74AHC30PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate","2.0 - 5.5","CMOS","+/- 8","3.6","60","1","low","-40~125","143","8.45265486725664","69.4110619469027","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NAND gates","74AHCT30BQ","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","108","22.7","76","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NAND gates","74AHCT30D","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","111","21.9","69","14","SO14","SOT108-1"
"nxp","Logic---Gates---NAND gates","74AHCT30PW","http://www.nxp.com/products/logic/gates/nand_gates/74AHCT30PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT30.pdf","Production","AHC(T)","NAND gates","8-input NAND gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.3","60","1","low","-40~125","143","8.45265486725664","69.4110619469027","14","TSSOP14","SOT402-1"
