"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Type","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Gates---NOR gates","74AHC1G02GV","http://www.nxp.com/products/logic/gates/nor_gates/74AHC1G02GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G02.pdf","Production","AHC(T)","NOR gates","single 2-input NOR gate","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---NOR gates","74AHC1G02GW","http://www.nxp.com/products/logic/gates/nor_gates/74AHC1G02GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G02.pdf","Production","AHC(T)","NOR gates","single 2-input NOR gate","2.0 - 5.5","CMOS","+/- 8","3.2","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NOR gates","74AHCT1G02GV","http://www.nxp.com/products/logic/gates/nor_gates/74AHCT1G02GV.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G02.pdf","Production","AHC(T)","NOR gates","single 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","60","1","low","-40~125","272","64.5","170","5","TSOP5","SOT753"
"nxp","Logic---Gates---NOR gates","74AHCT1G02GW","http://www.nxp.com/products/logic/gates/nor_gates/74AHCT1G02GW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT1G02.pdf","Production","AHC(T)","NOR gates","single 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.5","60","1","low","-40~125","312","82.5","183","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NOR gates","74AHC02BQ","http://www.nxp.com/products/logic/gates/nor_gates/74AHC02BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate","2.0 - 5.5","CMOS","+/- 8","2.9","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74AHC02D","http://www.nxp.com/products/logic/gates/nor_gates/74AHC02D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate","2.0 - 5.5","CMOS","+/- 8","2.9","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74AHC02PW","http://www.nxp.com/products/logic/gates/nor_gates/74AHC02PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate","2.0 - 5.5","CMOS","+/- 8","2.9","60","4","low","-40~125","138","6.91114601769911","64.2503584070796","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NOR gates","74AHCT02BQ","http://www.nxp.com/products/logic/gates/nor_gates/74AHCT02BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","60","4","low","-40~125","103","18.4","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74AHCT02D","http://www.nxp.com/products/logic/gates/nor_gates/74AHCT02D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","60","4","low","-40~125","105","17.8","63","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74AHCT02PW","http://www.nxp.com/products/logic/gates/nor_gates/74AHCT02PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT02.pdf","Production","AHC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","60","4","low","-40~125","138","1.0","8","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NOR gates","74ALVC02BQ","http://www.nxp.com/products/logic/gates/nor_gates/74ALVC02BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC02.pdf","Production","ALVC","NOR gates","quad 2-input NOR gate","1.65 - 3.6","TTL","+/- 24","2.2","150","4","low","-40~85","103","18.3","71","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74ALVC02D","http://www.nxp.com/products/logic/gates/nor_gates/74ALVC02D.html","http://www.nxp.com/documents/data_sheet/74ALVC02.pdf","Production","ALVC","NOR gates","quad 2-input NOR gate","1.65 - 3.6","TTL","+/- 24","2.2","150","4","low","-40~85","103","17.1","62","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74ALVC02PW","http://www.nxp.com/products/logic/gates/nor_gates/74ALVC02PW.html","http://www.nxp.com/documents/data_sheet/74ALVC02.pdf","Production","ALVC","NOR gates","quad 2-input NOR gate","1.65 - 3.6","TTL","+/- 24","2.2","150","4","low","-40~85","138","1.0","64.1246371681416","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NOR gates","74AUP1G02GF","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT891"
"nxp","Logic---Gates---NOR gates","74AUP1G02GM","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","311","7.7","157","6","XSON6","SOT886"
"nxp","Logic---Gates---NOR gates","74AUP1G02GN","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","334","22.6","207","6","XSON6","SOT1115"
"nxp","Logic---Gates---NOR gates","74AUP1G02GS","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","321","28.7","215","6","XSON6","SOT1202"
"nxp","Logic---Gates---NOR gates","74AUP1G02GW","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","309","79.2","179","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NOR gates","74AUP1G02GX","http://www.nxp.com/products/logic/gates/nor_gates/74AUP1G02GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G02.pdf","Production","AUP","NOR gates","single 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","1","ultra low","-40~125","322","90.7","191","5","X2SON5","SOT1226"
"nxp","Logic---Gates---NOR gates","74AUP2G02DC","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02DC.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","203","34.1","113","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NOR gates","74AUP2G02GD","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GD.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","610","80.8","271","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NOR gates","74AUP2G02GF","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GF.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","254","2.1","124","8","XSON8","SOT1089"
"nxp","Logic---Gates---NOR gates","74AUP2G02GM","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GM.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","251","128.0","","8","XQFN8","SOT902-2"
"nxp","Logic---Gates---NOR gates","74AUP2G02GN","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GN.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","238","10.6","148","8","XSON8","SOT1116"
"nxp","Logic---Gates---NOR gates","74AUP2G02GS","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GS.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","276","10.8","146","8","XSON8","SOT1203"
"nxp","Logic---Gates---NOR gates","74AUP2G02GT","http://www.nxp.com/products/logic/gates/nor_gates/74AUP2G02GT.html","http://www.nxp.com/documents/data_sheet/74AUP2G02.pdf","Production","AUP","NOR gates","dual 2-input NOR gate","1.1 - 3.6","CMOS","1.9/-1.9","8.3","70","2","ultra low","-40~125","327","6.1","157","8","XSON8","SOT833-1"
"nxp","Logic---Gates---NOR gates","74AXP1G02GM","http://www.nxp.com/products/logic/gates/nor_gates/74AXP1G02GM.html","http://www.nxp.com/documents/data_sheet/74AXP1G02.pdf","Production","AXP","NOR gates","single 2-input NOR gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","322","8.3","164","6","XSON6","SOT886"
"nxp","Logic---Gates---NOR gates","74AXP1G02GN","http://www.nxp.com/products/logic/gates/nor_gates/74AXP1G02GN.html","http://www.nxp.com/documents/data_sheet/74AXP1G02.pdf","Production","AXP","NOR gates","single 2-input NOR gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","366","28.6","226","6","XSON6","SOT1115"
"nxp","Logic---Gates---NOR gates","74AXP1G02GS","http://www.nxp.com/products/logic/gates/nor_gates/74AXP1G02GS.html","http://www.nxp.com/documents/data_sheet/74AXP1G02.pdf","Production","AXP","NOR gates","single 2-input NOR gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","347","36.3","235","6","XSON6","SOT1202"
"nxp","Logic---Gates---NOR gates","74AXP1G02GX","http://www.nxp.com/products/logic/gates/nor_gates/74AXP1G02GX.html","http://www.nxp.com/documents/data_sheet/74AXP1G02.pdf","Production","AXP","NOR gates","single 2-input NOR gate","0.7 - 2.75","CMOS","+/- 4.5","2.6","70","1","ultra low","-40~85","352","115.9","217","5","X2SON5","SOT1226"
"nxp","Logic---Gates---NOR gates","74HC1G02GV","http://www.nxp.com/products/logic/gates/nor_gates/74HC1G02GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G02.pdf","Production","HC(T)","NOR gates","single 2-input NOR gate","2.0 - 6.0","CMOS","+/- 2.6","7","36","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---NOR gates","74HC1G02GW","http://www.nxp.com/products/logic/gates/nor_gates/74HC1G02GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G02.pdf","Production","HC(T)","NOR gates","single 2-input NOR gate","2.0 - 6.0","CMOS","+/- 2.6","7","36","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NOR gates","74HCT1G02GV","http://www.nxp.com/products/logic/gates/nor_gates/74HCT1G02GV.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G02.pdf","Production","HC(T)","NOR gates","single 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 2.0","9","36","1","low","-40~125","220","33.0","131","5","TSOP5","SOT753"
"nxp","Logic---Gates---NOR gates","74HCT1G02GW","http://www.nxp.com/products/logic/gates/nor_gates/74HCT1G02GW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT1G02.pdf","Production","HC(T)","NOR gates","single 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 2.0","9","36","1","low","-40~125","261","39.3","138","5","TSSOP5","SOT353-1"
"nxp","Logic---Gates---NOR gates","74HC2G02DC","http://www.nxp.com/products/logic/gates/nor_gates/74HC2G02DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","9","36","2","low","-40~125","204","35.1","115","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NOR gates","74HC2G02DP","http://www.nxp.com/products/logic/gates/nor_gates/74HC2G02DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","9","36","2","low","-40~125","216","20.5","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---NOR gates","74HC2G02GD","http://www.nxp.com/products/logic/gates/nor_gates/74HC2G02GD.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","9","36","2","low","-40~125","618","83.2","277","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NOR gates","74HCT2G02DC","http://www.nxp.com/products/logic/gates/nor_gates/74HCT2G02DC.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","12","36","2","low","-40~125","204","35.1","115","8","VSSOP8","SOT765-1"
"nxp","Logic---Gates---NOR gates","74HCT2G02DP","http://www.nxp.com/products/logic/gates/nor_gates/74HCT2G02DP.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","12","36","2","low","-40~125","216","20.5","106","8","TSSOP8","SOT505-2"
"nxp","Logic---Gates---NOR gates","74HCT2G02GD","http://www.nxp.com/products/logic/gates/nor_gates/74HCT2G02GD.html","http://www.nxp.com/documents/data_sheet/74HC_HCT2G02.pdf","Production","HC(T)","NOR gates","dual 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","12","36","2","low","-40~125","618","83.2","277","8","XSON8","SOT996-2"
"nxp","Logic---Gates---NOR gates","74HC02BQ","http://www.nxp.com/products/logic/gates/nor_gates/74HC02BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","7","36","4","low","-40~125","107","21.7","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74HC02D","http://www.nxp.com/products/logic/gates/nor_gates/74HC02D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","7","36","4","low","-40~125","109","20.9","68","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74HC02DB","http://www.nxp.com/products/logic/gates/nor_gates/74HC02DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","7","36","4","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---NOR gates","74HC02PW","http://www.nxp.com/products/logic/gates/nor_gates/74HC02PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","7","36","4","low","-40~125","142","8.08521460176991","68.180935840708","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NOR gates","74HCT02BQ","http://www.nxp.com/products/logic/gates/nor_gates/74HCT02BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","9","36","4","low","-40~125","107","21.7","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74HCT02D","http://www.nxp.com/products/logic/gates/nor_gates/74HCT02D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","9","36","4","low","-40~125","109","20.9","68","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74HCT02DB","http://www.nxp.com/products/logic/gates/nor_gates/74HCT02DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","9","36","4","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
"nxp","Logic---Gates---NOR gates","74HCT02PW","http://www.nxp.com/products/logic/gates/nor_gates/74HCT02PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT02.pdf","Production","HC(T)","NOR gates","quad 2-input NOR gate; TTL enabled","4.5 - 5.5","TTL","+/- 4","9","36","4","low","-40~125","142","8.08521460176991","68.180935840708","14","TSSOP14","SOT402-1"
"nxp","Logic---Gates---NOR gates","74HC27BQ","http://www.nxp.com/products/logic/gates/nor_gates/74HC27BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT27.pdf","Production","HC(T)","NOR gates","triple 3-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","8","36","3","low","-40~125","107","21.7","75","14","DHVQFN14","SOT762-1"
"nxp","Logic---Gates---NOR gates","74HC27D","http://www.nxp.com/products/logic/gates/nor_gates/74HC27D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT27.pdf","Production","HC(T)","NOR gates","triple 3-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","8","36","3","low","-40~125","109","20.9","68","14","SO14","SOT108-1"
"nxp","Logic---Gates---NOR gates","74HC27DB","http://www.nxp.com/products/logic/gates/nor_gates/74HC27DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT27.pdf","Production","HC(T)","NOR gates","triple 3-input NOR gate","2.0 - 6.0","CMOS","+/- 5.2","8","36","3","low","-40~125","156","40.0","","14","SSOP14","SOT337-1"
