"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Latches/registered drivers","74AHC373D","http://www.nxp.com/products/logic/latches_registered_drivers/74AHC373D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT373.pdf","Production","AHC(T)","octal D-type transparent latch (3-state)","2.0 - 5.5","CMOS","+/- 8","4.3","8","low","-40~125","84","27.0","61","20","SO20","SOT163-1"
"nxp","Logic---Latches/registered drivers","74AHC373PW","http://www.nxp.com/products/logic/latches_registered_drivers/74AHC373PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT373.pdf","Production","AHC(T)","octal D-type transparent latch (3-state)","2.0 - 5.5","CMOS","+/- 8","4.3","8","low","-40~125","100","4.5485809497724","44.4818164625478","20","TSSOP20","SOT360-1"
"nxp","Logic---Latches/registered drivers","74AHC573BQ","http://www.nxp.com/products/logic/latches_registered_drivers/74AHC573BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch (3-state)","2.0 - 5.5","CMOS","+/- 8","4.2","8","low","-40~125","77","8.1","48","20","DHVQFN20","SOT764-1"
"nxp","Logic---Latches/registered drivers","74AHC573D","http://www.nxp.com/products/logic/latches_registered_drivers/74AHC573D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch (3-state)","2.0 - 5.5","CMOS","+/- 8","4.2","8","low","-40~125","84","26.4","60","20","SO20","SOT163-1"
"nxp","Logic---Latches/registered drivers","74AHC573PW","http://www.nxp.com/products/logic/latches_registered_drivers/74AHC573PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch (3-state)","2.0 - 5.5","CMOS","+/- 8","4.2","8","low","-40~125","100","4.43375070104733","43.9945637855252","20","TSSOP20","SOT360-1"
"nxp","Logic---Latches/registered drivers","74AHCT573BQ","http://www.nxp.com/products/logic/latches_registered_drivers/74AHCT573BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","3.9","8","low","-40~125","77","8.1","48","20","DHVQFN20","SOT764-1"
"nxp","Logic---Latches/registered drivers","74AHCT573D","http://www.nxp.com/products/logic/latches_registered_drivers/74AHCT573D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","3.9","8","low","-40~125","84","26.4","60","20","SO20","SOT163-1"
"nxp","Logic---Latches/registered drivers","74AHCT573PW","http://www.nxp.com/products/logic/latches_registered_drivers/74AHCT573PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT573.pdf","Production","AHC(T)","octal D-type transparent latch; TTL enabled (3-state)","4.5 - 5.5","TTL","+/- 8","3.9","8","low","-40~125","100","4.43375070104733","43.9945637855252","20","TSSOP20","SOT360-1"
"nxp","Logic---Latches/registered drivers","74ALVC373BQ","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC373BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC373.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","77","8.4","49","20","DHVQFN20","SOT764-1"
"nxp","Logic---Latches/registered drivers","74ALVC373D","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC373D.html","http://www.nxp.com/documents/data_sheet/74ALVC373.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","84","26.7","60","20","SO20","SOT163-1"
"nxp","Logic---Latches/registered drivers","74ALVC373PW","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC373PW.html","http://www.nxp.com/documents/data_sheet/74ALVC373.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","100","4.48716281253668","44.2212043667097","20","TSSOP20","SOT360-1"
"nxp","Logic---Latches/registered drivers","74ALVC573BQ","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC573BQ.html","http://www.nxp.com/documents/data_sheet/74ALVC573.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","77","8.4","49","20","DHVQFN20","SOT764-1"
"nxp","Logic---Latches/registered drivers","74ALVC573D","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC573D.html","http://www.nxp.com/documents/data_sheet/74ALVC573.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","84","26.7","60","20","SO20","SOT163-1"
"nxp","Logic---Latches/registered drivers","74ALVC573PW","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC573PW.html","http://www.nxp.com/documents/data_sheet/74ALVC573.pdf","Production","ALVC","octal D-type transparent latch (3-state)","1.65 - 3.6","LVTTL","+/- 24","2.2","8","low","-40~85","100","4.48716281253668","44.2212043667097","20","TSSOP20","SOT360-1"
"nxp","Logic---Latches/registered drivers","74ALVC16834ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC16834ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC16834A.pdf","Production","ALVC","18-bit registered driver (3-State)","1.65 - 3.6","LVTTL","+/- 24","4","18","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVC16835ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC16835ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC16835A.pdf","Production","ALVC","18-bit registered driver (3-State)","1.65 - 3.6","LVTTL","+/- 24","4","18","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVC16836ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC16836ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC16836A.pdf","Production","ALVC","20-bit registered driver (3-State)","1.65 - 3.6","LVTTL","+/- 24","4","20","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVC162334ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC162334ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC162334A.pdf","Production","ALVC","16-bit registered driver with 30 ohm termination resistors (3-State)","1.65 - 3.6","LVTTL","+/- 24","6","16","low","-40~85","82","1.9","36","48","TSSOP48","SOT362-1"
"nxp","Logic---Latches/registered drivers","74ALVC162834ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC162834ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC162834A.pdf","Production","ALVC","18-bit registered driver with 30 ohm termination resistors (3-State)","1.65 - 3.6","LVTTL","+/- 24","6","18","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVC162835ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC162835ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC162835A.pdf","Production","ALVC","18-bit registered driver with 30 ohm termination resistors (3-State)","1.65 - 3.6","LVTTL","+/- 24","6","18","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVC162836ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVC162836ADGG.html","http://www.nxp.com/documents/data_sheet/74ALVC162836A.pdf","Production","ALVC","20-bit registered driver with 30 ohm termination resistors (3-State)","1.65 - 3.6","LVTTL","+/- 24","6","20","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVCH16373DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVCH16373DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16373.pdf","Production","ALVC","16-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","LVTTL","+/- 24","2.1","16","low","-40~85","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Latches/registered drivers","74ALVCH16373DL","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVCH16373DL.html","http://www.nxp.com/documents/data_sheet/74ALVCH16373.pdf","Production","ALVC","16-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","LVTTL","+/- 24","2.1","16","low","-40~85","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Latches/registered drivers","74ALVCH16841DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVCH16841DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16841.pdf","Production","ALVC","20-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","LVTTL","+/- 24","2.4","20","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVCH16843DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVCH16843DGG.html","http://www.nxp.com/documents/data_sheet/74ALVCH16843.pdf","Production","ALVC","18-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","LVTTL","+/- 24","2.1","18","low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74ALVCH32973EC","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVCH32973EC.html","http://www.nxp.com/documents/data_sheet/74ALVCH32973.pdf","Production","ALVC","16-bit transceiver and transparent D-type latch with 8 independent buffers","1.8 - 3.6","LVTTL","+/- 24","2.5","16","low","-40~85","60","16.0","","96","LFBGA96","SOT536-1"
"nxp","Logic---Latches/registered drivers","74ALVT16373DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVT16373DGG.html","http://www.nxp.com/documents/data_sheet/74ALVT16373.pdf","Production","ALVT","16-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","16","medium","-40~85","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Latches/registered drivers","74ALVT16373DL","http://www.nxp.com/products/logic/latches_registered_drivers/74ALVT16373DL.html","http://www.nxp.com/documents/data_sheet/74ALVT16373.pdf","Production","ALVT","16-bit D-type transparent latch with bus hold (3-state)","2.3 - 3.6","TTL","-32/+64","1.8","16","medium","-40~85","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Latches/registered drivers","74AUP1G373GF","http://www.nxp.com/products/logic/latches_registered_drivers/74AUP1G373GF.html","http://www.nxp.com/documents/data_sheet/74AUP1G373.pdf","Production","AUP","single D-type transparent latch (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","8.5","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT891"
"nxp","Logic---Latches/registered drivers","74AUP1G373GM","http://www.nxp.com/products/logic/latches_registered_drivers/74AUP1G373GM.html","http://www.nxp.com/documents/data_sheet/74AUP1G373.pdf","Production","AUP","single D-type transparent latch (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","8.5","1","ultra low","-40~125","290","6.5","145","6","XSON6","SOT886"
"nxp","Logic---Latches/registered drivers","74AUP1G373GN","http://www.nxp.com/products/logic/latches_registered_drivers/74AUP1G373GN.html","http://www.nxp.com/documents/data_sheet/74AUP1G373.pdf","Production","AUP","single D-type transparent latch (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","8.5","1","ultra low","-40~125","275","11.7","171","6","XSON6","SOT1115"
"nxp","Logic---Latches/registered drivers","74AUP1G373GS","http://www.nxp.com/products/logic/latches_registered_drivers/74AUP1G373GS.html","http://www.nxp.com/documents/data_sheet/74AUP1G373.pdf","Production","AUP","single D-type transparent latch (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","8.5","1","ultra low","-40~125","272","14.8","177","6","XSON6","SOT1202"
"nxp","Logic---Latches/registered drivers","74AUP1G373GW","http://www.nxp.com/products/logic/latches_registered_drivers/74AUP1G373GW.html","http://www.nxp.com/documents/data_sheet/74AUP1G373.pdf","Production","AUP","single D-type transparent latch (3-state)","1.1 - 3.6","CMOS","1.9/-1.9","8.5","1","ultra low","-40~125","264","38.6","153","6","TSSOP6","SOT363"
"nxp","Logic---Latches/registered drivers","74AVC16334ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVC16334ADGG.html","http://www.nxp.com/documents/data_sheet/74AVC16334A.pdf","Production","AVC(M)","16-bit registered driver (3-State)","1.2 - 3.6","CMOS","+/- 12","2","16","very low","-40~85","82","1.8","35","48","TSSOP48","SOT362-1"
"nxp","Logic---Latches/registered drivers","74AVC16373DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVC16373DGG.html","http://www.nxp.com/documents/data_sheet/74AVC16373.pdf","Production","AVC(M)","16-bit D-type transparent latch (3-state)","1.2 - 3.6","CMOS","+/- 12","2","16","very low","-40~85","82","2.0","37","48","TSSOP48","SOT362-1"
"nxp","Logic---Latches/registered drivers","74AVC16834ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVC16834ADGG.html","http://www.nxp.com/documents/data_sheet/74AVC16834A.pdf","Production","AVC(M)","18-bit registered driver (3-State)","1.2 - 3.6","CMOS","+/- 12","2","18","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74AVC16835ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVC16835ADGG.html","http://www.nxp.com/documents/data_sheet/74AVC16835A.pdf","Production","AVC(M)","18-bit registered driver (3-State)","1.2 - 3.6","CMOS","+/- 12","2","18","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74AVC16836ADGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVC16836ADGG.html","http://www.nxp.com/documents/data_sheet/74AVC16836A.pdf","Production","AVC(M)","20-bit registered driver (3-State)","1.2 - 3.6","CMOS","+/- 12","2","20","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74AVCM162834DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVCM162834DGG.html","http://www.nxp.com/documents/data_sheet/74AVCM162834.pdf","Production","AVC(M)","18-bit registered driver with 30 ohm termination resistors (3-State)","1.2 - 3.6","CMOS","+/- 12","2","18","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74AVCM162835DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVCM162835DGG.html","http://www.nxp.com/documents/data_sheet/74AVCM162835.pdf","Production","AVC(M)","18-bit registered driver with 15 ohm termination resistors (3-State)","1.2 - 3.6","CMOS","+/- 12","2","18","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
"nxp","Logic---Latches/registered drivers","74AVCM162836DGG","http://www.nxp.com/products/logic/latches_registered_drivers/74AVCM162836DGG.html","http://www.nxp.com/documents/data_sheet/74AVCM162836.pdf","Production","AVC(M)","20-bit registered driver with 15 ohm termination resistors (3-State)","1.2 - 3.6","CMOS","+/- 12","2","20","very low","-40~85","93","21.0","","56","TSSOP56","SOT364-1"
