"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC(A)","VCC(B)","Logic switching levels","Output drive capability","tpd","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Level shifters/translators","74ALVC164245BX","http://www.nxp.com/products/logic/level_shifters_translators/74ALVC164245BX.html","http://www.nxp.com/documents/data_sheet/74ALVC164245.pdf","Production","ALVC","16-bit dual-supply voltage level translating transceiver (3-state)","1.5 - 5.5","1.5 - 3.6","CMOS/LVTTL","+/- 24","2.9","16","low","-40~85","","","","60","HXQFN60U","SOT1134-2"
"nxp","Logic---Level shifters/translators","74ALVC164245DGG","http://www.nxp.com/products/logic/level_shifters_translators/74ALVC164245DGG.html","http://www.nxp.com/documents/data_sheet/74ALVC164245.pdf","Production","ALVC","16-bit dual-supply voltage level translating transceiver (3-state)","1.5 - 5.5","1.5 - 3.6","CMOS/LVTTL","+/- 24","2.9","16","low","-40~85","82","2.0","37","48","TSSOP48","SOT362-1"
"nxp","Logic---Level shifters/translators","74ALVC164245DL","http://www.nxp.com/products/logic/level_shifters_translators/74ALVC164245DL.html","http://www.nxp.com/documents/data_sheet/74ALVC164245.pdf","Production","ALVC","16-bit dual-supply voltage level translating transceiver (3-state)","1.5 - 5.5","1.5 - 3.6","CMOS/LVTTL","+/- 24","2.9","16","low","-40~85","88","25.0","","48","SSOP48","SOT370-1"
"nxp","Logic---Level shifters/translators","74AUP1G157GX","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1G157GX.html","http://www.nxp.com/documents/data_sheet/74AUP1G157.pdf","Development","","","","","","","","","","","","","","6","X2SON6","SOT1255"
"nxp","Logic---Level shifters/translators","74AUP1T34GF","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GF.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","323","8.4","164","6","XSON6","SOT891"
"nxp","Logic---Level shifters/translators","74AUP1T34GM","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GM.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","323","8.4","164","6","XSON6","SOT886"
"nxp","Logic---Level shifters/translators","74AUP1T34GN","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GN.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","367","28.9","227","6","XSON6","SOT1115"
"nxp","Logic---Level shifters/translators","74AUP1T34GS","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GS.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","349","36.7","236","6","XSON6","SOT1202"
"nxp","Logic---Level shifters/translators","74AUP1T34GW","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GW.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","292","65.6","165","5","TSSOP5","SOT353-1"
"nxp","Logic---Level shifters/translators","74AUP1T34GX","http://www.nxp.com/products/logic/level_shifters_translators/74AUP1T34GX.html","http://www.nxp.com/documents/data_sheet/74AUP1T34.pdf","Production","AUP","single dual supply translating buffer","1.1 - 3.6","1.1 - 3.6","CMOS","+/- 1.9","15.2","1","ultra low","-40~125","286","60.6","160","5","X2SON5","SOT1226"
