"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","RON","ISW","tON","Rdch","Power dissipation considerations","Tamb","Rth(j-a)","No of pins","Package name","Package version"
"nxp","Logic---Load switches","NX3P190UK","http://www.nxp.com/products/logic/load_switches/NX3P190UK.html","http://www.nxp.com/documents/data_sheet/NX3P190.pdf","Production","NX3","logic controlled high-side power switch","1.1 - 3.6","low threshold","80","0.5","","","very low","-40~85","130","4","WLCSP","OL-NX3P190UK"
"nxp","Logic---Load switches","NX3P191UK","http://www.nxp.com/products/logic/load_switches/NX3P191UK.html","http://www.nxp.com/documents/data_sheet/NX3P191.pdf","Production","NX3","logic controlled high-side power switch","1.1 - 3.6","low threshold","80","0.5","","Y","very low","-40~85","130","4","WLCSP","OL-NX3P191UK"
"nxp","Logic---Load switches","NX3P1107UK","http://www.nxp.com/products/logic/load_switches/NX3P1107UK.html","http://www.nxp.com/documents/data_sheet/NX3P1107.pdf","Production","NX3","logic controlled high-side power switch","0.9 - 3.6","low threshold","34","1.5","0.15","","very low","-40~85","84","4","WLCSP","OL-NX3P1107UK"
"nxp","Logic---Load switches","NX3P1108UK","http://www.nxp.com/products/logic/load_switches/NX3P1108UK.html","http://www.nxp.com/documents/data_sheet/NX3P1108.pdf","Production","NX3","logic controlled high-side power switch","0.9 - 3.6","low threshold","34","1.5","0.15","Y","very low","-40~85","84","4","WLCSP","OL-NX3P1108UK"
"nxp","Logic---Load switches","NX3P2902BUK","http://www.nxp.com/products/logic/load_switches/NX3P2902BUK.html","http://www.nxp.com/documents/data_sheet/NX3P2902B.pdf","Production","NX3","logic controlled high-side power switch","1.1 - 3.6","low threshold","95","0.5","0.28","Y","very low","-40~85","130","4","WLCSP","OL-NX3P2902B"
"nxp","Logic---Load switches","NX5P1000UK","http://www.nxp.com/products/logic/load_switches/NX5P1000UK.html","http://www.nxp.com/documents/data_sheet/NX5P1000.pdf","Production","NX5","logic controlled high-side power switch for USB-OTG","3.0 - 5.5","low threshold","60","1.0","0.63","","very low","-40~85","73","12","WLCSP","OL-NX5P1000"
"nxp","Logic---Load switches","NX5P1100UK","http://www.nxp.com/products/logic/load_switches/NX5P1100UK.html","http://www.nxp.com/documents/data_sheet/NX5P1100.pdf","Production","NX5","logic controlled high-side power switch","3.0 - 5.5","low threshold","60","1.0","0.63","","very low","-40~85","73","","",""
"nxp","Logic---Load switches","NX5P2090UK","http://www.nxp.com/products/logic/load_switches/NX5P2090UK.html","http://www.nxp.com/documents/data_sheet/NX5P2090.pdf","Production","NX5","logic controlled high-side power switch for USB-OTG","3.0 - 5.5","low threshold","60","2.0","0.63","","very low","-40~85","73","9","WLCSP","OL-NX5P2090UK"
"nxp","Logic---Load switches","NX5P2190UK","http://www.nxp.com/products/logic/load_switches/NX5P2190UK.html","http://www.nxp.com/documents/data_sheet/NX5P2190.pdf","Production","NX5","logic controlled high-side power switch","3.0 - 5.5","low threshold","60","2.0","0.63","","very low","-40~85","82","","",""
"nxp","Logic---Load switches","NX5P2553GU","http://www.nxp.com/products/logic/load_switches/NX5P2553GU.html","http://www.nxp.com/documents/data_sheet/NX5P2553.pdf","Production","","","","","","","","","","","","6","DFN1616-6","SOT1189-1"
"nxp","Logic---Load switches","NX5P2553GU6","http://www.nxp.com/products/logic/load_switches/NX5P2553GU6.html","http://www.nxp.com/documents/data_sheet/NX5P2553.pdf","Production","","","","","","","","","","","","6","HXSON6","SOT1348-1"
"nxp","Logic---Load switches","NX5P2553GV","http://www.nxp.com/products/logic/load_switches/NX5P2553GV.html","http://www.nxp.com/documents/data_sheet/NX5P2553.pdf","Production","","","","","","","","","","","","6","TSOP6","SOT457"
