"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Multivibrators","74AHC123ABQ","http://www.nxp.com/products/logic/multivibrators/74AHC123ABQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 5.5","CMOS","+/- 8","5.1","low","-40~125","94","14.4","63","16","DHVQFN16","SOT763-1"
"nxp","Logic---Multivibrators","74AHC123AD","http://www.nxp.com/products/logic/multivibrators/74AHC123AD.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 5.5","CMOS","+/- 8","5.1","low","-40~125","93","10.1","53","16","SO16","SOT109-1"
"nxp","Logic---Multivibrators","74AHC123APW","http://www.nxp.com/products/logic/multivibrators/74AHC123APW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 5.5","CMOS","+/- 8","5.1","low","-40~125","126","4.77898203592814","55.6976047904192","16","TSSOP16","SOT403-1"
"nxp","Logic---Multivibrators","74AHCT123ABQ","http://www.nxp.com/products/logic/multivibrators/74AHCT123ABQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","low","-40~125","94","14.4","63","16","DHVQFN16","SOT763-1"
"nxp","Logic---Multivibrators","74AHCT123AD","http://www.nxp.com/products/logic/multivibrators/74AHCT123AD.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","low","-40~125","93","10.1","53","16","SO16","SOT109-1"
"nxp","Logic---Multivibrators","74AHCT123APW","http://www.nxp.com/products/logic/multivibrators/74AHCT123APW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT123A.pdf","Production","AHC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 8","5","low","-40~125","126","4.77898203592814","55.6976047904192","16","TSSOP16","SOT403-1"
"nxp","Logic---Multivibrators","74HC123BQ","http://www.nxp.com/products/logic/multivibrators/74HC123BQ.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 6.0","CMOS","+/- 7.8","9","low","-40~125","90","11.8","59","16","DHVQFN16","SOT763-1"
"nxp","Logic---Multivibrators","74HC123D","http://www.nxp.com/products/logic/multivibrators/74HC123D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 6.0","CMOS","+/- 5.2","26","low","-40~125","90","8.3","49","16","SO16","SOT109-1"
"nxp","Logic---Multivibrators","74HC123DB","http://www.nxp.com/products/logic/multivibrators/74HC123DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 6.0","CMOS","+/- 5.2","26","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Multivibrators","74HC123PW","http://www.nxp.com/products/logic/multivibrators/74HC123PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset","2.0 - 6.0","CMOS","+/- 5.2","26","low","-40~125","122","3.92069011976048","51.5161826347305","16","TSSOP16","SOT403-1"
"nxp","Logic---Multivibrators","74HCT123D","http://www.nxp.com/products/logic/multivibrators/74HCT123D.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 4","26","low","-40~125","90","8.3","49","16","SO16","SOT109-1"
"nxp","Logic---Multivibrators","74HCT123DB","http://www.nxp.com/products/logic/multivibrators/74HCT123DB.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 4","26","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Multivibrators","74HCT123PW","http://www.nxp.com/products/logic/multivibrators/74HCT123PW.html","http://www.nxp.com/documents/data_sheet/74HC_HCT123.pdf","Production","HC(T)","dual retriggerable monostable multivibrator with reset; TTL enabled","4.5 - 5.5","TTL","+/- 4","26","low","-40~125","122","3.92069011976048","51.5161826347305","16","TSSOP16","SOT403-1"
