"brand","Series","PartNo","DetailLink","dataSheet","Product status","Family","Description","VCC","Logic switching levels","Output drive capability","tpd","fmax","No of bits","Power dissipation considerations","Tamb","Rth(j-a)","Ψth(j-top)","Rth(j-c)","No of pins","Package name","Package version"
"nxp","Logic---Shift registers","74AHC164BQ","http://www.nxp.com/products/logic/shift_registers/74AHC164BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register","2.0 - 5.5","CMOS","+/- 8","4.5","115","8","low","-40~125","103","18.2","70","14","DHVQFN14","SOT762-1"
"nxp","Logic---Shift registers","74AHC164D","http://www.nxp.com/products/logic/shift_registers/74AHC164D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register","2.0 - 5.5","CMOS","+/- 8","4.5","115","8","low","-40~125","104","17.6","62","14","SO14","SOT108-1"
"nxp","Logic---Shift registers","74AHC164PW","http://www.nxp.com/products/logic/shift_registers/74AHC164PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register","2.0 - 5.5","CMOS","+/- 8","4.5","115","8","low","-40~125","138","6.81527876106195","63.9294115044248","14","TSSOP14","SOT402-1"
"nxp","Logic---Shift registers","74AHCT164BQ","http://www.nxp.com/products/logic/shift_registers/74AHCT164BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","115","8","low","-40~125","103","18.2","70","14","DHVQFN14","SOT762-1"
"nxp","Logic---Shift registers","74AHCT164D","http://www.nxp.com/products/logic/shift_registers/74AHCT164D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","115","8","low","-40~125","104","17.6","62","14","SO14","SOT108-1"
"nxp","Logic---Shift registers","74AHCT164PW","http://www.nxp.com/products/logic/shift_registers/74AHCT164PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT164.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.4","115","8","low","-40~125","138","6.81527876106195","63.9294115044248","14","TSSOP14","SOT402-1"
"nxp","Logic---Shift registers","74AHC594BQ","http://www.nxp.com/products/logic/shift_registers/74AHC594BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register","2.0 - 5.5","CMOS","+/- 8","4.1","160","8","low","-40~125","91","12.3","60","16","DHVQFN16","SOT763-1"
"nxp","Logic---Shift registers","74AHC594D","http://www.nxp.com/products/logic/shift_registers/74AHC594D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register","2.0 - 5.5","CMOS","+/- 8","4.1","160","8","low","-40~125","90","8.6","49","16","SO16","SOT109-1"
"nxp","Logic---Shift registers","74AHC594DB","http://www.nxp.com/products/logic/shift_registers/74AHC594DB.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register","2.0 - 5.5","CMOS","+/- 8","4.1","160","8","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Shift registers","74AHC594PW","http://www.nxp.com/products/logic/shift_registers/74AHC594PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register","2.0 - 5.5","CMOS","+/- 8","4.1","160","8","low","-40~125","123","4.0685748502994","52.2366467065868","16","TSSOP16","SOT403-1"
"nxp","Logic---Shift registers","74AHCT594BQ","http://www.nxp.com/products/logic/shift_registers/74AHCT594BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","160","8","low","-40~125","91","12.3","60","16","DHVQFN16","SOT763-1"
"nxp","Logic---Shift registers","74AHCT594D","http://www.nxp.com/products/logic/shift_registers/74AHCT594D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","160","8","low","-40~125","90","8.6","49","16","SO16","SOT109-1"
"nxp","Logic---Shift registers","74AHCT594DB","http://www.nxp.com/products/logic/shift_registers/74AHCT594DB.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","160","8","low","-40~125","148","42.0","","16","SSOP16","SOT338-1"
"nxp","Logic---Shift registers","74AHCT594PW","http://www.nxp.com/products/logic/shift_registers/74AHCT594PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT594.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register; TTL enabled","4.5 - 5.5","TTL","+/- 8","3.8","160","8","low","-40~125","123","4.0685748502994","52.2366467065868","16","TSSOP16","SOT403-1"
"nxp","Logic---Shift registers","74AHC595BQ","http://www.nxp.com/products/logic/shift_registers/74AHC595BQ.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT595.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register (3-state)","2.0 - 5.5","CMOS","+/- 8","4","170","8","low","-40~125","90","11.8","59","16","DHVQFN16","SOT763-1"
"nxp","Logic---Shift registers","74AHC595D","http://www.nxp.com/products/logic/shift_registers/74AHC595D.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT595.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register (3-state)","2.0 - 5.5","CMOS","+/- 8","4","170","8","low","-40~125","90","8.3","49","16","SO16","SOT109-1"
"nxp","Logic---Shift registers","74AHC595PW","http://www.nxp.com/products/logic/shift_registers/74AHC595PW.html","http://www.nxp.com/documents/data_sheet/74AHC_AHCT595.pdf","Production","AHC(T)","8-bit serial-in/parallel-out shift register with output storage register (3-state)","2.0 - 5.5","CMOS","+/- 8","4","170","8","low","-40~125","122","3.90568562874252","51.4430838323353","16","TSSOP16","SOT403-1"
